event_id,family_event_id,family_event_role,primary_stream_allowed,observer,decision_bar_time,direction,level_kind,spread_points,total_cost_points,stop_distance_points,measured_cost_r_proxy,net_expectancy_r_after_proxy_cost,gross_expectancy_r_source,baseline_assumed_cost_r,baseline_net_expectancy_r,proxy_cost_r,net_after_proxy_from_gross_r,net_delta_vs_assumed_baseline_r,cost_excess_r,cost_excess_points,diagnosis,suggested_reviewer_annotation,manual_reviewer_annotation,manual_reviewer_notes,reviewer,reviewed_at_utc
PH3EXP00005,FAM00003,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.22 12:45:00,LONG,latest_swing_high,75.0000,160.0000,428.4900,0.3734,0.1382,fixed_notional_phase0_baseline,0.3228,0.1888,0.3734,0.1382,-0.0506,0.0118,5.0580,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00006,FAM00003,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.22 12:45:00,LONG,latest_swing_high,75.0000,160.0000,428.4900,0.3734,0.1382,fixed_notional_phase0_baseline,0.3228,0.1888,0.3734,0.1382,-0.0506,0.0118,5.0580,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00015,FAM00008,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 12:50:00,SHORT,latest_swing_low,75.0000,160.0000,333.0400,0.4804,0.0312,fixed_notional_phase0_baseline,0.3228,0.1888,0.4804,0.0312,-0.1576,0.1188,39.5727,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00016,FAM00008,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 12:50:00,SHORT,latest_swing_low,75.0000,160.0000,333.0400,0.4804,0.0312,fixed_notional_phase0_baseline,0.3228,0.1888,0.4804,0.0312,-0.1576,0.1188,39.5727,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00019,FAM00010,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 15:05:00,LONG,latest_swing_high,50.0000,110.0000,191.8100,0.5735,-0.0619,fixed_notional_phase0_baseline,0.3228,0.1888,0.5735,-0.0619,-0.2507,0.2119,40.6415,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00020,FAM00010,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 15:05:00,LONG,latest_swing_high,50.0000,110.0000,191.8100,0.5735,-0.0619,fixed_notional_phase0_baseline,0.3228,0.1888,0.5735,-0.0619,-0.2507,0.2119,40.6415,tight_stop_cost_dominates,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00021,FAM00011,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 15:15:00,LONG,latest_swing_high,75.0000,160.0000,283.0900,0.5652,-0.0536,fixed_notional_phase0_baseline,0.3228,0.1888,0.5652,-0.0536,-0.2424,0.2036,57.6347,wide_spread_plus_entry_exit_cost,COST_ISSUE,,,,
PH3EXP00022,FAM00011,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 15:15:00,LONG,latest_swing_high,75.0000,160.0000,283.0900,0.5652,-0.0536,fixed_notional_phase0_baseline,0.3228,0.1888,0.5652,-0.0536,-0.2424,0.2036,57.6347,wide_spread_plus_entry_exit_cost,DUPLICATED_OBSERVER_ISSUE,,,,
PH3EXP00023,FAM00012,PRIMARY_EXECUTION_CANDIDATE,true,breakout_retest,2026.05.25 16:45:00,LONG,latest_swing_high,50.0000,110.0000,177.0400,0.6213,-0.1097,fixed_notional_phase0_baseline,0.3228,0.1888,0.6213,-0.1097,-0.2985,0.2597,45.9823,tight_stop_cost_dominates,TIGHT_STOP_ISSUE,,,,
PH3EXP00024,FAM00012,OBSERVER_DUPLICATE,false,swing_breakout_retest_v0,2026.05.25 16:45:00,LONG,latest_swing_high,50.0000,110.0000,177.0400,0.6213,-0.1097,fixed_notional_phase0_baseline,0.3228,0.1888,0.6213,-0.1097,-0.2985,0.2597,45.9823,tight_stop_cost_dominates,DUPLICATED_OBSERVER_ISSUE,,,,
