cost_mode,raw_observer_events,family_unique_events,primary_stream_allowed,observer_duplicates,observer_conflicts,median_proxy_cost_r,mean_proxy_cost_r,median_net_after_proxy_cost_r,mean_net_after_proxy_cost_r,gross_expectancy_r_source,baseline_assumed_cost_r,baseline_net_expectancy_r,median_net_delta_vs_assumed_baseline_r,mean_net_delta_vs_assumed_baseline_r,normal_count,cost_watch_count,suspend_family_count,suspend_family_unique_events
entry_only_proxy,89,49,49,40,0,0.1277,0.1434,0.3839,0.3682,fixed_notional_phase0_baseline,0.3228,0.1888,0.1951,0.1794,89,0,0,0
entry_exit_proxy,89,49,49,40,0,0.2554,0.2867,0.2562,0.2249,fixed_notional_phase0_baseline,0.3228,0.1888,0.0674,0.0361,66,3,20,11
p95_fresh_proxy,89,49,49,40,0,0.3679,0.3836,0.1437,0.128,fixed_notional_phase0_baseline,0.3228,0.1888,-0.0451,-0.0608,37,7,45,25
stress_2x_p95_proxy,89,49,49,40,0,0.7128,0.7433,-0.2012,-0.2317,fixed_notional_phase0_baseline,0.3228,0.1888,-0.39,-0.4205,3,2,84,46
