paper_shadow_event_id,paper_shadow_session_id,source_event_id,source_cluster_id,family_event_id,family_event_role,primary_stream_allowed,timestamp_broker,timestamp_utc,timestamp_local,symbol,expert_family,observer,decision_bar_time,direction,entry_price_projected,stop_price_projected,target_price_projected,stop_distance_points,spread_points,cost_mode,proxy_cost_r,net_after_proxy_from_gross_r,net_delta_vs_assumed_baseline_r,kill_rule_state,paper_shadow_state,paper_shadow_action,paper_shadow_exposure_units,blocked_reason,review_priority,demo_authorized,real_phase2_readiness,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,paper_shadow_notes
PH3SHADOW00001,phase3-paper-shadow-side-experiment-v0,PH3EXP00001,WS001,FAM00001,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,434.9100,50.0000,entry_exit_proxy,0.2529,0.2587,0.0699,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00002,phase3-paper-shadow-side-experiment-v0,PH3EXP00002,WS002,FAM00001,OBSERVER_DUPLICATE,false,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:25:00,SHORT,4511.74,4516.09,4505.22,434.9100,50.0000,entry_exit_proxy,0.2529,0.2587,0.0699,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00003,phase3-paper-shadow-side-experiment-v0,PH3EXP00003,WS003,FAM00002,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,635.5700,50.0000,entry_exit_proxy,0.1731,0.3385,0.1497,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00004,phase3-paper-shadow-side-experiment-v0,PH3EXP00004,WS004,FAM00002,OBSERVER_DUPLICATE,false,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 11:50:00,LONG,4522.94,4516.58,4532.47,635.5700,50.0000,entry_exit_proxy,0.1731,0.3385,0.1497,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00005,phase3-paper-shadow-side-experiment-v0,PH3EXP00005,WS005,FAM00003,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,428.4900,75.0000,entry_exit_proxy,0.3734,0.1382,-0.0506,SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,BLOCKED_SUSPEND_FAMILY,0,net_expectancy_below_minimum_after_proxy_cost,HIGH,false,PENDING,side_experiment_only,false,false,Primary family event remains blocked by the experimental cost-survival rule.
PH3SHADOW00006,phase3-paper-shadow-side-experiment-v0,PH3EXP00006,WS006,FAM00003,OBSERVER_DUPLICATE,false,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:45:00,LONG,4518.58,4514.30,4525.01,428.4900,75.0000,entry_exit_proxy,0.3734,0.1382,-0.0506,SUSPEND_FAMILY,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00007,phase3-paper-shadow-side-experiment-v0,PH3EXP00007,WS007,FAM00004,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,417.7800,50.0000,entry_exit_proxy,0.2633,0.2483,0.0595,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00008,phase3-paper-shadow-side-experiment-v0,PH3EXP00008,WS008,FAM00004,OBSERVER_DUPLICATE,false,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 12:50:00,LONG,4519.58,4515.40,4525.85,417.7800,50.0000,entry_exit_proxy,0.2633,0.2483,0.0595,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
PH3SHADOW00009,phase3-paper-shadow-side-experiment-v0,PH3EXP00009,WS009,FAM00005,PRIMARY_EXECUTION_CANDIDATE,true,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,590.4600,50.0000,entry_exit_proxy,0.1863,0.3253,0.1365,NORMAL,PAPER_SHADOW_ELIGIBLE,WOULD_PAPER_SHADOW_OPEN,1,,LOW,false,PENDING,side_experiment_only,false,false,Primary family event is eligible in the side-experiment paper-shadow ledger.
PH3SHADOW00010,phase3-paper-shadow-side-experiment-v0,PH3EXP00010,WS010,FAM00005,OBSERVER_DUPLICATE,false,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.22 14:05:00,SHORT,4511.45,4517.35,4502.59,590.4600,50.0000,entry_exit_proxy,0.1863,0.3253,0.1365,NORMAL,DUPLICATE_IGNORED,NO_EXPOSURE_DUPLICATE_IGNORED,0,observer_duplicate,LOW,false,PENDING,side_experiment_only,false,false,Same-family observer row is retained for review but cannot create extra exposure.
