guard_event_id,guard_session_id,baseline_lifecycle_event_id,paper_shadow_event_id,source_cluster_id,family_event_id,decision_bar_time,broker_day,symbol,direction,input_paper_shadow_action,baseline_lifecycle_stage,baseline_synthetic_open_state,baseline_synthetic_close_reason,baseline_synthetic_net_r,proxy_cost_r,guard_decision,guard_block_reason,guarded_synthetic_net_r,guarded_running_equity_r,guarded_running_peak_r,guarded_running_drawdown_r,guarded_daily_realized_r,daily_lock_active_after_event,portfolio_lock_active_after_event,demo_authorized,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,guard_notes
PH3GUARD00001,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00001,PH3SHADOW00001,WS001,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_stop_hit,-1.2529,0.2529,GUARDED_SYNTHETIC_OPEN,,-1.2529,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard allowed synthetic exposure in this side experiment.
PH3GUARD00002,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00002,PH3SHADOW00002,WS002,FAM00001,2026.05.22 11:25:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2529,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00003,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00003,PH3SHADOW00003,WS003,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_win,0.1769,0.1731,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00004,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00004,PH3SHADOW00004,WS004,FAM00002,2026.05.22 11:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1731,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00005,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00005,PH3SHADOW00005,WS005,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,BLOCKED_SUSPEND_FAMILY,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,net_expectancy_below_minimum_after_proxy_cost,0.0000,0.3734,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00006,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00006,PH3SHADOW00006,WS006,FAM00003,2026.05.22 12:45:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.3734,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00007,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00007,PH3SHADOW00007,WS007,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_break_even,-0.2633,0.2633,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00008,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00008,PH3SHADOW00008,WS008,FAM00004,2026.05.22 12:50:00,2026.05.22,XAUUSD,LONG,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.2633,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
PH3GUARD00009,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00009,PH3SHADOW00009,WS009,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,WOULD_PAPER_SHADOW_OPEN,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,synthetic_time_stop_small_loss,-0.4363,0.1863,BLOCKED_DAILY_BUDGET,daily_worst_case_loss_budget_would_breach,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,Guard blocked synthetic exposure: daily_worst_case_loss_budget_would_breach.
PH3GUARD00010,phase3-lifecycle-guard-side-experiment-v0,PH3LIFE00010,PH3SHADOW00010,WS010,FAM00005,2026.05.22 14:05:00,2026.05.22,XAUUSD,SHORT,NO_EXPOSURE_DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,observer_duplicate,0.0000,0.1863,NO_EXPOSURE_REVIEW_ONLY,baseline_no_exposure,0.0000,-1.2529,0.0000,-1.2529,-1.2529,false,false,false,side_experiment_only,false,false,No synthetic exposure was available from the paper-shadow layer.
