trade_id,runtime_source_id,runtime_entry_time_utc,runtime_exit_time_utc,capital_runtime_pnl_usd,candidate_source_id,direction,candidate_entry_time_ms,candidate_exit_time_ms,runtime_entry_time_ms,runtime_exit_time_ms,v2_veto,degraded_ranked_eligible,dukascopy_entry_covered,dukascopy_exit_covered,dukascopy_covered,dukascopy_entry_time_utc,dukascopy_entry_lag_ms,dukascopy_entry_bid,dukascopy_entry_ask,dukascopy_entry_source_file,dukascopy_entry_source_row_index,dukascopy_exit_time_utc,dukascopy_exit_lag_ms,dukascopy_exit_bid,dukascopy_exit_ask,dukascopy_exit_source_file,dukascopy_exit_source_row_index,dukascopy_spread_only_pnl_usd,entry_year,v6_veto,causal_rank,prior_month_closed_trades,prior_month_closed_pnl_usd,monthly_quality_veto,v14_retained
V9_BREAK_20210104T162000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-04 16:20:00+00:00,2021-01-05 09:50:00+00:00,-7.481380494309517,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1609777200000,1609840200000,1609777200000,1609840200000,False,False,True,True,True,2021-01-04T16:20:00.372Z,372.0,1940.418,1940.815,year=2021/month=01/2021010416.json,6768.0,2021-01-05T09:50:00.964Z,964.0,1947.818,1948.205,year=2021/month=01/2021010509.json,7578.0,-7.787000000000035,2021,False,0.3375959079283887,0,0.0,False,True
V7_20210105T115000Z_SHORT,V7_SWING_HEALTH,2021-01-05 11:50:00+00:00,2021-01-05 13:55:00+00:00,-4.005381944444444,V7_SWING_HEALTH,SHORT,1609847400000,1609854900000,1609847400000,1609854900000,False,False,True,True,True,2021-01-05T11:50:03.295Z,3295.0,1948.068,1948.445,year=2021/month=01/2021010511.json,6502.0,2021-01-05T13:55:00.018Z,18.0,1951.498,1951.912,year=2021/month=01/2021010513.json,11989.0,-3.844000000000051,2021,False,0.7544757033248082,1,-7.787000000000035,False,True
V9_BREAK_20210106T000500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-06 00:05:00+00:00,2021-01-06 01:25:00+00:00,-3.994444444444445,V57_BREAK_SWING_H4ADX_HIGH,LONG,1609891500000,1609896300000,1609891500000,1609896300000,False,False,True,True,True,2021-01-06T00:05:00.843Z,843.0,1950.128,1950.505,year=2021/month=01/2021010600.json,297.0,2021-01-06T01:25:00.510Z,510.0,1949.645,1950.072,year=2021/month=01/2021010601.json,6058.0,-0.8600000000001273,2021,False,0.056265984654731455,2,-11.631000000000085,False,True
V7_20210106T002000Z_SHORT,V7_SWING_HEALTH,2021-01-06 00:20:00+00:00,2021-01-06 01:05:00+00:00,-3.9859375,V7_SWING_HEALTH,SHORT,1609892400000,1609895100000,1609892400000,1609895100000,False,False,True,True,True,2021-01-06T00:20:00.208Z,208.0,1951.285,1951.702,year=2021/month=01/2021010600.json,1126.0,2021-01-06T01:05:00.213Z,213.0,1954.995,1955.462,year=2021/month=01/2021010601.json,1444.0,-4.176999999999907,2021,False,0.09462915601023018,2,-11.631000000000085,False,True
V9_BREAK_20210107T012500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-07 01:25:00+00:00,2021-01-07 06:35:00+00:00,-4.497009586411553,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1609982700000,1610001300000,1609982700000,1610001300000,False,False,True,True,True,2021-01-07T01:25:00.020Z,20.0,1919.598,1919.912,year=2021/month=01/2021010701.json,4904.0,2021-01-07T06:35:00.305Z,305.0,1922.945,1923.38,year=2021/month=01/2021010706.json,7122.0,-3.782000000000153,2021,False,0.10485933503836317,4,-16.66800000000012,False,True
V7_20210107T073000Z_SHORT,V7_SWING_HEALTH,2021-01-07 07:30:00+00:00,2021-01-07 08:10:00+00:00,6.5152777777777775,V7_SWING_HEALTH,SHORT,1610004600000,1610007000000,1610004600000,1610007000000,False,False,True,True,True,2021-01-07T07:30:00.306Z,306.0,1926.035,1926.455,year=2021/month=01/2021010707.json,5261.0,2021-01-07T08:10:00.292Z,292.0,1917.888,1918.222,year=2021/month=01/2021010708.json,2403.0,7.813000000000102,2021,False,0.27621483375959077,5,-20.450000000000273,False,True
V7_20210108T003000Z_SHORT,V7_SWING_HEALTH,2021-01-08 00:30:00+00:00,2021-01-08 03:30:00+00:00,6.481249999999999,V7_SWING_HEALTH,SHORT,1610065800000,1610076600000,1610065800000,1610076600000,False,False,True,True,True,2021-01-08T00:30:00.362Z,362.0,1916.355,1916.7,year=2021/month=01/2021010800.json,1168.0,2021-01-08T03:30:00.926Z,926.0,1910.498,1910.905,year=2021/month=01/2021010803.json,2672.0,5.4500000000000455,2021,False,0.45524296675191817,6,-12.637000000000171,False,True
V7_20210108T062000Z_LONG,V7_SWING_HEALTH,2021-01-08 06:20:00+00:00,2021-01-08 08:00:00+00:00,-3.999305555555555,V7_SWING_HEALTH,LONG,1610086800000,1610092800000,1610086800000,1610092800000,False,False,True,True,True,2021-01-08T06:20:00.488Z,488.0,1907.548,1907.885,year=2021/month=01/2021010806.json,1630.0,2021-01-08T08:00:00.043Z,43.0,1904.725,1905.095,year=2021/month=01/2021010808.json,0.0,-3.160000000000082,2021,False,0.680306905370844,7,-7.1870000000001255,False,True
V9_BREAK_20210111T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11 00:15:00+00:00,2021-01-11 01:15:00+00:00,11.572478978302676,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1610324100000,1610327700000,1610324100000,1610327700000,False,False,True,True,True,2021-01-11T00:15:00.324Z,324.0,1846.725,1847.235,year=2021/month=01/2021011100.json,1668.0,2021-01-11T01:15:00.079Z,79.0,1832.638,1833.217,year=2021/month=01/2021011101.json,4822.0,13.50799999999981,2021,False,0.09974424552429667,8,-10.347000000000207,False,True
V9_BREAK_20210111T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11 01:35:00+00:00,2021-01-11 06:25:00+00:00,19.120093964346545,V57_BREAK_SWING_H4ADX_HIGH,LONG,1610328900000,1610346300000,1610328900000,1610346300000,False,False,True,True,True,2021-01-11T01:35:00.027Z,27.0,1823.178,1823.815,year=2021/month=01/2021011101.json,12817.0,2021-01-11T06:25:00.084Z,84.0,1844.735,1845.122,year=2021/month=01/2021011106.json,3740.0,20.919999999999845,2021,False,0.7058823529411765,9,3.1609999999996035,False,True
V9_BREAK_20210112T000500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12 00:05:00+00:00,2021-01-12 01:10:10+00:00,1.366958333333362,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1610409900000,1610422500000,1610409900000,1610413810000,False,False,True,True,True,2021-01-12T00:05:01.654Z,1654.0,1847.528,1848.002,year=2021/month=01/2021011200.json,297.0,2021-01-12T01:10:10.559Z,559.0,1845.268,1845.715,year=2021/month=01/2021011201.json,1938.0,1.8130000000001016,2021,False,0.340153452685422,10,24.08099999999945,False,True
V9_BREAK_20210112T054500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12 05:45:00+00:00,2021-01-12 08:45:00+00:00,-4.018750000000001,V57_BREAK_SWING_H4ADX_HIGH,LONG,1610430300000,1610441100000,1610430300000,1610441100000,False,False,True,True,True,2021-01-12T05:45:00.078Z,78.0,1857.698,1858.078,year=2021/month=01/2021011205.json,6301.0,2021-01-12T08:45:01.064Z,1064.0,1855.038,1855.465,year=2021/month=01/2021011208.json,9459.0,-3.039999999999964,2021,False,0.7263427109974424,11,25.89399999999955,False,True
V9_BREAK_20210113T003500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13 00:35:00+00:00,2021-01-13 01:05:00+00:00,-3.982291666666667,V57_BREAK_SWING_H4ADX_HIGH,LONG,1610498100000,1610499900000,1610498100000,1610499900000,False,False,True,True,True,2021-01-13T00:35:00.019Z,19.0,1858.588,1858.955,year=2021/month=01/2021011300.json,2310.0,2021-01-13T01:05:00.749Z,749.0,1855.745,1856.222,year=2021/month=01/2021011301.json,838.0,-3.2100000000000364,2021,False,0.04859335038363171,12,22.853999999999587,False,True
V9_BREAK_20210113T081500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13 08:15:00+00:00,2021-01-13 09:20:00+00:00,6.781311977263589,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1610525700000,1610529600000,1610525700000,1610529600000,False,False,True,True,True,2021-01-13T08:15:01.220Z,1220.0,1857.005,1857.435,year=2021/month=01/2021011308.json,2719.0,2021-01-13T09:20:00.288Z,288.0,1851.365,1851.805,year=2021/month=01/2021011309.json,4020.0,5.2000000000000455,2021,False,0.2531969309462916,13,19.64399999999955,False,True
fccef99737874dc201838eb7,R2_DOWNTREND,2021-01-13 20:00:05+00:00,2021-01-14 14:25:00+00:00,2.941583700163942,R2_DOWNTREND,SHORT,1610568000065,1610697600219,1610568005000,1610634300000,False,False,True,True,True,2021-01-13T20:00:05.071Z,71.0,1853.375,1853.683,year=2021/month=01/2021011320.json,18.0,2021-01-14T14:25:00.047Z,47.0,1848.778,1849.188,year=2021/month=01/2021011414.json,7474.0,4.186999999999898,2021,False,0.6547314578005116,14,24.843999999999596,False,True
V9_BREAK_20210114T013000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-14 01:30:00+00:00,2021-01-14 02:25:00+00:00,6.511631944444444,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1610587800000,1610591100000,1610587800000,1610591100000,False,False,True,True,True,2021-01-14T01:30:01.679Z,1679.0,1850.585,1851.032,year=2021/month=01/2021011401.json,3628.0,2021-01-14T02:25:00.012Z,12.0,1843.198,1843.522,year=2021/month=01/2021011402.json,3344.0,7.063000000000102,2021,False,0.5012787723785166,14,24.843999999999596,False,True
V7_20210114T031500Z_LONG,V7_SWING_HEALTH,2021-01-14 03:15:00+00:00,2021-01-14 14:25:00+00:00,10.805007352010032,V7_SWING_HEALTH,LONG,1610594100000,1610634300000,1610594100000,1610634300000,False,False,True,True,True,2021-01-14T03:15:00.293Z,293.0,1834.918,1835.382,year=2021/month=01/2021011403.json,1944.0,2021-01-14T14:25:00.047Z,47.0,1848.778,1849.188,year=2021/month=01/2021011414.json,7474.0,13.395999999999958,2021,False,0.9028132992327366,15,31.906999999999698,False,True
V9_BREAK_20210115T124500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-15 12:45:00+00:00,2021-01-15 13:40:00+00:00,-4.257957442126096,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1610714700000,1610718000000,1610714700000,1610718000000,False,False,True,True,True,2021-01-15T12:45:01.107Z,1107.0,1846.938,1847.305,year=2021/month=01/2021011512.json,7728.0,2021-01-15T13:40:00.677Z,677.0,1848.175,1848.545,year=2021/month=01/2021011513.json,8485.0,-1.606999999999971,2021,False,0.4424552429667519,17,49.489999999999554,False,True
V9_BREAK_20210118T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-18 01:35:00+00:00,2021-01-18 05:40:00+00:00,11.732694617587462,V57_BREAK_SWING_H4ADX_HIGH,LONG,1610933700000,1610948400000,1610933700000,1610948400000,False,False,True,True,True,2021-01-18T01:35:00.062Z,62.0,1822.934,1823.335,year=2021/month=01/2021011801.json,10457.0,2021-01-18T05:40:00.314Z,314.0,1836.038,1836.505,year=2021/month=01/2021011805.json,5801.0,12.702999999999976,2021,False,0.12020460358056266,18,47.88299999999958,False,True
V9_BREAK_20210118T055000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-18 05:50:00+00:00,2021-01-18 07:55:00+00:00,-4.471096926611677,V57_BREAK_SWING_H4ADX_HIGH,LONG,1610949000000,1610956500000,1610949000000,1610956500000,False,False,True,True,True,2021-01-18T05:50:00.879Z,879.0,1837.515,1837.942,year=2021/month=01/2021011805.json,7193.0,2021-01-18T07:55:00.137Z,137.0,1833.048,1833.458,year=2021/month=01/2021011807.json,8907.0,-4.8940000000000055,2021,False,0.37595907928388744,19,60.58599999999956,False,True
V9_BREAK_20210119T070500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-19 07:05:00+00:00,2021-01-19 12:50:00+00:00,-4.058854166666667,V57_BREAK_SWING_H4ADX_HIGH,LONG,1611039900000,1611060600000,1611039900000,1611060600000,False,False,True,True,True,2021-01-19T07:05:00.101Z,101.0,1839.765,1840.092,year=2021/month=01/2021011907.json,665.0,2021-01-19T12:50:00.508Z,508.0,1837.475,1837.955,year=2021/month=01/2021011912.json,7974.0,-2.617000000000189,2021,False,0.19437340153452684,20,55.69199999999955,False,True
V7_20210120T084000Z_SHORT,V7_SWING_HEALTH,2021-01-20 08:40:00+00:00,2021-01-20 12:10:00+00:00,6.473958333333333,V7_SWING_HEALTH,SHORT,1611132000000,1611144600000,1611132000000,1611144600000,False,False,True,True,True,2021-01-20T08:40:00.061Z,61.0,1855.522,1855.915,year=2021/month=01/2021012008.json,8178.0,2021-01-20T12:10:02.038Z,2038.0,1847.745,1848.135,year=2021/month=01/2021012012.json,1733.0,7.386999999999944,2021,False,0.37084398976982097,21,53.07499999999936,False,True
V9_BREAK_20210120T115500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-20 11:55:00+00:00,2021-01-20 12:10:00+00:00,1.0892013888888163,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1611143700000,1611147600000,1611143700000,1611144600000,False,False,True,True,True,2021-01-20T11:55:03.069Z,3069.0,1849.675,1850.055,year=2021/month=01/2021012011.json,6663.0,2021-01-20T12:10:02.038Z,2038.0,1847.745,1848.135,year=2021/month=01/2021012012.json,1733.0,1.5399999999999636,2021,False,0.25831202046035806,21,53.07499999999936,False,True
V9_BREAK_20210121T063500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-21 06:35:00+00:00,2021-01-21 07:50:05+00:00,3.69620833333341,V57_BREAK_SWING_H4ADX_HIGH,SHORT,1611210900000,1611234300000,1611210900000,1611215405000,False,False,True,True,True,2021-01-21T06:35:01.442Z,1442.0,1873.357,1873.675,year=2021/month=01/2021012106.json,4130.0,2021-01-21T07:50:05.151Z,151.0,1868.728,1869.185,year=2021/month=01/2021012107.json,9756.0,4.1720000000000255,2021,False,0.6163682864450127,23,62.00199999999927,False,True
