trade_id,entry_time_utc,source_id,proposal_rule,causal_rank,prior_month_closed_trades,prior_month_closed_pnl_usd,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd,prior_20_profit_factor,prior_virtual_profit_factor,prior_consecutive_losses,prior_source_closed_count
V9_BREAK_20210512T125500Z_LONG,2021-05-12T12:55:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.3938618925831202,9.0,-27.746355498592624,-6.495519207690706,True,-6.495519207690706,,,,
V7_20210514T112500Z_SHORT,2021-05-14T11:25:00.000Z,V7_SWING_HEALTH,V14_MONTHLY_QUALITY_RISK,0.3836317135549872,9.0,-27.746355498592624,-3.987152777777778,True,-3.987152777777778,,,,
V9_BREAK_20210520T020500Z_LONG,2021-05-20T02:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.030690537084398978,11.0,-36.519727509714734,-4.380720825497047,True,-4.380720825497047,,,,
V9_BREAK_20210520T135000Z_LONG,2021-05-20T13:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.21739130434782608,11.0,-36.519727509714734,-5.57730151501526,True,-5.57730151501526,,,,
V9_BREAK_20210521T123000Z_LONG,2021-05-21T12:30:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.3989769820971867,11.0,-36.519727509714734,-3.9944444444444445,True,-3.9944444444444445,,,,
V9_BREAK_20210521T135000Z_SHORT,2021-05-21T13:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.2071611253196931,11.0,-36.519727509714734,-5.791234045278524,True,-5.791234045278524,,,,
V9_BREAK_20210526T123500Z_LONG,2021-05-26T12:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.23273657289002558,14.0,-36.17835855501183,-3.9786458333333337,True,-3.9786458333333337,,,,
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0,,,-3.982291666666667,True,-3.982291666666667,0.8519327505433939,0.38329598432346945,0.0,55.0
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03888888888888889,,,-4.006597222222222,True,-4.006597222222222,0.47897124258707857,0.8860630426114865,1.0,63.0
V9_BREAK_20220713T134000Z_LONG,2022-07-13T13:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.2611464968152866,8.0,-35.79461528621127,16.239556851396983,True,16.239556851396983,,,,
V9_BREAK_20220715T123500Z_SHORT,2022-07-15T12:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.2302839116719243,10.0,-33.52289069869856,-4.419286742386917,True,-4.419286742386917,,,,
V9_BREAK_20220715T131500Z_LONG,2022-07-15T13:15:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.1069182389937107,10.0,-33.52289069869856,-6.933625447804608,True,-6.933625447804608,,,,
V9_BREAK_20220721T122500Z_LONG,2022-07-21T12:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.2222222222222222,14.0,-44.16522804738813,-4.532645810382768,True,-4.532645810382768,,,,
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08868501529051988,,,-6.327940880607618,True,-6.327940880607618,0.9282750498944018,0.6547633580550127,5.0,96.0
2023-05-09 14:00:00|LONG|r1_h1_pullback_long_v1,2023-05-09T14:00:00.000Z,R1_PULLBACK,V14_MONTHLY_QUALITY_RISK,0.3045774647887324,9.0,-36.38330674110866,15.69,True,15.69,,,,
2023-05-11 13:00:00|LONG|r1_h1_pullback_long_v1,2023-05-11T13:00:00.000Z,R1_PULLBACK,V14_MONTHLY_QUALITY_RISK,0.3866432337434095,10.0,-26.49330674110866,-10.190000000000001,True,-10.190000000000001,,,,
V9_BREAK_20230518T123500Z_SHORT,2023-05-18T12:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.17975567190226877,11.0,-30.471952574441996,-3.9786458333333337,True,-3.9786458333333337,,,,
V9_BREAK_20230522T020500Z_SHORT,2023-05-22T02:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.15424610051993068,15.0,-23.15766202558013,-4.077083333333333,True,1.6759166666665957,,,,
V7_20230525T090500Z_SHORT,2023-05-25T09:05:00.000Z,V7_SWING_HEALTH,V14_MONTHLY_QUALITY_RISK,0.3865979381443299,18.0,-29.483516192246803,6.473958333333333,True,6.473958333333333,,,,
2023-10-31 13:15:00|LONG|r1_h1_pullback_long_v1,2023-10-31T13:15:00.000Z,R1_PULLBACK,V14_MONTHLY_QUALITY_RISK,0.23964497041420119,9.0,-45.409676503985914,-11.940000000000001,True,-11.940000000000001,,,,
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27T14:30:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.03012912482065997,,,-5.819999999999999,True,-5.819999999999999,0.5948152684221268,1.2594074074074075,9.0,93.0
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29T11:45:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.09943181818181818,,,-3.8099999999999996,True,-3.8099999999999996,0.4371251597679677,5.247393364928909,0.0,98.0
V9_BREAK_20240708T140500Z_LONG,2024-07-08T14:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V14_MONTHLY_QUALITY_RISK,0.22234513274336284,13.0,-46.65225548422821,-5.9749499530922225,True,-5.9749499530922225,,,,
2024-07-12 09:00:00|LONG|r1_h1_pullback_long_v1,2024-07-12T09:00:00.000Z,R1_PULLBACK,V14_MONTHLY_QUALITY_RISK,0.17420066152149946,15.0,-54.72621381756155,-7.3999999999999995,True,-7.3999999999999995,,,,
