candidate_id,family,regime,direction,threshold,stop_atr,target_r,max_hold_bars,lookback,body_min,session,trades,trades_per_active_day,wins,win_rate,net_r,average_r,net_pips,profit_factor,maximum_drawdown_r,positive_active_month_share,top_5pct_removed_profit_factor,parameter_sha256,stage,gate_pass
EURF2_0001,rsi_fade,chop,long,25.0,1.0,0.7,32,0,0.0,all,487,0.2607066381156317,264,0.5420944558521561,-44.63708320475057,-0.09165725504055558,-402.143935782422,0.8020326710993181,48.93147748464949,0.4126984126984127,0.7251855143949449,5b6fca8e45ca8899e3234dfff2494ed5d2ea94ae42bb33c436169002b4a1c9fb,development,False
EURF2_0002,rsi_fade,chop,long,25.0,1.0,0.7,32,0,0.0,liquid,401,0.21466809421841543,209,0.5211970074812967,-50.791209730518325,-0.1266613708990482,-422.7029136176852,0.7383643270117095,56.309516355663725,0.4098360655737705,0.6634081383512991,5e98bc7905dfbf03ddadf5db17cac6bb5342280c9eca7457f89c478923bd24e6,development,False
EURF2_0003,rsi_fade,chop,long,25.0,1.0,0.8,32,0,0.0,all,486,0.26017130620985013,253,0.5205761316872428,-37.35928536060092,-0.07687095753210066,-322.76843346079164,0.8414494787058665,41.35401946845532,0.42857142857142855,0.7573037671734241,11f48886c8edd7929354cc3eed5c43d68ccc164a8dbafe22e885a4adaa183ffd,development,False
EURF2_0004,rsi_fade,chop,long,25.0,1.0,0.8,32,0,0.0,liquid,400,0.21413276231263384,200,0.5,-45.055404670477515,-0.11263851167619379,-351.99201489124476,0.7772331856372137,51.21593001245513,0.39344262295081966,0.6988194950435541,46006256c0a2334de442fafa85269529c18bfd66c658a48d99ea941fe1976c74,development,False
EURF2_0005,rsi_fade,chop,long,25.0,1.0,1.0,32,0,0.0,all,479,0.256423982869379,212,0.44258872651356995,-63.93408914215722,-0.13347409006713407,-554.1122185570657,0.7640289942796907,71.02473359074425,0.36507936507936506,0.676091560687567,0f9e0bb3e804f25328f991589df07fe876a3527e354e4070c531c6cd64646042,development,False
EURF2_0006,rsi_fade,chop,long,25.0,1.0,1.0,32,0,0.0,liquid,395,0.2114561027837259,168,0.4253164556962025,-64.38932010142899,-0.16301093696564303,-544.2463462218327,0.7195546062380219,73.36230740316911,0.32786885245901637,0.6330869029279129,93802079612d9c66ec454891a054b42eb3988c81cd5d15f59ed2b85a7670da95,development,False
EURF2_0007,rsi_fade,chop,long,25.0,1.4,0.7,32,0,0.0,all,435,0.2328693790149893,226,0.5195402298850574,-53.61755566589203,-0.12325874865722306,-580.9704380260027,0.7436133336558219,56.27191476220183,0.42857142857142855,0.6704927714578104,7dcb9888a96007e9ffd50a3826aa58a02ba204385a8a391c4ae1843ad7e997e7,development,False
EURF2_0008,rsi_fade,chop,long,25.0,1.4,0.7,32,0,0.0,liquid,356,0.1905781584582441,179,0.5028089887640449,-53.39342888207124,-0.1499815418035709,-563.2372435781808,0.6976623586198503,56.22396872556201,0.39344262295081966,0.6268290508324557,2eed809b3041abd29f6a2fc96f4a9dbabe1193214860fca4c331325c339d9caa,development,False
EURF2_0009,rsi_fade,chop,long,25.0,1.4,0.8,32,0,0.0,all,424,0.22698072805139186,205,0.4834905660377358,-58.79094393221833,-0.1386578866325904,-628.86380637307,0.7318629837097896,61.25594404534857,0.38095238095238093,0.6521186983035469,3cd35fbd2894e6a610484d2efe67b12da00666a0c7e599528201ad74238b790f,development,False
EURF2_0010,rsi_fade,chop,long,25.0,1.4,0.8,32,0,0.0,liquid,346,0.18522483940042828,164,0.47398843930635837,-52.79330911970041,-0.1525818182650301,-553.2692480162771,0.7093898435548863,54.213486088505846,0.4098360655737705,0.6306472462539845,11fd4f88b6f3582e9918fd9e415016341430a76e8f63b2ff3d4680f78e1bd98f,development,False
EURF2_0011,rsi_fade,chop,long,25.0,1.4,1.0,32,0,0.0,all,416,0.22269807280513917,174,0.4182692307692308,-70.84748563135926,-0.17030645584461362,-735.7243059743302,0.7060953366019512,75.71248574448937,0.3333333333333333,0.6194401447967499,7a29142fffe7b27e0acfe5c971820b6b620717ee82e3caba1ba4dc81692a4e58,development,False
EURF2_0012,rsi_fade,chop,long,25.0,1.4,1.0,32,0,0.0,liquid,341,0.18254817987152033,139,0.40762463343108507,-63.88470032952061,-0.18734516225665868,-646.7763872679288,0.6812433373793082,67.51100040545695,0.32786885245901637,0.5919126938009652,302bd306de79025f6bb4a937367b2ec3f76f7605d58791c5b12bf02aece56914,development,False
EURF2_0013,rsi_fade,chop,long,25.0,1.8,0.7,32,0,0.0,all,384,0.20556745182012848,194,0.5052083333333334,-52.001362083313346,-0.1354202137586285,-692.4505278437864,0.7163407089968857,57.81166344218717,0.3492063492063492,0.640416166670294,87aa876878d31d68f293e385d114824b0eb35e9251f8c66da5df4d857050b31a,development,False
EURF2_0014,rsi_fade,chop,long,25.0,1.8,0.7,32,0,0.0,liquid,312,0.1670235546038544,154,0.4935897435897436,-46.68193562873198,-0.14962158855362814,-630.633552857116,0.690856271400405,51.286698037914384,0.3770491803278688,0.6171303828014177,70a4d6c437a1497a6aedc23bd3a431f9193ab3587fbe5a6b5ca6f511ce85993b,development,False
EURF2_0015,rsi_fade,chop,long,25.0,1.8,0.8,32,0,0.0,all,383,0.2050321199143469,183,0.47780678851174935,-51.886535893244755,-0.13547398405546934,-669.3442003582661,0.7317277838859442,58.91113356615575,0.3492063492063492,0.6494221279586943,6b3ae9594313a84cc66a9dbdbdda31add331beb91c998af8b8de8ddee2869a78,development,False
EURF2_0016,rsi_fade,chop,long,25.0,1.8,0.8,32,0,0.0,liquid,312,0.1670235546038544,146,0.46794871794871795,-46.076304005912064,-0.14768046155741046,-602.5196657122488,0.7103342246176999,53.181066415094605,0.36065573770491804,0.6302854793863016,2161e9f923a1aec15793f39ccc0ba90f0ad7d963dcbe801a3fd660ee5177f0f1,development,False
EURF2_0017,rsi_fade,chop,long,25.0,1.8,1.0,32,0,0.0,all,372,0.19914346895074947,158,0.42473118279569894,-55.812527022971445,-0.150033674792934,-692.0819097878118,0.7299362320031503,63.808166533844854,0.38095238095238093,0.6383787834865983,29dd136780b6ee742a2db61991103457424b32635cff4460b92f6e953a0a6277,development,False
EURF2_0018,rsi_fade,chop,long,25.0,1.8,1.0,32,0,0.0,liquid,305,0.1632762312633833,127,0.4163934426229508,-48.475817975089754,-0.15893710811504838,-583.040237630721,0.7153471697945943,53.58628933301966,0.32786885245901637,0.6217879715481153,20091f1fa8d7274f4b3b4fe29e1eaba5fe1c21ad4642baab927b9e28f0f69908,development,False
EURF2_0019,rsi_fade,chop,long,30.0,1.0,0.7,32,0,0.0,all,979,0.5240899357601713,517,0.5280898876404494,-114.82314166039474,-0.11728615082777807,-999.2148325582905,0.754383088472451,121.24816078270722,0.3076923076923077,0.6817964673643393,06a0909a47e350860cac67672c7cb59f5b896925186a8d1b30c6106bb8c8d979,development,False
EURF2_0020,rsi_fade,chop,long,30.0,1.0,0.7,32,0,0.0,liquid,801,0.42880085653104927,411,0.5131086142322098,-114.7008565324385,-0.1431970743226448,-983.4985093194205,0.7101167389212754,116.76843209914793,0.3230769230769231,0.6383606386894571,194d5f9a8cdf4599727b27dcdfc63de401e74540309aaf1cb0fcc7a9626d44d9,development,False
EURF2_0021,rsi_fade,chop,long,30.0,1.0,0.8,32,0,0.0,all,969,0.5187366167023555,487,0.5025799793601651,-107.21103863480246,-0.11064090674386219,-948.6537566305773,0.7802088256815488,114.95868456504539,0.3230769230769231,0.7006002276182798,b4619cc4b4bf1a58aef7719309ce91591fa32dd6592ef0a4fd3c7d618e4e8dcd,development,False
EURF2_0022,rsi_fade,chop,long,30.0,1.0,0.8,32,0,0.0,liquid,789,0.42237687366167026,383,0.48542458808618505,-111.88822790179157,-0.14181017478047092,-978.0111626182686,0.7283507079822394,113.30473608779927,0.3384615384615385,0.6513881597682065,fc93e80aa01a7748ad051067a0c82bc2c668071750d20925a609b02e389c1426,development,False
EURF2_0023,rsi_fade,chop,long,30.0,1.0,1.0,32,0,0.0,all,946,0.5064239828693791,428,0.452431289640592,-106.71769413815117,-0.11280940183736911,-992.9033412789079,0.7967883846066037,111.32548380625097,0.36923076923076925,0.7061101684430154,7929acac0b646f633db89bab5d46c6b661db92b9ec8ab2983aa62dea68c5cb27,development,False
EURF2_0024,rsi_fade,chop,long,30.0,1.0,1.0,32,0,0.0,liquid,769,0.41167023554603854,332,0.4317295188556567,-117.20897848019824,-0.15241739724343073,-1060.8985589882282,0.7356108816374297,118.19584505486053,0.35384615384615387,0.648327478157296,f098b16324c4b68ba2f570cabc6a415c800959d0f701a52a26b7fd3b3501536e,development,False
EURF2_0025,rsi_fade,chop,long,30.0,1.4,0.7,32,0,0.0,all,883,0.4726980728051392,461,0.522083805209513,-105.65567129342446,-0.1196553468781704,-1206.2377409282622,0.7502005562480738,109.88359238517619,0.3230769230769231,0.6763023629100142,5849bd0a943aa2a62570a5acef68ce15228c67fde9d7c604a8c04cda2c610153,development,False
EURF2_0026,rsi_fade,chop,long,30.0,1.4,0.7,32,0,0.0,liquid,715,0.382762312633833,359,0.5020979020979021,-109.51535650942526,-0.15316833078241296,-1247.334011457246,0.6931745249287604,110.89947346690971,0.3384615384615385,0.6231185457196696,388a51d5dd7f26a548543d12b4f2a0fa7794d6ebd3b946e17c232b0457ba0e05,development,False
EURF2_0027,rsi_fade,chop,long,30.0,1.4,0.8,32,0,0.0,all,863,0.4619914346895075,421,0.48783314020857477,-113.5846440991825,-0.13161604182987544,-1310.8878973045134,0.7437160248043354,116.18662705457436,0.3384615384615385,0.66484576682758,f30a5d8d4bdc99d9d23041b52391a2efa07074ab73c09122eb38f3bdc8823a0d,development,False
EURF2_0028,rsi_fade,chop,long,30.0,1.4,0.8,32,0,0.0,liquid,699,0.3741970021413276,323,0.46208869814020026,-123.71342843645934,-0.17698630677605057,-1393.7279550159155,0.671989568109141,125.29754539394366,0.2923076923076923,0.5982615484527047,cbca90cb190b9d0a182ce1877df2b227c2128e8786fb3c6759303e348a9f42f4,development,False
