month,training_start_utc,training_cutoff_utc,training_signals,score_signals,admitted_subregimes,selected_signals,status
2021-03,2018-03-01T00:00:00+00:00,2021-03-01T00:00:00+00:00,2133,52,2,17,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-04,2018-04-01T00:00:00+00:00,2021-04-01T00:00:00+00:00,2091,38,3,4,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-05,2018-05-01T00:00:00+00:00,2021-05-01T00:00:00+00:00,2063,71,2,6,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-06,2018-06-01T00:00:00+00:00,2021-06-01T00:00:00+00:00,2109,76,2,10,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-07,2018-07-01T00:00:00+00:00,2021-07-01T00:00:00+00:00,2122,98,3,42,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-08,2018-08-01T00:00:00+00:00,2021-08-01T00:00:00+00:00,2108,69,3,19,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-09,2018-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00,2139,69,2,26,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-10,2018-10-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,2144,64,2,9,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-11,2018-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,2158,34,3,12,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2021-12,2018-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,2120,109,0,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-01,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2126,60,0,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-02,2019-02-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,2127,48,0,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-03,2019-03-01T00:00:00+00:00,2022-03-01T00:00:00+00:00,2111,56,0,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-04,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2120,47,1,3,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-05,2019-05-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,2122,63,1,2,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-06,2019-06-01T00:00:00+00:00,2022-06-01T00:00:00+00:00,2082,92,2,23,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-07,2019-07-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2149,18,3,8,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-08,2019-08-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,2097,82,3,25,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-09,2019-09-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,2113,70,3,45,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-10,2019-10-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2128,71,3,41,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-11,2019-11-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,2120,57,1,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2022-12,2019-12-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,2157,78,2,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-01,2020-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2203,79,3,15,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-02,2020-02-01T00:00:00+00:00,2023-02-01T00:00:00+00:00,2223,80,3,34,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-03,2020-03-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,2290,88,4,28,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-04,2020-04-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2371,92,2,18,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-05,2020-05-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,2379,50,4,6,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-06,2020-06-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,2374,79,4,29,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-07,2020-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2389,36,4,2,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-08,2020-08-01T00:00:00+00:00,2023-08-01T00:00:00+00:00,2368,103,5,47,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-09,2020-09-01T00:00:00+00:00,2023-09-01T00:00:00+00:00,2398,60,6,24,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-10,2020-10-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2406,97,4,56,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-11,2020-11-01T00:00:00+00:00,2023-11-01T00:00:00+00:00,2425,58,5,19,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2023-12,2020-12-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,2408,12,5,11,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-01,2021-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2373,73,5,36,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-02,2021-02-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,2378,91,5,16,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-03,2021-03-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,2418,72,4,16,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-04,2021-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2437,57,4,22,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-05,2021-05-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,2456,93,3,16,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-06,2021-06-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,2479,61,2,1,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-07,2021-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,2465,50,4,7,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-08,2021-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,2415,28,3,5,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-09,2021-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,2377,44,3,0,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-10,2021-10-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,2352,22,3,7,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-11,2021-11-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,2309,21,3,5,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2024-12,2021-12-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,2296,101,3,11,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-01,2022-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2287,77,3,16,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-02,2022-02-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,2305,88,4,42,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-03,2022-03-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,2346,30,3,4,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-04,2022-04-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,2316,39,4,8,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-05,2022-05-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,2309,88,4,22,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-06,2022-06-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,2332,73,4,17,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-07,2022-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,2318,42,4,11,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-08,2022-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,2342,89,3,9,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-09,2022-09-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,2347,88,3,18,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-10,2022-10-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,2364,90,4,21,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-11,2022-11-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,2386,60,4,8,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2025-12,2022-12-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,2387,63,3,8,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-01,2023-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2374,41,2,4,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-02,2023-02-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,2336,49,2,2,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-03,2023-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,2302,62,3,7,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-04,2023-04-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2277,63,2,18,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-05,2023-05-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2247,75,2,3,PAST_ONLY_SUBREGIME_EXPERTS_FIT
2026-06,2023-06-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2274,62,1,3,PAST_ONLY_SUBREGIME_EXPERTS_FIT
