regime_owner,geometry_id,schema_id,history_mode,state_count,block_number,block_start,block_end,history_start,purge_cutoff,training_action_rows,test_action_rows,populated_state_actions,short_global_rows,long_global_rows
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,1,2012-01-01 00:00:00+00:00,2012-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2011-12-31 00:00:00+00:00,790,402,48,395,395
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,2,2012-07-01 00:00:00+00:00,2013-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2012-06-30 00:00:00+00:00,1192,214,48,596,596
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,3,2013-01-01 00:00:00+00:00,2013-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2012-12-31 00:00:00+00:00,1402,428,48,701,701
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,4,2013-07-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2013-06-30 00:00:00+00:00,1834,324,48,917,917
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,5,2014-01-01 00:00:00+00:00,2014-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2013-12-31 00:00:00+00:00,2148,242,48,1074,1074
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,6,2014-07-01 00:00:00+00:00,2015-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2014-06-30 00:00:00+00:00,2400,194,48,1200,1200
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,7,2015-01-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2014-12-31 00:00:00+00:00,2590,282,48,1295,1295
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,8,2015-07-01 00:00:00+00:00,2016-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2015-06-30 00:00:00+00:00,2866,156,48,1433,1433
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,9,2016-01-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2015-12-31 00:00:00+00:00,3032,384,48,1516,1516
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,10,2016-07-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2016-06-30 00:00:00+00:00,3416,72,48,1708,1708
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,11,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2016-12-31 00:00:00+00:00,3488,152,48,1744,1744
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,12,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2017-06-30 00:00:00+00:00,3640,150,48,1820,1820
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,13,2018-01-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2017-12-31 00:00:00+00:00,3790,328,48,1895,1895
CHOP,C_G1_BALANCED,C01_SESSION_VWAP,EXPANDING,24,14,2018-07-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,2010-01-01 00:00:00+00:00,2018-06-30 00:00:00+00:00,4118,180,48,2059,2059
