Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,report_date_utc,dealer_net_pct_oi,dealer_flow_change,vote_dealer,asset_net_pct_oi,asset_flow_change,vote_asset,leveraged_net_pct_oi,leveraged_flow_change,vote_leveraged,three_valid_nonzero_votes,vote_sum,side,availability_utc
407105,145548,11758,94309,112776,38376,161853,2016-01-05 00:00:00+00:00,0.3286375750727699,,,-0.04536176170766756,,,-0.3033050441532283,,,False,,CASH,2016-01-13 00:00:00+00:00
398570,139817,16492,94427,115386,36831,146209,2016-01-12 00:00:00+00:00,0.30941867175151166,-0.01921890332125825,1.0,-0.05258549313796824,-0.007223731430300681,-1.0,-0.27442607321173196,0.02887897094149633,1.0,True,1.0,LONG,2016-01-20 00:00:00+00:00
400362,130616,29924,96844,113090,42777,138771,2016-01-19 00:00:00+00:00,0.25150239033674526,-0.0579162814147664,1.0,-0.04057827665962304,0.012007216478345198,1.0,-0.23976800995099434,0.034658063260737615,1.0,True,3.0,LONG,2016-01-27 00:00:00+00:00
402227,133705,34719,95810,115590,41806,130781,2016-01-26 00:00:00+00:00,0.24609486682892992,-0.005407523507815343,1.0,-0.04917621144279225,-0.008597934783169212,-1.0,-0.22120593595158952,0.01856207399940482,1.0,True,1.0,LONG,2016-02-03 00:00:00+00:00
403939,124323,62749,98552,108399,44996,119549,2016-02-02 00:00:00+00:00,0.15243390709983437,-0.09366095972909555,1.0,-0.02437744312878925,0.024798768314003003,1.0,-0.18456499619992128,0.03664093975166824,1.0,True,3.0,LONG,2016-02-10 00:00:00+00:00
441228,125835,110810,103235,94764,56296,118095,2016-02-09 00:00:00+00:00,0.03405268931255496,-0.11838121778727942,1.0,0.01919869092623315,0.0435761340550224,1.0,-0.1400613741648309,0.044503622035090395,1.0,True,3.0,LONG,2016-02-17 00:00:00+00:00
429997,118338,122124,100634,93660,57265,98372,2016-02-16 00:00:00+00:00,-0.008804712591018077,-0.04285740190357304,1.0,0.016218717805007943,-0.0029799731212252073,-1.0,-0.0955983413837771,0.04446303278105379,1.0,True,1.0,LONG,2016-02-24 00:00:00+00:00
422624,123404,124087,112727,93719,55047,90947,2016-02-23 00:00:00+00:00,-0.0016160937381691526,0.007188618852848925,-1.0,0.04497614901188764,0.028757431206879694,1.0,-0.08494548345574317,0.01065285792803393,1.0,True,1.0,LONG,2016-03-02 00:00:00+00:00
417624,127024,89796,109538,101128,55422,107037,2016-03-01 00:00:00+00:00,0.08914238645288584,0.090758480191055,-1.0,0.020137731547995325,-0.02483841746389231,-1.0,-0.12359203494052066,-0.0386465514847775,-1.0,True,-3.0,SHORT,2016-03-09 00:00:00+00:00
433221,126759,81881,109249,104822,51645,113572,2016-03-08 00:00:00+00:00,0.10359146948093467,0.014449083028048829,-1.0,0.010218802874283565,-0.00991892867371176,-1.0,-0.14294551741489908,-0.019353482474378417,-1.0,True,-3.0,SHORT,2016-03-16 00:00:00+00:00
322405,83931,9761,107584,100699,31348,106061,2016-03-15 00:00:00+00:00,0.23005226345745258,0.1264607939765179,-1.0,0.02135512786712365,0.011136324992840084,1.0,-0.23173648051363968,-0.0887909630987406,-1.0,True,-1.0,SHORT,2016-03-23 00:00:00+00:00
324310,78993,17380,106833,97975,34559,103365,2016-03-22 00:00:00+00:00,0.18998180752983257,-0.04007045592762001,1.0,0.027313373007307823,0.005958245140184174,1.0,-0.21216120378650058,0.0195752767271391,1.0,True,3.0,LONG,2016-03-30 00:00:00+00:00
330090,78533,23474,106539,98704,40268,103385,2016-03-29 00:00:00+00:00,0.16679996364627828,-0.023181843883554293,1.0,0.023735950801296615,-0.0035774222060112083,-1.0,-0.19121148777606106,0.020949716010439517,1.0,True,1.0,LONG,2016-04-06 00:00:00+00:00
338533,76957,34577,107578,96338,44989,99328,2016-04-05 00:00:00+00:00,0.1251872047924427,-0.041612758853835585,1.0,0.03320208074249778,0.009466129941201166,1.0,-0.1605131552906216,0.03069833248543946,1.0,True,3.0,LONG,2016-04-13 00:00:00+00:00
333535,75309,37611,101793,97961,42407,89897,2016-04-12 00:00:00+00:00,0.11302561950020237,-0.012161585292240318,1.0,0.011489049125279207,-0.021713031617218576,-1.0,-0.14238385776605153,0.01812929752457007,1.0,True,1.0,LONG,2016-04-20 00:00:00+00:00
345563,75217,43377,109863,97686,48596,99473,2016-04-19 00:00:00+00:00,0.09213949410093095,-0.020886125399271427,1.0,0.03523814760260792,0.023749098477328714,1.0,-0.14722930406322435,-0.004845446297172817,-1.0,True,1.0,LONG,2016-04-27 00:00:00+00:00
340200,65407,48424,118082,97835,47618,90830,2016-04-26 00:00:00+00:00,0.04992063492063492,-0.042218859180296026,1.0,0.05951499118165785,0.024276843579049932,1.0,-0.12701940035273368,0.020209903710490668,1.0,True,3.0,LONG,2016-05-04 00:00:00+00:00
360461,64509,69774,127077,93316,51355,89978,2016-05-03 00:00:00+00:00,-0.01460629582673299,-0.06452693074736791,1.0,0.09366061793092734,0.034145626749269485,1.0,-0.10714890099067582,0.019870499362057856,1.0,True,3.0,LONG,2016-05-11 00:00:00+00:00
344978,62811,67691,126547,95659,43026,74363,2016-05-10 00:00:00+00:00,-0.01414582958913322,0.0004604662375997694,-1.0,0.08953614433384158,-0.004124473597085759,-1.0,-0.0908376766054647,0.016311224385211126,1.0,True,-1.0,SHORT,2016-05-18 00:00:00+00:00
349559,62501,65525,122994,97766,48634,71176,2016-05-17 00:00:00+00:00,-0.008650900134169052,0.005494929454964168,-1.0,0.07217093537857701,-0.01736520895526457,-1.0,-0.06448696786522447,0.02635070874024023,1.0,True,-1.0,SHORT,2016-05-25 00:00:00+00:00
350242,68359,40565,121647,102270,44138,92972,2016-05-24 00:00:00+00:00,0.0793565591790819,0.08800745931325095,-1.0,0.055324604130858095,-0.016846331247718914,-1.0,-0.1394293088778616,-0.07494234101263712,-1.0,True,-3.0,SHORT,2016-06-01 00:00:00+00:00
356178,75509,31570,123417,102426,47103,108677,2016-05-31 00:00:00+00:00,0.12336247606533812,0.04400591688625623,-1.0,0.05893401613799842,0.0036094120071403224,1.0,-0.172874237038784,-0.0334449281609224,-1.0,True,-1.0,SHORT,2016-06-08 00:00:00+00:00
386010,69125,31845,124346,98288,40588,104671,2016-06-07 00:00:00+00:00,0.0965778088650553,-0.026784667200282816,1.0,0.06750602316002176,0.008572007022023341,1.0,-0.1660138338385016,0.006860403200282389,1.0,True,3.0,LONG,2016-06-15 00:00:00+00:00
325402,79214,10230,125648,101938,34745,104819,2016-06-14 00:00:00+00:00,0.21199623849884144,0.11541842963378614,-1.0,0.07286371933792662,0.0053576961779048665,1.0,-0.21534594132795742,-0.04933210748945582,-1.0,True,-1.0,SHORT,2016-06-22 00:00:00+00:00
317400,82416,10981,127836,97940,20771,99392,2016-06-21 00:00:00+00:00,0.22506301197227474,0.013066773473433296,-1.0,0.09419029615626968,0.02132657681834306,1.0,-0.247703213610586,-0.03235727228262858,-1.0,True,-1.0,SHORT,2016-06-29 00:00:00+00:00
337273,84085,8870,120432,101241,49126,107937,2016-06-28 00:00:00+00:00,0.22300925363133128,-0.0020537583409434568,1.0,0.05690049307237757,-0.03728980308389211,-1.0,-0.17437209619507046,0.07333111741551554,1.0,True,1.0,LONG,2016-07-06 00:00:00+00:00
362649,106777,7613,118498,104234,50547,125202,2016-07-05 00:00:00+00:00,0.2734434673747894,0.050434213743458134,-1.0,0.039332798380803474,-0.0175676946915741,-1.0,-0.20586021194047135,-0.03148811574540089,-1.0,True,-3.0,SHORT,2016-07-13 00:00:00+00:00
370372,117858,9535,120769,99024,44389,136261,2016-07-12 00:00:00+00:00,0.2924708131284222,0.019027345753632796,-1.0,0.05871124167053665,0.019378443289733177,1.0,-0.2480533085654423,-0.04219309662497095,-1.0,True,-1.0,SHORT,2016-07-20 00:00:00+00:00
388905,131597,10055,118973,95861,47774,152822,2016-07-19 00:00:00+00:00,0.3125236240212905,0.02005281089286831,-1.0,0.05942839510934547,0.0007171534388088208,1.0,-0.27011223820727426,-0.022058929641831954,-1.0,True,-1.0,SHORT,2016-07-27 00:00:00+00:00
400035,142211,10135,121944,98258,45408,157311,2016-07-26 00:00:00+00:00,0.330161110902796,0.01763748688150546,-1.0,0.059209819140825175,-0.00021857596852029731,-1.0,-0.27973302336045597,-0.00962078515318171,-1.0,True,-3.0,SHORT,2016-08-03 00:00:00+00:00
378500,122628,10311,124805,95834,34783,143066,2016-08-02 00:00:00+00:00,0.2967424042272127,-0.033418706675583276,1.0,0.07654161162483487,0.0173317924840097,1.0,-0.2860845442536328,-0.00635152089317681,-1.0,True,1.0,LONG,2016-08-10 00:00:00+00:00
368693,127026,10982,121696,95146,30468,134266,2016-08-09 00:00:00+00:00,0.3147442452121413,0.018001840984928574,-1.0,0.0720111312121467,-0.004530480412688179,-1.0,-0.2815296194937251,0.0045549247599076526,1.0,True,-1.0,SHORT,2016-08-17 00:00:00+00:00
366037,112228,11099,126444,97456,33869,132494,2016-08-16 00:00:00+00:00,0.27628081314184083,-0.03846343207030045,1.0,0.0791941798233512,0.007183048611204501,1.0,-0.26943997464737174,0.012089644846353387,1.0,True,3.0,LONG,2016-08-24 00:00:00+00:00
364044,101701,23423,130514,97786,37197,120293,2016-08-23 00:00:00+00:00,0.21502345870279416,-0.061257354439046674,1.0,0.08990122073155993,0.010707040908208731,1.0,-0.2282581226445155,0.041181852002856234,1.0,True,3.0,LONG,2016-08-31 00:00:00+00:00
364843,106753,16941,129315,102383,40910,123907,2016-08-30 00:00:00+00:00,0.24616615914242565,0.031142700439631493,-1.0,0.07381805324482038,-0.016083167486739547,-1.0,-0.22748689162187571,0.00077123102263979,1.0,True,-1.0,SHORT,2016-09-07 00:00:00+00:00
375985,117268,16233,126432,103118,32909,120521,2016-09-06 00:00:00+00:00,0.2687208266287219,0.022554667486296226,-1.0,0.062007792864077024,-0.011810260380743356,-1.0,-0.23301993430588985,-0.005533042684014139,-1.0,True,-3.0,SHORT,2016-09-14 00:00:00+00:00
379624,112651,24635,126684,95907,29045,111600,2016-09-13 00:00:00+00:00,0.23185046256295702,-0.036870364065764855,1.0,0.0810723241944661,0.019064531330389073,1.0,-0.21746517606895244,0.015554758236937416,1.0,True,3.0,LONG,2016-09-21 00:00:00+00:00
324525,87218,7754,125439,102623,29136,111313,2016-09-20 00:00:00+00:00,0.2448624913334874,0.01301202877053037,-1.0,0.07030583160003082,-0.010766492594435281,-1.0,-0.2532224019721131,-0.03575722590316066,-1.0,True,-3.0,SHORT,2016-09-28 00:00:00+00:00
328490,75038,9853,135038,101191,27769,107429,2016-09-27 00:00:00+00:00,0.19843830862431125,-0.04642418270917614,1.0,0.10303814423574538,0.032732312635714564,1.0,-0.24250357697342384,0.010718824998689258,1.0,True,3.0,LONG,2016-10-05 00:00:00+00:00
347643,80065,8464,142251,101903,31968,120181,2016-10-04 00:00:00+00:00,0.2059612878729041,0.007522979248592854,-1.0,0.11606159192044713,0.013023447684701747,1.0,-0.25374594051944094,-0.011242363546017098,-1.0,True,-1.0,SHORT,2016-10-12 00:00:00+00:00
378774,102809,12013,145892,104200,33435,142631,2016-10-11 00:00:00+00:00,0.23971022298257008,0.03374893510966598,-1.0,0.11007091299825225,-0.005990678922194875,-1.0,-0.28828800287242523,-0.03454206235298429,-1.0,True,-3.0,SHORT,2016-10-19 00:00:00+00:00
413183,128464,11039,151478,108129,36224,175376,2016-10-18 00:00:00+00:00,0.2841961068098155,0.044485883827245415,-1.0,0.10491477142089582,-0.0051561415773564295,-1.0,-0.3367805548630994,-0.04849255199067415,-1.0,True,-3.0,SHORT,2016-10-26 00:00:00+00:00
448471,156875,11802,137043,109097,52746,205053,2016-10-25 00:00:00+00:00,0.3234835697291464,0.039287462919330884,-1.0,0.06231395118078984,-0.04260082024010598,-1.0,-0.3396139326734616,-0.0028333778103622476,-1.0,True,-3.0,SHORT,2016-11-02 00:00:00+00:00
444502,164037,12348,137071,104004,43948,201538,2016-11-01 00:00:00+00:00,0.3412560573405744,0.017772487611428023,-1.0,0.07439111635043262,0.01207716516964278,1.0,-0.3545315881593334,-0.014917655485871761,-1.0,True,-1.0,SHORT,2016-11-09 00:00:00+00:00
418007,139346,26262,139826,98355,39714,174612,2016-11-08 00:00:00+00:00,0.27053135473807854,-0.07072470260249586,1.0,0.09921125722774977,0.024820140877317154,1.0,-0.32271708368520147,0.03181450447413192,1.0,True,3.0,LONG,2016-11-16 00:00:00+00:00
415752,126540,25809,140126,96267,39876,169235,2016-11-15 00:00:00+00:00,0.24228626681290769,-0.02824508792517086,1.0,0.10549317862571918,0.006281921397969403,1.0,-0.31114462468009774,0.01157245900510373,1.0,True,3.0,LONG,2016-11-23 00:00:00+00:00
434768,132793,18892,138873,97372,45054,180975,2016-11-22 00:00:00+00:00,0.2619811025650462,0.019694835752138512,-1.0,0.09545550730504546,-0.010037671320673722,-1.0,-0.3126288043278254,-0.0014841796477276792,-1.0,True,-3.0,SHORT,2016-11-30 00:00:00+00:00
447190,142169,20780,142027,98728,43426,199792,2016-11-29 00:00:00+00:00,0.2714483776470851,0.009467275082038928,-1.0,0.09682461593506116,0.0013691086300157002,1.0,-0.3496634540128357,-0.0370346496850103,-1.0,True,-1.0,SHORT,2016-12-07 00:00:00+00:00
433237,129170,26747,137597,102590,44906,171370,2016-12-06 00:00:00+00:00,0.23641332573164342,-0.035035051915441706,1.0,0.08080334782116948,-0.01602126811389168,-1.0,-0.29190489270307013,0.05775856130976559,1.0,True,1.0,LONG,2016-12-14 00:00:00+00:00
447679,105422,26405,139102,93977,37839,155164,2016-12-13 00:00:00+00:00,0.17650370019589928,-0.05990962553574414,1.0,0.10079766975891208,0.0199943219377426,1.0,-0.2620739413731714,0.029830951329898714,1.0,True,3.0,LONG,2016-12-21 00:00:00+00:00
399589,114471,47935,140309,96342,37089,142018,2016-12-20 00:00:00+00:00,0.1665110901451241,-0.009992610050775175,1.0,0.1100305563966976,0.009232886637785528,1.0,-0.2625923136022263,-0.0005183722290548753,-1.0,True,1.0,LONG,2016-12-28 00:00:00+00:00
405681,119877,47960,138677,99968,40745,145933,2016-12-27 00:00:00+00:00,0.17727475528802186,0.010763665142897755,-1.0,0.09541733529546614,-0.014613221101231463,-1.0,-0.2592874697114235,0.0033048438908027666,1.0,True,-1.0,SHORT,2017-01-04 00:00:00+00:00
416239,124828,52870,142247,100769,39085,156312,2017-01-03 00:00:00+00:00,0.17287664058389532,-0.004398114704126543,1.0,0.09964948022650448,0.004232144931038337,1.0,-0.28163386900314485,-0.02234639929172133,-1.0,True,1.0,LONG,2017-01-11 00:00:00+00:00
415212,118588,57708,146116,95670,40658,156379,2017-01-10 00:00:00+00:00,0.1466238933364161,-0.026252747247479225,1.0,0.12149456181420576,0.02184508158770128,1.0,-0.2787034093426972,0.0029304596604476374,1.0,True,3.0,LONG,2017-01-18 00:00:00+00:00
415090,108841,68017,150057,89517,40110,151134,2017-01-17 00:00:00+00:00,0.09834975547471633,-0.04827413786169976,1.0,0.14584788840974247,0.024353326595536712,1.0,-0.26746970536510156,0.011233703977595655,1.0,True,3.0,LONG,2017-01-25 00:00:00+00:00
414447,107357,85277,148902,86868,39640,138292,2017-01-24 00:00:00+00:00,0.05327581089982555,-0.045073944574890785,1.0,0.14967896980796097,0.0038310813982185,1.0,-0.23803284859101406,0.0294368567740875,1.0,True,3.0,LONG,2017-02-01 00:00:00+00:00
405541,106345,88659,139095,84312,45287,129247,2017-01-31 00:00:00+00:00,0.04361088028090871,-0.009664930618916837,1.0,0.13508621816289845,-0.014592751645062518,-1.0,-0.20703208800096662,0.031000760590047444,1.0,True,1.0,LONG,2017-02-08 00:00:00+00:00
409178,109215,91881,139023,88234,42430,129012,2017-02-07 00:00:00+00:00,0.04236298139196144,-0.0012478988889472672,1.0,0.12412446416962788,-0.010961753993270568,-1.0,-0.21159984163371443,-0.004567753632747806,-1.0,True,-1.0,SHORT,2017-02-15 00:00:00+00:00
