candidate_id,family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,target_first,fixed_0p01_lot_usd,r,extra_half_pip_stress_r,report_date_utc,availability_utc,vote_sum,vote_dealer,dealer_flow_change,vote_asset,asset_flow_change,vote_leveraged,leveraged_flow_change,oracle_member
20190627T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-06-26 23:55:00+00:00,2019-06-27 00:00:00+00:00,2019-06-27 00:00:00+00:00,2019-06-27 00:10:00+00:00,1.13742,1.1370200000000001,1.13802,1.13701,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-06-18 00:00:00+00:00,2019-06-26 00:00:00+00:00,3.0,1.0,-0.03443385248626457,1.0,0.004488273063891879,1.0,0.014149377918089123,0
20190703T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-07-02 23:55:00+00:00,2019-07-03 00:00:00+00:00,2019-07-03 00:00:00+00:00,2019-07-03 00:10:00+00:00,1.1291200000000001,1.1287200000000002,1.12972,1.12871,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-06-25 00:00:00+00:00,2019-07-03 00:00:00+00:00,1.0,1.0,-0.029235407634357252,1.0,0.036071747506599194,-1.0,-0.0017559413509832256,0
20190712T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-07-11 23:55:00+00:00,2019-07-12 00:00:00+00:00,2019-07-12 00:00:00+00:00,2019-07-12 00:45:00+00:00,1.1250600000000002,1.1246600000000002,1.12566,1.12565,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-07-02 00:00:00+00:00,2019-07-10 00:00:00+00:00,3.0,1.0,-0.003321226305571745,1.0,0.004336202943357126,1.0,0.012336842877268162,1
20190718T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-07-17 23:55:00+00:00,2019-07-18 00:00:00+00:00,2019-07-18 00:00:00+00:00,2019-07-18 00:45:00+00:00,1.12272,1.12312,1.12212,1.12313,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-07-09 00:00:00+00:00,2019-07-17 00:00:00+00:00,-3.0,-1.0,0.017733195907573857,-1.0,-0.02726446244323938,-1.0,-0.009989287898103022,0
20190724T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-07-23 23:55:00+00:00,2019-07-24 00:00:00+00:00,2019-07-24 00:00:00+00:00,2019-07-24 00:35:00+00:00,1.11507,1.11547,1.11447,1.1144800000000001,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-07-16 00:00:00+00:00,2019-07-24 00:00:00+00:00,-1.0,-1.0,0.001729503649686548,-1.0,-0.011993399969929819,1.0,0.009465163682428973,1
20190814T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-08-13 23:55:00+00:00,2019-08-14 00:00:00+00:00,2019-08-14 00:00:00+00:00,2019-08-14 01:00:00+00:00,1.11763,1.1180299999999999,1.11703,1.11804,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-08-06 00:00:00+00:00,2019-08-14 00:00:00+00:00,-1.0,-1.0,0.017939787120685793,-1.0,-0.03833173036336837,1.0,0.02694514490766986,0
20190821T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-08-20 23:55:00+00:00,2019-08-21 00:00:00+00:00,2019-08-21 00:00:00+00:00,2019-08-21 00:05:00+00:00,1.10978,1.10938,1.11038,1.10937,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-08-13 00:00:00+00:00,2019-08-21 00:00:00+00:00,1.0,1.0,-0.04856652431139945,1.0,0.08941975518213943,-1.0,-0.040647108117313674,0
20190829T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-08-28 23:55:00+00:00,2019-08-29 00:00:00+00:00,2019-08-29 00:00:00+00:00,2019-08-29 02:00:00+00:00,1.10864,1.1082400000000001,1.10924,1.10823,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-08-20 00:00:00+00:00,2019-08-28 00:00:00+00:00,1.0,1.0,-0.009386751060327908,-1.0,-0.015170232945998341,1.0,0.021225507432248963,0
20190904T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-09-03 23:55:00+00:00,2019-09-04 00:00:00+00:00,2019-09-04 00:00:00+00:00,2019-09-04 00:05:00+00:00,1.09724,1.09764,1.09664,1.09765,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-08-27 00:00:00+00:00,2019-09-04 00:00:00+00:00,-1.0,-1.0,0.020839198500880535,-1.0,-0.03239103243923497,1.0,0.008487721888487093,0
20190912T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-09-11 23:55:00+00:00,2019-09-12 00:00:00+00:00,2019-09-12 00:00:00+00:00,2019-09-12 06:35:00+00:00,1.10133,1.1017299999999999,1.10073,1.10074,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-09-03 00:00:00+00:00,2019-09-11 00:00:00+00:00,-1.0,-1.0,0.03602722640969515,-1.0,-0.03599281669206633,1.0,0.0028177540939832713,1
