bucket,trades,wins,losses,net_usd,gross_profit_usd,gross_loss_usd,profit_factor_unrounded
00:00-05:59,178,114,64,32.79,89.47,56.68,1.5785109386026817
06:00-11:59,463,248,215,-27.19,243.07,270.26,0.8993931769407237
12:00-17:59,435,256,179,57.26,381.21,323.95,1.1767556721716315
18:00-23:59,69,41,28,14.4,65.86,51.46,1.2798289933929266
