bucket,trades,wins,losses,net_usd,gross_profit_usd,gross_loss_usd,profit_factor_unrounded
2022-07,29,18,11,7.11,31.99,24.88,1.2857717041800645
2022-08,28,16,12,1.52,22.23,20.71,1.073394495412844
2022-09,27,13,14,-5.16,24.86,30.02,0.8281145902731513
2022-10,20,11,9,-2.22,18.98,21.2,0.8952830188679246
2022-11,16,7,9,-2.05,13.95,16.0,0.871875
2022-12,5,4,1,6.81,8.14,1.33,6.120300751879699
2023-01,21,15,6,9.74,21.57,11.83,1.823330515638208
2023-02,30,20,10,9.03,25.59,16.56,1.5452898550724639
2023-03,20,10,10,-8.26,13.86,22.12,0.6265822784810126
2023-04,22,9,13,-10.85,11.36,22.21,0.5114813147230977
2023-05,39,25,14,11.91,29.86,17.95,1.6635097493036213
2023-06,23,12,11,-1.57,13.15,14.72,0.8933423913043478
2023-07,25,14,11,-4.28,14.49,18.77,0.7719765583377731
2023-08,30,18,12,1.26,19.08,17.82,1.0707070707070705
2023-09,26,16,10,-0.49,15.47,15.96,0.9692982456140352
2023-10,18,11,7,1.71,10.93,9.22,1.1854663774403469
2023-11,23,16,7,6.71,15.32,8.61,1.7793263646922186
2023-12,16,13,3,13.72,18.24,4.52,4.035398230088495
2024-01,29,14,15,-5.71,13.96,19.67,0.7097102186070159
2024-02,20,12,8,4.87,12.69,7.82,1.6227621483375958
2024-03,25,11,14,-4.66,9.1,13.76,0.6613372093023255
2024-04,37,18,19,-3.18,16.14,19.32,0.8354037267080745
2024-05,22,15,7,3.24,9.74,6.5,1.4984615384615385
2024-06,34,17,17,-6.5,12.98,19.48,0.6663244353182751
2024-07,16,11,5,2.93,7.2,4.27,1.6861826697892275
2024-08,18,9,9,-0.32,8.75,9.07,0.9647188533627342
2024-09,18,12,6,7.19,13.87,6.68,2.0763473053892216
2024-10,35,21,14,1.89,17.94,16.05,1.1177570093457945
2024-11,32,16,16,-4.05,23.94,27.99,0.8553054662379422
2024-12,22,12,10,0.42,15.76,15.34,1.0273794002607561
2025-01,21,13,8,-0.46,14.63,15.09,0.9695162359178264
2025-02,19,13,6,6.32,14.09,7.77,1.8133848133848134
2025-03,18,12,6,8.22,16.18,7.96,2.0326633165829144
2025-04,15,12,3,19.82,27.92,8.1,3.446913580246913
2025-05,20,12,8,2.55,19.5,16.95,1.1504424778761062
2025-06,13,8,5,5.61,13.69,8.08,1.6943069306930691
2025-07,35,20,15,5.15,25.41,20.26,1.2541954590325763
2025-08,22,9,13,-8.7,9.61,18.31,0.5248498088476242
2025-09,19,10,9,-2.29,10.34,12.63,0.8186856690419636
2025-10,32,16,16,-3.87,18.22,22.09,0.8248076052512449
2025-11,13,7,6,-1.91,5.4,7.31,0.7387140902872777
2025-12,12,9,3,4.14,6.26,2.12,2.952830188679245
2026-01,26,18,8,7.44,20.32,12.88,1.577639751552795
2026-02,27,15,12,1.59,15.3,13.71,1.1159737417943107
2026-03,38,19,19,-3.11,25.36,28.47,0.890762205830699
2026-04,19,10,9,0.17,10.43,10.26,1.0165692007797271
2026-05,30,17,13,3.42,14.55,11.13,1.3072776280323448
2026-06,36,20,16,1.25,18.96,17.71,1.0705815923207227
2026-07,4,3,1,1.16,2.3,1.14,2.017543859649123
