bucket,trades,wins,losses,net_usd,gross_profit_usd,gross_loss_usd,profit_factor_unrounded
2022,125,69,56,6.01,120.15,114.14,1.0526546346591905
2023,293,179,114,28.63,208.92,180.29,1.1587997115757946
2024,308,168,140,-3.88,162.07,165.95,0.9766194636938837
2025,239,141,98,34.58,181.25,146.67,1.2357673689234336
2026,180,102,78,11.92,107.22,95.3,1.1250786988457502
