symbol,exact_mt5_symbol,volume_min,volume_step,contract_size,margin_usd_min_volume_at_capture,total_loss_feasibility_status,sizing_rejection_pct
XAUUSD,XAUUSD,0.01,0.01,100.0,8.065395095367847,NOT_EVALUATED_DATA_GATE_STOP,
EURUSD,EURUSD,0.01,0.01,100000.0,11.400544959128066,NOT_EVALUATED_DATA_GATE_STOP,
GBPUSD,GBPUSD,0.01,0.01,100000.0,13.373297002724795,NOT_EVALUATED_DATA_GATE_STOP,
USDJPY,USDJPY,0.01,0.01,100000.0,10.010899182561309,NOT_EVALUATED_DATA_GATE_STOP,
