symbol,scoring_status,trades,profit_factor,expectancy_r,net_r
XAUUSD,NOT_SCORED_DATA_GATE_STOP,0,,,
EURUSD,NOT_SCORED_DATA_GATE_STOP,0,,,
GBPUSD,NOT_SCORED_DATA_GATE_STOP,0,,,
USDJPY,NOT_SCORED_DATA_GATE_STOP,0,,,
