symbol,exact_mt5_symbol,contract_available,h1_file_present,m15_file_present,m5_file_present,repository_execution_source,repository_bid_ask_promotion_grade,first_terminal_tick_utc,full_period_terminal_ticks_complete,complete_trustworthy_execution_data,contract_expressibility_status,data_stop_reason
XAUUSD,XAUUSD,True,True,True,True,BAR_OHLC_PLUS_SINGLE_SPREAD_FIELD,False,2026-05-06T00:00:00.291000+00:00,False,False,NOT_EVALUATED_DATA_GATE_STOP,FULL_PERIOD_RAW_BID_ASK_OR_TICK_DERIVED_M5_UNAVAILABLE
EURUSD,EURUSD,True,True,True,True,BAR_OHLC_PLUS_SINGLE_SPREAD_FIELD,False,2025-03-11T12:54:25.900000+00:00,False,False,NOT_EVALUATED_DATA_GATE_STOP,FULL_PERIOD_RAW_BID_ASK_OR_TICK_DERIVED_M5_UNAVAILABLE
GBPUSD,GBPUSD,True,False,False,False,MISSING,False,2025-03-11T12:54:25.888000+00:00,False,False,NOT_EVALUATED_DATA_GATE_STOP,FULL_PERIOD_RAW_BID_ASK_OR_TICK_DERIVED_M5_UNAVAILABLE
USDJPY,USDJPY,True,True,True,True,BAR_OHLC_PLUS_SINGLE_SPREAD_FIELD,False,2025-03-11T12:54:26.774000+00:00,False,False,NOT_EVALUATED_DATA_GATE_STOP,FULL_PERIOD_RAW_BID_ASK_OR_TICK_DERIVED_M5_UNAVAILABLE
