attempt_no,policy_id,mechanic,parameters_json,raw_discovery_signal_count
131029,V100_10c120206bf5b5feac00,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131030,V100_f94765f9479f2bff4a97,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131031,V100_a98c42bdebb2ca84f26c,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131032,V100_198046aada6bdd4a973e,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131033,V100_8f45c28208d8656c6c3e,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131034,V100_9c67a9c1df6c89e61da0,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131035,V100_ae4355dc58fa562e5e1b,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131036,V100_9a3c4039e72fa40e3802,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131037,V100_d58ef78a9bc49abdd871,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131038,V100_419de6c840840a726678,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131039,V100_32476e67281e63c693c9,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131040,V100_99e97120708a0daf63fc,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131041,V100_fd4268aa94cba55670ab,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131042,V100_ac18859cb517195cdf76,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131043,V100_cf6261628bcbca52561f,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131044,V100_43bba846eef5e037d907,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131045,V100_4533301ef32f9bdd579d,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131046,V100_831d124b6fbff6d44644,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131047,V100_0deeeadbdabea5e867c7,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131048,V100_3a25010ba9031b569808,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131049,V100_dfb40d501c26e9d86db7,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131050,V100_0520d53fc23e325c493c,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131051,V100_eca0689689bd892f8378,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131052,V100_dbfb73440be4110cc9c8,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131053,V100_84b9d828621514e19b76,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131054,V100_7da45646b75e5ddcd4b9,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131055,V100_56183cdc388427cc3ecf,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131056,V100_7f6b1f3f89b9bd3c1345,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131057,V100_ba941bc22b3751e040dd,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131058,V100_1dbd8cadffed4744680e,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131059,V100_1431ed4f30397680160f,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131060,V100_fda4ad9c2fcd9f180c02,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131061,V100_88b3975b9afd51f43291,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131062,V100_bf0d648db60366d215bf,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131063,V100_7d48f3e2b5e075e827e1,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131064,V100_56afec91da5ac0e229bb,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131065,V100_86baebfed74e8e2608ca,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131066,V100_76b017edfdf535eda787,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131067,V100_1b6f5f48cecd331e0b82,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131068,V100_a5fbc89802d1b8636414,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131069,V100_eb2d2eec35ed465a6c34,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131070,V100_8a77d7112acc1dee5ad1,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131071,V100_eb71f16405c9406b2129,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131072,V100_2cc51d87401801f021cc,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131073,V100_a7b6fe11e447d1fbc1c3,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131074,V100_f309efe9347727b0bd76,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131075,V100_48fdc6f127792f3fa5dd,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131076,V100_899911435eab3273aa50,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131077,V100_6fc0c755658a12802e57,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131078,V100_192040f8bb71adc1704a,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131079,V100_bb83b6d448fd009b7f0a,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131080,V100_9cd8a602b2c2961eb656,BREAK_60,"{""anchor_hour_utc"":4,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131081,V100_6770a53cd5f073736e03,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131082,V100_c8b958f7c24f5c063fe1,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131083,V100_bc3074396c986bf3946b,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131084,V100_6f03815e2c0e6193d2c5,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131085,V100_f6af27da4782549855f7,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131086,V100_c6a399f9ac6060460503,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131087,V100_0069dff6185f1a60dd8f,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131088,V100_d12b6b3035455ec159cb,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131089,V100_80eabf906a3c808a2534,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131090,V100_ed9c2ad60d193f18a1c3,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131091,V100_72856f7a6205af07a508,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131092,V100_72c514b1b579a0d13062,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131093,V100_2c887d1dd52447f0f3ed,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131094,V100_6f9dde4600e93a8fc87d,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131095,V100_9ef4f929c2d711eecc16,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131096,V100_d8492bf881021947f2d5,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131097,V100_857c5cc4d8a0812a5d31,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131098,V100_d27444d09ad6c66ef967,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131099,V100_73aed5248ce255a2f1ed,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131100,V100_805c83e79cd5fa914093,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131101,V100_b46adb2a736bc5086cbd,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131102,V100_ca23eb235fa1257383aa,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131103,V100_7431b2982eec1f2c0f6a,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131104,V100_05ab161ff3f15df51c7b,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131105,V100_02c2766caf6ff041343c,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
