date_utc,matched_bars,histdata_ticks,dukascopy_ticks,median_basis_dollars,maximum_absolute_basis_dollars,median_histdata_spread_dollars
2024-01-01,12,2220,2220,0.0,0.0,0.37350000000014916
2024-01-02,276,137108,137108,0.0,0.0,0.32700000000022555
2024-01-03,276,161554,161554,0.0,0.0,0.32999999999992724
2024-01-04,276,125368,125368,0.0,0.0,0.3210000000000264
2024-01-05,264,166857,166857,0.0,0.0,0.3269999999999982
2024-01-07,12,2607,2607,0.0,0.0,0.35349999999994
2024-01-08,276,150039,150039,0.0,0.0,0.3284999999999627
2024-01-09,276,137710,137710,0.0,0.0,0.3300000000001546
2024-01-10,276,128129,128129,0.0,0.0,0.31999999999993634
2024-01-11,276,182017,182017,0.0,0.0,0.3200000000001637
2024-01-12,216,147052,147052,0.0,0.0,0.3269999999999982
2024-01-14,12,3002,3002,0.0,0.0,0.36400000000003274
2024-01-15,246,87293,87293,0.0,0.0,0.3269999999999982
2024-01-16,276,173074,173074,0.0,0.0,0.3269999999999982
2024-01-17,276,165623,165623,0.0,0.0,0.32999999999992724
2024-01-18,276,131978,131978,0.0,0.0,0.3200000000001637
2024-01-19,264,118777,118777,0.0,0.0,0.32999999999992724
2024-01-21,12,2477,2477,0.0,0.0,0.37000000000000455
2024-01-22,276,126051,126051,0.0,0.0,0.32999999999992724
2024-01-23,276,126193,126193,0.0,0.0,0.3269999999999982
2024-01-24,276,139044,139044,0.0,0.0,0.3300000000001546
2024-01-25,276,140797,140797,0.0,0.0,0.3369999999999891
2024-01-26,264,99443,99443,0.0,0.0,0.31999999999993634
2024-01-28,12,5274,5274,0.0,0.0,0.37550000000010186
2024-01-29,276,99585,99585,0.0,0.0,0.32999999999992724
2024-01-30,276,117888,117888,0.0,0.0,0.3384999999999536
2024-01-31,276,164595,164595,0.0,0.0,0.33999999999969077
2024-02-01,60,20465,20465,0.0,0.0,0.3384999999999536
