year,trades,wins,losses,win_rate_pct,avg_win_loss,profit_factor,net_usd,stress_net_030_usd,stress_profit_factor,max_closed_drawdown_usd
2016,42,18,24,42.86,1.5647,1.1735,26.89,14.29,1.0881,61.34
2017,99,34,65,34.34,2.7863,1.4575,271.0,241.3,1.3943,281.08
2018,125,53,72,42.4,2.0512,1.5099,257.53,220.03,1.4178,319.91
2019,130,47,83,36.15,1.9689,1.1149,61.2,22.2,1.0398,253.12
2020,155,88,67,56.77,2.5318,3.3253,1625.29,1578.79,3.1957,354.52
2021,106,38,68,35.85,1.0833,0.6054,-451.07,-482.87,0.585,677.1
2022,115,49,66,42.61,2.8581,2.1219,666.67,632.17,2.0296,177.64
2023,156,74,82,47.44,1.6878,1.5231,501.67,454.87,1.4625,481.58
2024,172,82,90,47.67,2.6936,2.4542,2057.87,2006.27,2.3911,403.93
2025,186,101,85,54.3,1.9534,2.3211,3240.12,3184.32,2.285,866.37
2026,85,49,36,57.65,5.6119,7.6385,3063.99,3038.49,7.4327,87.16
