month,trades,pnl_usd
2025-07,51,4.28
2025-08,27,-7.22
2025-09,26,-9.91
2025-10,35,7.555
2025-11,10,-2.5599999999999996
2025-12,19,-4.779999999999999
2026-01,18,1.0399999999999994
2026-02,25,-3.705
2026-03,56,5.110000000000001
2026-04,21,4.68
2026-05,17,7.7
2026-06,45,-0.7999999999999982
