policy_id,stage,eligible_for_decision,gate_pass,trades,source_days,trades_per_source_day,net_r,stress_net_r,stress_pf,average_stress_r,closed_drawdown_r,positive_active_year_share,active_years,top_winners_removed,top_winners_removed_stress_net_r
MT5_STACKING_DIAGNOSTIC,replication_fit,False,False,146,1244,0.11736334405144695,88.0,50.75969576361459,1.6105225586986454,0.34766914906585333,19.58061727020194,0.6,5,5,41.179395599290224
MT5_STACKING_DIAGNOSTIC,development,False,True,64,931,0.06874328678839957,41.0,28.77342218189436,1.8609446245953967,0.4495847215920994,11.716621827431485,0.75,4,5,19.23428486316036
MT5_STACKING_DIAGNOSTIC,exam,False,False,130,624,0.20833333333333334,112.82341198833913,96.46572265717745,2.7679483053247322,0.7420440204398265,15.90866669675179,1.0,3,5,86.77965199782112
PORTFOLIO_CONSTRAINED_PRIMARY,replication_fit,True,True,48,1244,0.03858520900321544,36.00000000000001,23.534988700793736,1.9649271709571654,0.4903122645998695,6.698818001153258,1.0,5,5,14.037444699897204
PORTFOLIO_CONSTRAINED_PRIMARY,development,True,False,28,931,0.03007518796992481,17.0,12.212821751625976,1.8053177913228584,0.4361722054152134,4.554902865692243,0.75,4,5,2.6936339492057035
PORTFOLIO_CONSTRAINED_PRIMARY,exam,True,True,41,624,0.06570512820512821,36.90625993009215,31.895341813477955,2.9110507527808496,0.7779351661823891,3.6955873903064838,1.0,3,5,22.26263423493676
