system,month,trades,wins,losses,net_pnl_usd,profit_factor,win_rate,closed_drawdown_usd
V60,2021-01,36,19,17,71.62811894701794,2.015243131632027,0.5277777777777778,23.96415396960996
V60,2021-02,26,15,11,66.17413643813113,2.355171564220986,0.5769230769230769,16.991662921616967
V60,2021-03,29,18,11,85.98322274615371,2.7658519394922947,0.6206896551724138,10.387090415100717
V60,2021-04,12,5,7,-7.038707638840441,0.7682786792295441,0.4166666666666667,16.823318111099805
V60,2021-05,24,4,20,-77.74732508411053,0.20354348581159903,0.16666666666666666,79.98496003996699
V60,2021-06,21,10,11,9.363300634434147,1.1795658628757084,0.47619047619047616,17.797090392040857
V60,2021-07,5,2,3,1.0891947591634894,1.0819605968823092,0.4,8.03142361111111
V60,2021-08,11,5,6,4.263765725637755,1.1760710371483987,0.45454545454545453,10.325423611111027
V60,2021-09,7,2,5,-9.746025537133933,0.580036747951217,0.2857142857142857,19.826290215875677
V60,2021-10,11,5,6,7.33808453038355,1.2661825187691536,0.45454545454545453,10.800163885069715
V60,2021-11,27,12,15,19.774643957258398,1.3334953196129478,0.4444444444444444,19.32047475289974
V60,2021-12,21,7,14,-5.1539807489479275,0.9050654624822941,0.3333333333333333,22.49831309659
V60,2022-01,3,2,1,-0.3524332636406946,0.9531113406338828,0.6666666666666666,7.516386017540328
V60,2022-02,1,0,1,-5.103627889992934,0.0,0.0,5.103627889992934
V60,2022-03,6,2,4,-10.446538051053992,0.6201435070043105,0.3333333333333333,27.501275465028144
V60,2022-04,2,2,0,3.944473273653524,,1.0,0.0
V60,2022-05,4,2,2,31.022763073195517,4.265024436599869,0.5,9.501540853857136
V60,2022-06,11,6,5,1.2378191601852384,1.0536957968785245,0.5454545454545454,9.419965794265696
V60,2022-07,19,5,14,-40.921079727186125,0.42325434164364134,0.2631578947368421,43.81122919656544
V60,2022-08,5,2,3,-2.5617879424712555,0.8377512863793357,0.4,15.789265044410076
V60,2022-09,2,2,0,11.563168018873657,,1.0,0.0
V60,2022-10,2,1,1,-4.242251049708181,0.5113788762284954,0.5,8.682086883521634
V60,2022-11,12,8,4,34.759036116448414,2.9014277682030065,0.6666666666666666,12.836486690794583
V60,2022-12,43,21,22,38.219329560964326,1.3454384189076454,0.4883720930232558,67.14791349459198
V60,2023-01,48,27,21,180.8961648899459,2.691375794206402,0.5625,30.821041666666666
V60,2023-02,29,17,12,45.68486273448572,1.7700406461562792,0.5862068965517241,16.707999999999814
V60,2023-03,23,12,11,14.608856905118738,1.2790932255151266,0.5217391304347826,24.295305587042954
V60,2023-04,24,11,13,-0.19929028212389177,0.9979144628582235,0.4583333333333333,64.75711805555557
V60,2023-05,23,8,15,-32.888182986830614,0.636116162162171,0.34782608695652173,46.15168850631266
V60,2023-06,6,1,5,-13.888606659505244,0.35301278357535737,0.16666666666666666,13.888606659505244
V60,2023-07,13,4,9,-29.177216550430877,0.4373540584562498,0.3076923076923077,43.835451388888885
V60,2023-08,5,2,3,-7.416639261992887,0.4210530314506515,0.4,12.81056757335919
V60,2023-09,14,5,9,-11.484149186855163,0.7028148464187545,0.35714285714285715,26.19090901693309
V60,2023-10,11,0,11,-66.22967650398591,0.0,0.0,66.22967650398591
V60,2023-11,15,6,9,41.04640039536882,1.9418185680550264,0.4,19.51682443344585
V60,2023-12,31,24,7,221.0068430064784,7.44144434938637,0.7741935483870968,8.62521632784668
V60,2024-01,14,8,6,31.58314667468388,2.239041117960989,0.5714285714285714,14.946240781466761
V60,2024-02,21,13,8,52.151555456844996,2.593872312560901,0.6190476190476191,19.74
V60,2024-03,48,35,13,382.10222514685086,8.01974731927163,0.7291666666666666,12.163872673853803
V60,2024-04,7,1,6,-31.570123592510416,0.2461234920889584,0.14285714285714285,41.87704917346454
V60,2024-05,29,13,16,33.829823290815256,1.3601743529126449,0.4482758620689655,44.594223111379996
V60,2024-06,6,3,3,7.918016676297079,1.872696507498847,0.5,9.073047283058527
V60,2024-07,39,17,22,148.56109401107418,2.4993402810047702,0.4358974358974359,72.39016148072014
V60,2024-08,15,3,12,-136.7681301821174,0.11260606078231145,0.2,145.2033539443485
V60,2024-09,41,16,25,33.00108963060344,1.1975037257060133,0.3902439024390244,52.184000000000424
V60,2024-10,52,19,33,95.98675779586124,1.515287036169784,0.36538461538461536,53.3867171527777
V60,2024-11,31,20,11,114.4211057380519,3.1310905899110932,0.6451612903225806,18.470220553875897
V60,2024-12,23,11,12,0.30950068013937226,1.004192402503885,0.4782608695652174,34.2532087962332
V60,2025-01,39,20,19,178.76704074795066,2.2165038252639433,0.5128205128205128,36.84
V60,2025-02,40,27,13,149.21550585514842,2.748145855988348,0.675,33.78
V60,2025-03,43,26,17,229.73493573777296,2.8756948092656507,0.6046511627906976,34.388154261611845
V60,2025-04,22,9,13,5.318243480389272,1.0455211474212018,0.4090909090909091,41.23366134456497
V60,2025-05,10,6,4,58.696389451481394,2.3498402757782757,0.6,27.858376608079602
V60,2025-06,18,6,12,-26.291028189622693,0.7868983988878429,0.3333333333333333,79.37927146112423
V60,2025-07,24,11,13,50.56211869260743,1.573707349637504,0.4583333333333333,25.354880739875824
V60,2025-08,15,6,9,87.73935267252709,1.958476047498261,0.4,66.15064732747291
V60,2025-09,60,26,34,169.9700071316662,1.6301997340862502,0.43333333333333335,67.76336110279995
V60,2025-10,14,6,8,-8.597686594850929,0.8869883277384246,0.42857142857142855,31.075650708696138
V60,2025-11,26,15,11,156.01919337668258,2.082476909165385,0.5769230769230769,65.14783484373854
V60,2025-12,39,19,20,115.95627225827425,1.5003815560605829,0.48717948717948717,86.37960220015216
V60,2026-01,38,16,22,86.13796424133594,1.297022348871173,0.42105263157894735,107.45695318100057
V60,2026-02,9,4,5,128.3715881568689,3.001108807348366,0.4444444444444444,57.310228955801534
V60,2026-03,29,13,16,505.0739627716179,2.7366304790816693,0.4482758620689655,97.41064673726902
V60,2026-04,14,10,4,107.15650440119751,3.1995450748855547,0.7142857142857143,13.588165357524847
V60,2026-05,14,8,6,73.46765102237686,1.9495092743125593,0.5714285714285714,51.66000433934427
V60,2026-06,28,13,15,239.73461052390797,1.97038767572325,0.4642857142857143,95.61086274464958
V14,2021-01,36,19,17,71.62811894701794,2.015243131632027,0.5277777777777778,23.96415396960996
V14,2021-02,26,15,11,66.17413643813113,2.355171564220986,0.5769230769230769,16.991662921616967
V14,2021-03,29,18,11,85.98322274615371,2.7658519394922947,0.6206896551724138,10.387090415100717
V14,2021-04,12,5,7,-7.038707638840441,0.7682786792295441,0.4166666666666667,16.823318111099805
V14,2021-05,20,4,16,-58.01942286498635,0.2550976837623093,0.2,60.25705782084284
V14,2021-06,20,10,10,13.345592301100815,1.2770990596669962,0.5,14.275953775962968
V14,2021-07,5,2,3,1.0891947591634894,1.0819605968823092,0.4,8.03142361111111
V14,2021-08,10,5,5,8.27036294785998,1.4092300251057726,0.5,10.325423611111027
V14,2021-09,7,2,5,-9.746025537133933,0.580036747951217,0.2857142857142857,19.826290215875677
V14,2021-10,11,5,6,7.33808453038355,1.2661825187691536,0.45454545454545453,10.800163885069715
V14,2021-11,27,12,15,19.774643957258398,1.3334953196129478,0.4444444444444444,19.32047475289974
V14,2021-12,21,7,14,-5.1539807489479275,0.9050654624822941,0.3333333333333333,22.49831309659
V14,2022-01,3,2,1,-0.3524332636406946,0.9531113406338828,0.6666666666666666,7.516386017540328
V14,2022-02,1,0,1,-5.103627889992934,0.0,0.0,5.103627889992934
V14,2022-03,6,2,4,-10.446538051053992,0.6201435070043105,0.3333333333333333,27.501275465028144
V14,2022-04,2,2,0,3.944473273653524,,1.0,0.0
V14,2022-05,4,2,2,31.022763073195517,4.265024436599869,0.5,9.501540853857136
V14,2022-06,11,6,5,1.2378191601852384,1.0536957968785245,0.5454545454545454,9.419965794265696
V14,2022-07,15,4,11,-41.275078578008824,0.25044530380273744,0.26666666666666666,44.16522804738813
V14,2022-08,4,2,2,3.7661529381363614,1.3980577002683272,0.5,9.461324163802459
V14,2022-09,2,2,0,11.563168018873657,,1.0,0.0
V14,2022-10,2,1,1,-4.242251049708181,0.5113788762284954,0.5,8.682086883521634
V14,2022-11,12,8,4,34.759036116448414,2.9014277682030065,0.6666666666666666,12.836486690794583
V14,2022-12,43,21,22,38.219329560964326,1.3454384189076454,0.4883720930232558,67.14791349459198
V14,2023-01,48,27,21,180.8961648899459,2.691375794206402,0.5625,30.821041666666666
V14,2023-02,29,17,12,45.68486273448572,1.7700406461562792,0.5862068965517241,16.707999999999814
V14,2023-03,23,12,11,14.608856905118738,1.2790932255151266,0.5217391304347826,24.295305587042954
V14,2023-04,24,11,13,-0.19929028212389177,0.9979144628582235,0.4583333333333333,64.75711805555557
V14,2023-05,23,9,14,-20.032252303357993,0.7681515292805178,0.391304347826087,42.88764701888644
V14,2023-06,6,1,5,-13.888606659505244,0.35301278357535737,0.16666666666666666,13.888606659505244
V14,2023-07,13,4,9,-29.177216550430877,0.4373540584562498,0.3076923076923077,43.835451388888885
V14,2023-08,5,2,3,-7.416639261992887,0.4210530314506515,0.4,12.81056757335919
V14,2023-09,14,5,9,-11.484149186855163,0.7028148464187545,0.35714285714285715,26.19090901693309
V14,2023-10,20,4,16,-58.51408218998787,0.3005097487718979,0.2,58.51408218998787
V14,2023-11,18,8,10,60.11640039536882,2.1480906556639727,0.4444444444444444,27.77555166675097
V14,2023-12,31,24,7,221.0068430064784,7.44144434938637,0.7741935483870968,8.62521632784668
V14,2024-01,14,8,6,31.58314667468388,2.239041117960989,0.5714285714285714,14.946240781466761
V14,2024-02,21,13,8,52.151555456844996,2.593872312560901,0.6190476190476191,19.74
V14,2024-03,48,35,13,382.10222514685086,8.01974731927163,0.7291666666666666,12.163872673853803
V14,2024-04,7,1,6,-31.570123592510416,0.2461234920889584,0.14285714285714285,41.87704917346454
V14,2024-05,29,13,16,33.829823290815256,1.3601743529126449,0.4482758620689655,44.594223111379996
V14,2024-06,6,3,3,7.918016676297079,1.872696507498847,0.5,9.073047283058527
V14,2024-07,35,16,19,164.1136855233103,3.0188101960299365,0.45714285714285713,59.01521152762791
V14,2024-08,16,3,13,-113.12813018211739,0.13300718626249491,0.1875,121.56335394434846
V14,2024-09,41,16,25,33.00108963060344,1.1975037257060133,0.3902439024390244,52.184000000000424
V14,2024-10,50,19,31,104.94755811603777,1.5918626129250362,0.38,52.492149566821745
V14,2024-11,31,20,11,114.4211057380519,3.1310905899110932,0.6451612903225806,18.470220553875897
V14,2024-12,23,11,12,0.30950068013937226,1.004192402503885,0.4782608695652174,34.2532087962332
V14,2025-01,39,20,19,178.76704074795066,2.2165038252639433,0.5128205128205128,36.84
V14,2025-02,40,27,13,149.21550585514842,2.748145855988348,0.675,33.78
V14,2025-03,43,26,17,229.73493573777296,2.8756948092656507,0.6046511627906976,34.388154261611845
V14,2025-04,22,9,13,5.318243480389272,1.0455211474212018,0.4090909090909091,41.23366134456497
V14,2025-05,10,6,4,58.696389451481394,2.3498402757782757,0.6,27.858376608079602
V14,2025-06,17,6,11,-9.311028189622697,0.912484750181557,0.35294117647058826,62.399271461124236
V14,2025-07,23,11,12,55.45009362584379,1.6661130101064945,0.4782608695652174,25.354880739875824
V14,2025-08,15,6,9,87.73935267252709,1.958476047498261,0.4,66.15064732747291
V14,2025-09,58,26,32,182.18205667787734,1.7075138353639312,0.4482758620689655,55.5513115565888
V14,2025-10,14,6,8,-8.597686594850929,0.8869883277384246,0.42857142857142855,31.075650708696138
