decision_date,decision_time_utc,side,observation_open,observation_high,observation_low,observation_close,observation_range_pips,upward_excursion_pips,downward_excursion_pips,upper_wick_fraction,lower_wick_fraction
2016-09-15,2016.09.15 20:00:00,LONG,1.1244450000000001,1.124535,1.124005,1.124505,5.300000000001415,0.8999999999992347,4.40000000000218,0.05660377358484242,0.8301886792454727
2016-12-08,2016.12.08 20:00:00,SHORT,1.061305,1.06185,1.06121,1.061305,6.399999999999739,5.450000000000177,0.9499999999995623,0.8515625000000624,0.14843749999993766
2017-01-31,2017.01.31 20:00:00,LONG,1.080215,1.080495,1.079625,1.08043,8.699999999999264,2.80000000000058,5.899999999998684,0.07471264367814626,0.678160919540136
2017-06-22,2017.06.22 20:00:00,LONG,1.1151499999999999,1.1152099999999998,1.11483,1.1151550000000001,3.7999999999982492,0.5999999999994898,3.1999999999987594,0.14473684210452506,0.8421052631579562
2018-01-23,2018.01.23 20:00:00,LONG,1.229345,1.2295449999999999,1.2288100000000002,1.2295349999999998,7.349999999997081,1.9999999999997797,5.349999999997301,0.013605442176965283,0.7278911564625069
2018-02-20,2018.02.20 20:00:00,SHORT,1.233695,1.2341799999999998,1.2335099999999999,1.23352,6.699999999999484,4.849999999998467,1.8500000000010175,0.7238805970147523,0.014925373134427286
2018-04-03,2018.04.03 20:00:00,SHORT,1.2264249999999999,1.2267450000000002,1.2262,1.226365,5.450000000002397,3.2000000000032003,2.249999999999197,0.5871559633030812,0.30275229357779476
2018-05-08,2018.05.08 20:00:00,LONG,1.18614,1.186245,1.1857099999999998,1.1862400000000002,5.350000000001742,1.0500000000002174,4.300000000001525,0.00934579439216651,0.8037383177570326
2018-05-22,2018.05.22 20:00:00,LONG,1.17814,1.17821,1.177795,1.17821,4.150000000000542,0.700000000000145,3.450000000000397,0.0,0.8313253012048064
2018-10-04,2018.10.04 20:00:00,SHORT,1.15161,1.1519650000000001,1.15133,1.151345,6.350000000001632,3.5500000000010523,2.80000000000058,0.5590551181102582,0.02362204724424317
