decision_date,decision_time_utc,side,observation_open,observation_high,observation_low,observation_close,observation_range_pips,upward_excursion_pips,downward_excursion_pips,upper_wick_fraction,lower_wick_fraction
2019-08-14,2019.08.14 20:00:00,SHORT,1.1135700000000002,1.113925,1.113365,1.113365,5.60000000000116,3.549999999998832,2.0500000000023277,0.6339285714282316,0.0
2020-03-03,2020.03.03 20:00:00,SHORT,1.11778,1.118335,1.11742,1.117605,9.149999999999991,5.550000000000832,3.5999999999991594,0.6065573770492718,0.2021857923495955
2020-04-08,2020.04.08 20:00:00,SHORT,1.0854149999999998,1.086045,1.0852050000000002,1.08533,8.399999999997299,6.300000000001305,2.099999999995994,0.7500000000003965,0.14880952380922485
2020-04-21,2020.04.21 20:00:00,SHORT,1.0860150000000002,1.0863800000000001,1.0857549999999998,1.08594,6.250000000003197,3.649999999999487,2.6000000000037105,0.5839999999996192,0.29600000000001137
2020-05-05,2020.05.05 20:00:00,SHORT,1.084665,1.08504,1.0845099999999999,1.084655,5.300000000001415,3.750000000000142,1.5500000000012726,0.7075471698111587,0.2735849056604208
2020-05-28,2020.05.28 20:00:00,LONG,1.1070799999999998,1.107215,1.1067,1.107145,5.150000000000432,1.3500000000021828,3.7999999999982492,0.1359223300971041,0.737864077669501
2020-06-30,2020.06.30 20:00:00,SHORT,1.1235,1.123875,1.12336,1.123375,5.150000000000432,3.750000000000142,1.40000000000029,0.7281553398057917,0.029126213592421377
2020-09-24,2020.09.24 20:00:00,SHORT,1.1670099999999999,1.1674600000000002,1.16684,1.1669,6.200000000000649,4.500000000002835,1.6999999999978144,0.7258064516132845,0.09677419354829467
2020-09-30,2020.09.30 20:00:00,SHORT,1.1723400000000002,1.1727400000000001,1.1720350000000002,1.17228,7.049999999999557,3.9999999999995595,3.049999999999997,0.5673758865247959,0.34751773049623275
2020-12-15,2020.12.15 20:00:00,SHORT,1.21574,1.21605,1.21556,1.21569,4.900000000001015,3.1000000000003247,1.80000000000069,0.6326530612244251,0.2653061224488501
2021-04-19,2021.04.19 20:00:00,LONG,1.2036850000000001,1.2037749999999998,1.203385,1.2037550000000001,3.8999999999989043,0.8999999999970143,3.00000000000189,0.05128205128126296,0.7692307692314699
2021-07-29,2021.07.29 20:00:00,SHORT,1.1888100000000001,1.18913,1.188765,1.1888,3.649999999999487,3.1999999999987594,0.4500000000007276,0.8767123287669066,0.09589041095893744
2021-08-02,2021.08.02 20:00:00,LONG,1.186925,1.187125,1.1866249999999998,1.1871049999999999,5.00000000000167,1.9999999999997797,3.00000000000189,0.04000000000024869,0.6000000000001776
2021-10-28,2021.10.28 20:00:00,SHORT,1.16812,1.1684350000000001,1.16801,1.1680549999999998,4.250000000001197,3.1500000000006523,1.100000000000545,0.7411764705881799,0.10588235294079539
2022-06-28,2022.06.28 20:00:00,LONG,1.05252,1.052715,1.05198,1.052595,7.350000000001522,1.9500000000016726,5.399999999999849,0.16326530612257845,0.7346938775508478
2022-09-15,2022.09.15 20:00:00,SHORT,0.999475,0.9999750000000001,0.99943,0.99947,5.450000000000177,5.0000000000005596,0.4499999999996174,0.9174311926606233,0.07339449541271134
2022-10-06,2022.10.06 20:00:00,SHORT,0.979725,0.980145,0.979525,0.97967,6.200000000000649,4.20000000000087,1.9999999999997797,0.677419354838779,0.23387096774201058
2022-12-21,2022.12.21 20:00:00,LONG,1.061325,1.0614949999999999,1.060895,1.0614599999999998,5.999999999999339,1.6999999999978144,4.300000000001525,0.05833333333335184,0.7166666666669997
2023-03-16,2023.03.16 20:00:00,LONG,1.061485,1.0616949999999998,1.0611199999999998,1.0615,5.749999999999922,2.0999999999982144,3.6500000000017074,0.33913043478213184,0.6347826086959577
2023-04-11,2023.04.11 20:00:00,LONG,1.0913650000000001,1.091425,1.09104,1.091415,3.8500000000007972,0.5999999999994898,3.2500000000013074,0.025974025974190757,0.844155844156009
2023-06-13,2023.06.13 20:00:00,SHORT,1.079225,1.07958,1.07916,1.07918,4.20000000000087,3.549999999998832,0.6500000000020378,0.845238095237642,0.04761904761934972
2023-12-21,2023.12.21 20:00:00,LONG,1.09992,1.1000999999999999,1.09951,1.0999249999999998,5.899999999998684,1.7999999999984695,4.100000000000215,0.296610169491653,0.6949152542374795
2025-01-27,2025.01.27 20:00:00,LONG,1.04911,1.04929,1.0488,1.04927,4.900000000001015,1.80000000000069,3.1000000000003247,0.04081632653087119,0.6326530612244251
2025-05-05,2025.05.05 20:00:00,SHORT,1.131705,1.132095,1.131455,1.1314899999999999,6.399999999999739,3.900000000001125,2.4999999999986144,0.6093750000002006,0.05468749999966661
2025-08-04,2025.08.04 20:00:00,LONG,1.1567500000000002,1.1568749999999999,1.156295,1.1568049999999999,5.799999999998029,1.2499999999970868,4.550000000000942,0.1206896551724798,0.7844827586211187
2026-02-03,2026.02.03 20:00:00,SHORT,1.18139,1.181715,1.181215,1.1813449999999999,5.00000000000167,3.2500000000013074,1.7500000000003624,0.6500000000000444,0.25999999999984014
2026-05-18,2026.05.18 20:00:00,SHORT,1.16517,1.1655600000000002,1.165085,1.1651099999999999,4.750000000002252,3.900000000001125,0.8500000000011276,0.8210526315787948,0.0526315789472208
