month,trades,pnl_usd,stressed_pnl_usd
2024-07,6,6.4,5.949999999999999
2024-08,4,5.47,5.120000000000001
2024-09,2,7.08,6.88
2024-10,2,0.19999999999999973,0.04999999999999982
2024-11,3,5.4,5.1000000000000005
2024-12,9,-5.640000000000001,-6.44
2025-01,5,6.359999999999999,5.859999999999999
2025-02,1,1.84,1.74
2025-03,5,10.75,10.3
2025-04,4,-12.54,-12.84
2025-05,2,3.58,3.380000000000001
2025-06,2,-6.18,-6.279999999999999
2025-07,4,21.09,20.740000000000002
2025-08,5,-4.9,-5.25
2025-09,11,-6.909999999999999,-7.709999999999999
2025-10,8,11.24,10.540000000000001
2025-11,1,-3.02,-3.12
2025-12,5,-6.7299999999999995,-7.13
2026-01,3,-2.7399999999999998,-3.04
2026-02,4,2.18,1.7800000000000002
2026-03,7,4.48,3.780000000000002
2026-04,3,2.1700000000000004,1.9700000000000006
2026-05,6,7.99,7.49
2026-06,4,14.030000000000001,13.73
