symbol,scoring_status,quote_basis,spread_units,point_size,digits,complete_quote_valid_dataset,failure_reasons,h1_path,h1_size_bytes,h1_sha256,h1_first_timestamp_utc,h1_final_timestamp_utc,h1_row_count,h1_duplicate_count,h1_decreasing_count,h1_invalid_price_count,h1_missing_column_count,h1_maximum_gap_seconds,m15_path,m15_size_bytes,m15_sha256,m15_first_timestamp_utc,m15_final_timestamp_utc,m15_row_count,m15_duplicate_count,m15_decreasing_count,m15_invalid_price_count,m15_missing_column_count,m15_maximum_gap_seconds,m5_path,m5_size_bytes,m5_sha256,m5_first_timestamp_utc,m5_final_timestamp_utc,m5_row_count,m5_duplicate_count,m5_decreasing_count,m5_invalid_price_count,m5_missing_column_count,m5_maximum_gap_seconds
XAUUSD,PROVISIONAL_DATA_INVALID_NOT_SCORED,QUOTE_BASIS_UNRESOLVED_NOT_SCORED,UNRESOLVED,0.01,2,False,H1_END_INCOMPLETE|M15_END_INCOMPLETE|M5_END_INCOMPLETE|QUOTE_BASIS_NOT_ESTABLISHED|SPREAD_UNITS_NOT_INDEPENDENTLY_ESTABLISHED,xau-usd/xauusd-phase0/data/raw/capital_com/XAUUSD_H1_20160101_20250630_capital_com.csv,3388656,ac2930c4dfcf30fa902ea99a87d97570a519d98839abbba21d2ac8f94ab15e87,2016-01-03T22:00:00Z,2025-06-30T23:00:00Z,55960,0,0,0,0,295200,xau-usd/xauusd-phase0/data/raw/capital_com/XAUUSD_M15_20160101_20250630_capital_com.csv,13437609,ae5de2cc6f62139f350e1b700688372bba4b02d8b40daad3d41c0f563a521e72,2016-01-03T22:00:00Z,2025-06-30T23:45:00Z,223716,0,0,0,0,292500,xau-usd/xauusd-phase0/data/raw/capital_com/XAUUSD_M5_20160101_20250630_capital_com.csv,39808345,dee59c0da3bdc74df943054015813920271115cb614e38e03695e2299bed8ba4,2016-01-03T22:05:00Z,2025-06-30T23:55:00Z,667827,0,0,0,0,292200
EURUSD,PROVISIONAL_DATA_INVALID_NOT_SCORED,QUOTE_BASIS_UNRESOLVED_NOT_SCORED,UNRESOLVED,1e-05,5,False,H1_END_INCOMPLETE|M15_END_INCOMPLETE|M5_END_INCOMPLETE|QUOTE_BASIS_NOT_ESTABLISHED|SPREAD_UNITS_NOT_INDEPENDENTLY_ESTABLISHED,xau-usd/xauusd-phase0/data/raw/capital_com/EURUSD_H1_20160101_20250630_capital_com.csv,3536076,9db0146429afffae006a4c145988034ea2b98805680409362f87811c05faf32d,2016-01-03T21:00:00Z,2025-06-30T23:00:00Z,59022,0,0,0,0,284400,xau-usd/xauusd-phase0/data/raw/capital_com/EURUSD_M15_20160101_20250630_capital_com.csv,13998711,4422c23fb34e90662dbeaece3e7c813ae865fcd7bc6194efc45fae078c5c7e14,2016-01-03T21:00:00Z,2025-06-30T23:45:00Z,236013,0,0,0,0,281700,xau-usd/xauusd-phase0/data/raw/capital_com/EURUSD_M5_20160101_20250630_capital_com.csv,41637824,efc2324985c38e007d18e5aa8f2696c5dd4083c0aaa5bc842b3846cb080cae3b,2016-01-03T21:00:00Z,2025-06-30T23:55:00Z,707560,0,0,0,0,281100
GBPUSD,PRE_OUTCOME_DATA_UNAVAILABLE_NOT_SCORED,NOT_APPLICABLE_PRE_OUTCOME_UNAVAILABLE,NOT_APPLICABLE,1e-05,5,False,H1_FILE_COUNT_0|M15_FILE_COUNT_0|M5_FILE_COUNT_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDJPY,PROVISIONAL_DATA_INVALID_NOT_SCORED,QUOTE_BASIS_UNRESOLVED_NOT_SCORED,UNRESOLVED,0.001,3,False,H1_END_INCOMPLETE|M15_END_INCOMPLETE|M5_END_INCOMPLETE|QUOTE_BASIS_NOT_ESTABLISHED|SPREAD_UNITS_NOT_INDEPENDENTLY_ESTABLISHED,xau-usd/xauusd-phase0/data/raw/capital_com/USDJPY_H1_20160101_20250630_capital_com.csv,3544124,fce7dc9d6a87c3eb515ac5ad73020bf7c3942b83f5ddcb0f5b073452f203298c,2016-01-03T21:00:00Z,2025-06-30T23:00:00Z,59029,0,0,0,0,284400,xau-usd/xauusd-phase0/data/raw/capital_com/USDJPY_M15_20160101_20250630_capital_com.csv,14032766,04e6420923c80b60c7d65e2fd9cc972d0c5c77622e93ea752d68167f68334ee2,2016-01-03T21:00:00Z,2025-06-30T23:45:00Z,236034,0,0,0,0,281700,xau-usd/xauusd-phase0/data/raw/capital_com/USDJPY_M5_20160101_20250630_capital_com.csv,41743102,2047ceb88b60bd6a027e83ae13b95382916486c1f091ce6aa64a7d4751e22eba,2016-01-03T21:00:00Z,2025-06-30T23:55:00Z,707625,0,0,0,0,281100
