instrument,development_London_P95_points,frozen_hash,status,reason
XAUUSD,NOT_COMPUTED,,NOT_SCORED_DATA_GATE_STOP,DATA_AND_QUOTE_GATE_FAILED
EURUSD,NOT_COMPUTED,,NOT_SCORED_DATA_GATE_STOP,DATA_AND_QUOTE_GATE_FAILED
USDJPY,NOT_COMPUTED,,NOT_SCORED_DATA_GATE_STOP,DATA_AND_QUOTE_GATE_FAILED
