action_id,action_time_utc,action_year,trade_id,source_id,direction,entry_time_utc,candidate_endpoint_exit_time_utc,positions_in_action,action_sample_weight,initial_risk_usd,protected_close_pnl_usd,candidate_endpoint_pnl_usd,keep_open_utility_r,own_open_pnl_r,basket_open_pnl_r,basket_peak_pnl_r,basket_giveback_from_peak_r,own_risk_share,own_open_pnl_share,holding_hours,minutes_since_protection_arm,open_position_count,close_hour_sin,close_hour_cos
2021-01-12T01:10:10.000Z|V9_BREAK_20210112T000500Z_SHORT,2021-01-12T01:10:10.000Z,2021,V9_BREAK_20210112T000500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,SHORT,2021-01-12T00:05:00.000Z,2021-01-12T03:35:00.000Z,1,1.0,3.5,1.3669583333333621,-4.026041666666667,-1.5408571428571511,0.390559523809532,0.390559523809532,1.536273809523815,1.145714285714283,1.0,1.0,1.086111111111111,3.8333333333333335,1.0,0.3007057995042731,0.9537169507482269
2021-01-14T14:25:00.000Z|fccef99737874dc201838eb7,2021-01-14T14:25:00.000Z,2021,fccef99737874dc201838eb7,R2_DOWNTREND,SHORT,2021-01-13T20:00:00.065Z,2021-01-15T08:00:00.219Z,1,1.0,8.068313519870763,2.941583700163942,-0.4684162998361399,-0.4226409883059059,0.36458470446387164,0.36458470446387164,2.471964388969771,2.107379684505899,1.0,1.0,18.41664861111111,721.5833333333334,1.0,-0.5913096483635824,-0.8064446042674825
2021-01-20T12:10:00.000Z|V9_BREAK_20210120T115500Z_SHORT,2021-01-20T12:10:00.000Z,2021,V9_BREAK_20210120T115500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,SHORT,2021-01-20T11:55:00.000Z,2021-01-20T13:00:00.000Z,1,1.0,3.5,1.0892013888888163,6.509201388888889,1.5485714285714494,0.3112003968253761,0.3112003968253761,2.320045634920554,2.008845238095178,1.0,1.0,0.25,17.416666666666668,1.0,-0.04361938736533627,-0.9990482215818578
"2021-01-21T07:50:05.000Z|V7_20210121T075000Z_LONG,V9_BREAK_20210121T063500Z_SHORT",2021-01-21T07:50:05.000Z,2021,V7_20210121T075000Z_LONG,V7_SWING_HEALTH,LONG,2021-01-21T07:50:00.000Z,2021-01-21T13:05:00.000Z,2,0.5,3.5,-0.9485624999999347,-4.0515625,-0.8865714285714473,-0.2710178571428385,0.39252083333335364,0.8537440476190546,0.46122321428570107,0.5,-0.34522735371943036,0.001388888888888889,15.5,2.0,0.8870108331782218,-0.4617486132350338
"2021-01-21T07:50:05.000Z|V7_20210121T075000Z_LONG,V9_BREAK_20210121T063500Z_SHORT",2021-01-21T07:50:05.000Z,2021,V9_BREAK_20210121T063500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,SHORT,2021-01-21T06:35:00.000Z,2021-01-21T13:05:00.000Z,2,0.5,3.5,3.69620833333341,6.430208333333334,0.7811428571428353,1.0560595238095458,0.39252083333335364,0.8537440476190546,0.46122321428570107,0.5,1.3452273537194304,1.2513888888888889,15.5,2.0,0.8870108331782218,-0.4617486132350338
2021-02-22T05:00:25.000Z|V7_20210222T011000Z_SHORT,2021-02-22T05:00:25.000Z,2021,V7_20210222T011000Z_SHORT,V7_SWING_HEALTH,SHORT,2021-02-22T01:10:00.000Z,2021-02-22T06:10:00.000Z,1,1.0,3.6480747117526273,1.7346795977456653,-4.203395114006841,-1.6277283720704572,0.4755055021645325,0.4755055021645325,1.772353942455138,1.2968484402906053,1.0,1.0,3.8402777777777777,75.16666666666667,1.0,0.9659258262890683,0.25881904510252074
2021-03-01T13:52:00.000Z|2da7492623773c7fdfc620bb,2021-03-01T13:52:00.000Z,2021,2da7492623773c7fdfc620bb,R2_DOWNTREND,SHORT,2021-03-01T12:00:00.113Z,2021-03-02T00:00:00.061Z,1,1.0,6.506279462889751,3.2296862375036355,17.33068623750352,2.167290858074663,0.496395252605577,0.496395252605577,1.8189637111356576,1.3225684585300805,1.0,1.0,1.8666352777777777,26.166666666666668,1.0,-0.46947156278589086,-0.8829475928589269
2021-03-19T12:38:55.000Z|V7_20210319T103000Z_LONG,2021-03-19T12:38:55.000Z,2021,V7_20210319T103000Z_LONG,V7_SWING_HEALTH,LONG,2021-03-19T10:30:00.000Z,2021-03-19T13:05:00.000Z,1,1.0,3.5,1.3933263888888376,-4.012673611111111,-1.544571428571414,0.3980932539682393,0.3980932539682393,1.5523789682539433,1.154285714285704,1.0,1.0,2.1486111111111112,7.25,1.0,-0.16504760586067743,-0.9862856015372314
2021-04-15T12:30:10.000Z|V7_20210415T083000Z_LONG,2021-04-15T12:30:10.000Z,2021,V7_20210415T083000Z_LONG,V7_SWING_HEALTH,LONG,2021-04-15T08:30:00.000Z,2021-04-15T13:35:00.000Z,1,1.0,3.5,1.3738680555555574,6.4508680555555555,1.450571428571428,0.39253373015873066,0.39253373015873066,1.6925337301587178,1.299999999999987,1.0,1.0,4.002777777777778,9.75,1.0,-0.13052619222005132,-0.9914448613738105
2021-04-20T12:11:45.000Z|V7_20210420T095500Z_LONG,2021-04-20T12:11:45.000Z,2021,V7_20210420T095500Z_LONG,V7_SWING_HEALTH,LONG,2021-04-20T09:55:00.000Z,2021-04-20T14:05:00.000Z,1,1.0,3.7645274396882464,1.467009739126775,6.980064618503116,1.4644746167218523,0.3896929329457253,0.3896929329457253,1.8427305552330573,1.453037622287332,1.0,1.0,2.279166666666667,52.25,1.0,-0.04797812852134395,-0.9988483864849507
2021-05-06T12:32:00.000Z|V25_188d0d5511d106369ec026fc,2021-05-06T12:32:00.000Z,2021,V25_188d0d5511d106369ec026fc,V25_CHOP,LONG,2021-05-06T03:15:00.384Z,2021-05-06T13:35:37.525Z,1,1.0,3.705727616243575,1.5698687193034653,6.775323951790804,1.4047053025888634,0.4236330572225951,0.4236330572225951,1.5030432066535788,1.0794101494309836,1.0,1.0,9.283226666666666,2.8333333333333335,1.0,-0.13917310096006552,-0.9902680687415703
