fold,action_year,action_id,nominated_rows,positions_in_action,nominated_weight,action_mean_nominated_utility_r
F1,2023,2023-01-31T06:06:00.000Z|2023-01-12 20:00:00|LONG|h4_d1_long_best_box2_atr80,1,1,1.0,-1.4864786927266893
F1,2023,"2023-02-01T13:33:25.000Z|2023-02-01 09:45:00|LONG|r1_h1_pullback_long_v1,2023-02-01 10:15:00|LONG|r1_h1_pullback_long_v1,2023-02-01 10:30:00|LONG|r1_h1_pullback_long_v1,2023-02-01 13:30:00|LONG|r1_h1_pullback_long_v1",4,4,1.0,-1.6615055823545597
F1,2023,2023-02-13T18:37:25.000Z|V9_BREAK_20230213T133500Z_SHORT,1,1,1.0,-1.6914285714285922
F1,2023,2023-03-02T14:02:35.000Z|V7_20230302T114500Z_SHORT,1,1,1.0,-1.6237142857142837
F1,2023,"2023-03-16T13:37:25.000Z|2023-03-16 09:00:00|LONG|r1_h1_pullback_long_v1,2023-03-16 10:00:00|LONG|r1_h1_pullback_long_v1,2023-03-16 11:00:00|LONG|r1_h1_pullback_long_v1",3,3,1.0,-1.5784819770530911
F1,2023,2023-03-31T12:45:55.000Z|2023-03-31 10:30:00|LONG|r1_h1_pullback_long_v1,1,1,1.0,-1.574712643678143
F1,2023,2023-04-19T06:40:20.000Z|c4a6eab0c3dd027b42056ed4,1,1,1.0,1.3829797805655093
F1,2023,2023-05-22T06:21:50.000Z|V9_BREAK_20230522T020500Z_SHORT,1,1,1.0,-1.6437142857142655
F1,2023,2023-05-23T12:33:00.000Z|V7_20230523T102000Z_LONG,1,1,1.0,1.3762857142857163
F1,2023,2023-07-11T12:51:20.000Z|V7_20230711T084000Z_SHORT,1,1,1.0,-1.6634285714286048
F1,2023,2023-08-03T12:30:10.000Z|V7_20230803T081000Z_SHORT,1,1,1.0,1.7057142857142935
F1,2023,2023-09-13T12:33:15.000Z|V7_20230913T085500Z_SHORT,1,1,1.0,-1.6314285714285819
F1,2023,2023-09-20T09:58:30.000Z|V7_20230919T094500Z_SHORT,1,1,1.0,-1.7494285714285849
F1,2023,2023-12-18T14:19:45.000Z|V7_20231218T104500Z_LONG,1,1,1.0,1.3428571428570908
F1,2023,"2023-12-22T12:00:05.000Z|2023-12-21 12:45:00|LONG|r1_h1_pullback_long_v1,2023-12-22 12:00:00|LONG|h4_d1_long_best_box2_atr80",2,2,1.0,-0.44413515604108694
F1,2023,2023-12-26T15:06:55.000Z|V9_BREAK_20231226T134000Z_SHORT,1,1,1.0,-1.6628571428571897
F2,2024,"2024-05-06T13:00:05.000Z|V7_20240506T130000Z_SHORT,edb99749e7b2dde4a38b6fc3",1,2,0.5,1.0284245830711667
F2,2024,2024-05-27T15:45:25.000Z|V9_BREAK_20240527T132000Z_LONG,1,1,1.0,-1.662911846570497
F2,2024,2024-06-26T11:42:10.000Z|178970c1800aacfb42d38c61,1,1,1.0,1.4249091119694028
F2,2024,"2024-07-03T12:15:00.000Z|0bd649c8ebeee7941992d118,V7_20240703T110000Z_SHORT",1,2,0.5,0.9383821540480749
F2,2024,"2024-09-10T16:00:05.000Z|2024-09-10 10:00:00|LONG|r1_h1_pullback_long_v1,2024-09-10 16:00:00|LONG|h4_d1_long_best_box2_atr80",2,2,1.0,1.5697127584842014
F2,2024,"2024-10-30T12:00:10.000Z|2024-10-29 13:15:00|LONG|r1_h1_pullback_long_v1,2024-10-30 11:45:00|LONG|r1_h1_pullback_long_v1,2024-10-30 12:00:00|LONG|r1_h1_pullback_long_v1",1,3,0.3333333333333333,-2.208907741251327
F2,2024,2024-11-12T07:49:15.000Z|V9_BREAK_20241112T062500Z_SHORT,1,1,1.0,1.6603970021148051
F3,2025,2025-01-02T13:18:25.000Z|884ae9c1ca008a9a803b5011,1,1,1.0,3.106916850969519
F3,2025,"2025-02-20T04:05:10.000Z|V7_20250220T021500Z_LONG,a336110cc4cf7d5ba8adf133",2,2,1.0,0.08882972033956282
F3,2025,2025-07-11T17:01:40.000Z|0ceaad778b275a37c4bae639,1,1,1.0,1.109051317063229
F3,2025,2025-08-12T11:45:40.000Z|603fe41194cb5dc98d0c2639,1,1,1.0,1.4073110165347684
F3,2025,2025-10-02T13:35:35.000Z|V9_BREAK_20251002T112000Z_LONG,1,1,1.0,-1.4440471150221472
F3,2025,2025-12-12T15:58:15.000Z|4a9a3f3991e53ba202a6376e,1,1,1.0,-0.07284527259182152
F4,2026,2026-01-26T04:32:30.000Z|V9_BREAK_20260126T011500Z_LONG,1,1,1.0,1.535676506040531
F4,2026,2026-02-20T15:03:05.000Z|2026-02-20 12:45:00|LONG|r1_h1_pullback_long_v1,1,1,1.0,-1.345577573707138
F4,2026,2026-03-10T14:07:45.000Z|V25_f1ec6704a9640a26928185a8,1,1,1.0,1.5579753350069554
F4,2026,2026-03-27T05:58:05.000Z|V9_BREAK_20260327T034000Z_LONG,1,1,1.0,-1.5566786600089475
F4,2026,2026-04-21T22:00:15.000Z|9697fd829d301579d5da4ad0,1,1,1.0,-1.543583838119593
F4,2026,2026-04-28T00:27:15.000Z|V9_BREAK_20260427T232000Z_LONG,1,1,1.0,-1.5565388681352028
F4,2026,2026-06-05T06:33:20.000Z|V25_83cae13e3a3e29396436b5fb,1,1,1.0,-1.5690141965973097
F4,2026,2026-06-09T13:21:25.000Z|V7_20260609T081000Z_LONG,1,1,1.0,1.4367063527569124
