entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_deal,exit_price,profit,balance,exit_comment
2024.07.23 07:00:00,2024-07-23,7,SHORT,2,0.01,1.08849,EUH4CHOP_PARITY,2024.07.23 08:03:45,2024-07-23,8,3,1.08733,1.16,10001.16,tp 1.08734
2024.07.29 08:00:00,2024-07-29,8,SHORT,4,0.01,1.08446,EUH4CHOP_PARITY,2024.07.29 09:08:32,2024-07-29,9,5,1.08295,1.51,10002.67,tp 1.08297
2024.08.01 07:00:00,2024-08-01,7,SHORT,6,0.01,1.08162,EUH4CHOP_PARITY,2024.08.01 08:04:35,2024-08-01,8,7,1.07946,2.16,10004.83,tp 1.07947
2024.08.28 10:00:00,2024-08-28,10,SHORT,8,0.01,1.11355,EUH4CHOP_PARITY,2024.08.28 12:19:37,2024-08-28,12,9,1.11126,2.29,10007.12,tp 1.11126
2024.08.29 09:00:00,2024-08-29,9,SHORT,10,0.01,1.10846,EUH4CHOP_PARITY,2024.08.29 14:20:40,2024-08-29,14,11,1.10617,2.29,10009.41,tp 1.10617
2024.09.23 08:00:00,2024-09-23,8,SHORT,12,0.01,1.11013,EUH4CHOP_PARITY,2024.09.23 10:43:04,2024-09-23,10,13,1.11191,-1.78,10007.63,sl 1.11190
2024.09.27 07:00:00,2024-09-27,7,SHORT,14,0.01,1.11474,EUH4CHOP_PARITY,2024.09.27 07:24:38,2024-09-27,7,15,1.11272,2.02,10009.65,tp 1.11274
2024.10.25 07:00:00,2024-10-25,7,SHORT,16,0.01,1.08156,EUH4CHOP_PARITY,2024.10.25 07:30:39,2024-10-25,7,17,1.08257,-1.01,10008.64,sl 1.08257
2024.11.01 08:00:00,2024-11-01,8,SHORT,18,0.01,1.08622,EUH4CHOP_PARITY,2024.11.01 11:30:12,2024-11-01,11,19,1.08736,-1.14,10007.5,sl 1.08735
2024.11.20 07:00:00,2024-11-20,7,SHORT,20,0.01,1.05782,EUH4CHOP_PARITY,2024.11.20 08:33:59,2024-11-20,8,21,1.05552,2.3,10009.8,tp 1.05553
2024.11.21 07:00:00,2024-11-21,7,SHORT,22,0.01,1.05365,EUH4CHOP_PARITY,2024.11.21 08:22:16,2024-11-21,8,23,1.05209,1.56,10011.36,tp 1.05209
2024.12.02 07:00:00,2024-12-02,7,SHORT,24,0.01,1.05027,EUH4CHOP_PARITY,2024.12.02 10:35:30,2024-12-02,10,25,1.05285,-2.58,10008.78,sl 1.05285
2024.12.10 08:00:00,2024-12-10,8,SHORT,26,0.01,1.05375,EUH4CHOP_PARITY,2024.12.10 12:17:31,2024-12-10,12,27,1.05180,1.95,10010.73,tp 1.05180
