month,trades,wins,win_rate,realized_payoff_ratio_usd,profit_factor,profit_factor_is_infinite,net_pnl_usd_001_lot,maximum_closed_trade_drawdown_usd
2025-07,3,2,0.6666666666666666,14.274999999999999,28.549999999999997,False,5.51,0.19999999999999996
2025-08,3,2,0.6666666666666666,1.0192307692307692,2.0384615384615383,False,2.43,2.34
2025-09,3,1,0.3333333333333333,1.3506493506493507,0.6753246753246753,False,-0.9999999999999998,1.69
2025-10,4,2,0.5,1.7054794520547947,1.7054794520547947,False,2.06,2.92
2025-11,0,0,0.0,0.0,0.0,False,0,0.0
2025-12,3,1,0.3333333333333333,0.9486404833836859,0.47432024169184295,False,-1.7399999999999998,1.91
2026-01,2,1,0.5,1.2191780821917808,1.2191780821917808,False,0.32000000000000006,1.46
2026-02,3,1,0.3333333333333333,1.9734219269102993,0.9867109634551496,False,-0.039999999999999813,1.52
2026-03,7,3,0.42857142857142855,1.3541899441340783,1.0156424581005588,False,0.1400000000000008,6.859999999999999
2026-04,0,0,0.0,0.0,0.0,False,0,0.0
2026-05,3,3,1.0,0.0,,True,6.17,0.0
2026-06,2,2,1.0,0.0,,True,3.24,0.0
