timestamp_broker	timestamp_local	run_id	account	symbol	magic	deal_ticket	position_id	entry_code	type_code	reason_code	direction	volume	price	profit	commission	swap	fee	order_ticket	comment
2016.08.02 08:00:00	2016.08.02 08:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	2	2	0	0	3	LONG	0.01	1358.80	0.00	0.00	0.00	0.0000000000000000	2	A1_M5_MOM_ROUTER_V1_
2016.08.02 16:00:00	2016.08.02 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	3	3	0	0	3	LONG	0.01	1366.83	0.00	0.00	0.00	0.0000000000000000	3	A1_M5_MOM_ROUTER_V1_
2016.08.05 12:30:30	2016.08.05 12:30:30	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	4	2	1	1	4	LONG	0.01	1346.43	-12.37	0.00	0.00	0.0000000000000000	4	sl 1346.48
2016.08.05 12:30:30	2016.08.05 12:30:30	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	5	3	1	1	4	LONG	0.01	1346.43	-20.40	0.00	0.00	0.0000000000000000	5	sl 1346.52
2017.02.02 08:00:00	2017.02.02 08:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	6	6	0	0	3	LONG	0.01	1217.67	0.00	0.00	0.00	0.0000000000000000	6	A1_M5_MOM_ROUTER_V1_
2017.02.06 12:00:00	2017.02.06 12:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	7	7	0	0	3	LONG	0.01	1228.77	0.00	0.00	0.00	0.0000000000000000	7	A1_M5_MOM_ROUTER_V1_
2017.02.06 20:00:00	2017.02.06 20:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	8	8	0	0	3	LONG	0.01	1235.17	0.00	0.00	0.00	0.0000000000000000	8	A1_M5_MOM_ROUTER_V1_
2017.02.08 08:00:00	2017.02.08 08:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	9	9	0	0	3	LONG	0.01	1237.21	0.00	0.00	0.00	0.0000000000000000	9	A1_M5_MOM_ROUTER_V1_
2017.02.08 12:00:00	2017.02.08 12:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	10	10	0	0	3	LONG	0.01	1239.97	0.00	0.00	0.00	0.0000000000000000	10	A1_M5_MOM_ROUTER_V1_
2017.02.08 16:00:00	2017.02.08 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	11	11	0	0	3	LONG	0.01	1242.85	0.00	0.00	0.00	0.0000000000000000	11	A1_M5_MOM_ROUTER_V1_
2017.02.09 14:00:35	2017.02.09 14:00:35	A1_XAU_H4_CLUSTER_HIGHWATER_HEDGE_TEN_YEAR	1025742	XAUUSD	932202	12	12	0	1	3	SHORT	0.06	1236.37	0.00	0.00	0.00	0.0000000000000000	12	H4_CLUSTER_HEDGE
