trade_id,source_id,entry_time_utc,protected_exit_time_utc,protected_pnl_usd,specialist_id,sleeve_type,direction,risk_usd,open_cost_usd,endpoint_exit_time_utc,endpoint_pnl_usd,close_reason,protection_delta_usd,pnl_changed,protection_action,protection_changed,entry_year,entry_month,fold_id,utc_entry_date,cluster_size,cluster_ordinal,is_cluster_trade,later_cluster_trade,post_prior_loss_same_day
V9_BREAK_20210104T162000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-04 16:20:00+00:00,2021-01-05 09:50:00+00:00,-7.481380494309517,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,6.5963544390249504,0.8850260552845812,2021-01-05 09:50:00+00:00,-7.481380494309517,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-04,1,1,False,False,False
V7_20210105T115000Z_SHORT,V7_SWING_HEALTH,2021-01-05 11:50:00+00:00,2021-01-05 13:55:00+00:00,-4.005381944444444,V7_SWING_HEALTH,ADDON,SHORT,3.5,0.5053819444444443,2021-01-05 13:55:00+00:00,-4.005381944444444,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-05,1,1,False,False,False
V9_BREAK_20210106T000500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-06 00:05:00+00:00,2021-01-06 01:25:00+00:00,-3.9944444444444445,V57_BREAK_SWING_H4ADX_HIGH,ADDON,LONG,3.5,0.49444444444444446,2021-01-06 01:25:00+00:00,-3.9944444444444445,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-06,1,1,False,False,False
V7_20210106T002000Z_SHORT,V7_SWING_HEALTH,2021-01-06 00:20:00+00:00,2021-01-06 01:05:00+00:00,-3.9859375,V7_SWING_HEALTH,ADDON,SHORT,3.5,0.4859374999999999,2021-01-06 01:05:00+00:00,-3.9859375,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-06,1,1,False,False,False
V9_BREAK_20210107T012500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-07 01:25:00+00:00,2021-01-07 06:35:00+00:00,-4.497009586411553,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,3.9253927277993776,0.5716168586121908,2021-01-07 06:35:00+00:00,-4.497009586411553,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-07,1,1,False,False,False
V7_20210107T073000Z_SHORT,V7_SWING_HEALTH,2021-01-07 07:30:00+00:00,2021-01-07 08:10:00+00:00,6.5152777777777775,V7_SWING_HEALTH,ADDON,SHORT,3.5,0.4847222222222225,2021-01-07 08:10:00+00:00,6.5152777777777775,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-07,1,1,False,False,False
V7_20210108T003000Z_SHORT,V7_SWING_HEALTH,2021-01-08 00:30:00+00:00,2021-01-08 03:30:00+00:00,6.481249999999999,V7_SWING_HEALTH,ADDON,SHORT,3.5,0.5187500000000007,2021-01-08 03:30:00+00:00,6.481249999999999,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-08,1,1,False,False,False
V7_20210108T062000Z_LONG,V7_SWING_HEALTH,2021-01-08 06:20:00+00:00,2021-01-08 08:00:00+00:00,-3.9993055555555554,V7_SWING_HEALTH,ADDON,LONG,3.5,0.49930555555555545,2021-01-08 08:00:00+00:00,-3.9993055555555554,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-08,1,1,False,False,False
V9_BREAK_20210111T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11 00:15:00+00:00,2021-01-11 01:15:00+00:00,11.572478978302675,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,6.095929390582582,0.6193798028624631,2021-01-11 01:15:00+00:00,11.572478978302675,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-11,1,1,False,False,False
V9_BREAK_20210111T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-11 01:35:00+00:00,2021-01-11 06:25:00+00:00,19.120093964346545,V57_BREAK_SWING_H4ADX_HIGH,ADDON,LONG,9.99516926946548,0.8702445745843832,2021-01-11 06:25:00+00:00,19.120093964346545,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-11,1,1,False,False,False
V9_BREAK_20210112T000500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12 00:05:00+00:00,2021-01-12 01:10:10+00:00,1.3669583333333621,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,3.5,0.526041666666667,2021-01-12 03:35:00+00:00,-4.026041666666667,OPEN_PROFIT_GIVEBACK,5.393000000000029,True,True,True,2021,2021-01,2021-2023,2021-01-12,1,1,False,False,False
V9_BREAK_20210112T054500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-12 05:45:00+00:00,2021-01-12 08:45:00+00:00,-4.018750000000001,V57_BREAK_SWING_H4ADX_HIGH,ADDON,LONG,3.5,0.5187500000000007,2021-01-12 08:45:00+00:00,-4.018750000000001,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-12,1,1,False,False,False
V9_BREAK_20210113T003500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13 00:35:00+00:00,2021-01-13 01:05:00+00:00,-3.982291666666667,V57_BREAK_SWING_H4ADX_HIGH,ADDON,LONG,3.5,0.4822916666666668,2021-01-13 01:05:00+00:00,-3.982291666666667,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-13,1,1,False,False,False
V9_BREAK_20210113T081500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-13 08:15:00+00:00,2021-01-13 09:20:00+00:00,6.781311977263589,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,3.6395438914741933,0.49777580568482005,2021-01-13 09:20:00+00:00,6.781311977263589,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-13,1,1,False,False,False
fccef99737874dc201838eb7,R2_DOWNTREND,2021-01-13 20:00:00.065000+00:00,2021-01-14 14:25:00+00:00,2.941583700163942,R2_DOWNTREND,CORE,SHORT,8.068313519870763,1.2284162998361308,2021-01-15 08:00:00.219000+00:00,-0.4684162998361399,OPEN_PROFIT_GIVEBACK,3.410000000000082,True,True,True,2021,2021-01,2021-2023,2021-01-13,1,1,False,False,False
V9_BREAK_20210114T013000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-14 01:30:00+00:00,2021-01-14 02:25:00+00:00,6.511631944444444,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,3.5,0.48836805555555607,2021-01-14 02:25:00+00:00,6.511631944444444,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-14,1,1,False,False,False
V7_20210114T031500Z_LONG,V7_SWING_HEALTH,2021-01-14 03:15:00+00:00,2021-01-14 14:25:00+00:00,10.805007352010033,V7_SWING_HEALTH,ADDON,LONG,5.778386961144773,0.7517665702794609,2021-01-14 14:25:00+00:00,10.805007352010033,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-14,1,1,False,False,False
V9_BREAK_20210115T124500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-01-15 12:45:00+00:00,2021-01-15 13:40:00+00:00,-4.257957442126096,V57_BREAK_SWING_H4ADX_HIGH,ADDON,SHORT,3.7567517967337594,0.5012056453922442,2021-01-15 13:40:00+00:00,-4.257957442126096,SOURCE_EXIT,0.0,False,False,False,2021,2021-01,2021-2023,2021-01-15,1,1,False,False,False
