entry_month,trades,protection_changed_trades,protection_action_trades,pnl_changed_trades,protection_improved_trades,protection_harmed_trades,endpoint_net_pnl_usd,endpoint_profit_factor,endpoint_win_rate,protected_net_pnl_usd,protected_profit_factor,protected_win_rate,protection_delta_usd
2022-01,3,3,1,1,0,1,3.302242606169112,1.4393391449644761,0.6666666666666666,-0.3524332636406946,0.9531113406338828,0.6666666666666666,-3.6546758698098074
2022-02,1,1,0,0,0,0,-5.103627889992934,0.0,0.0,-5.103627889992934,0.0,0.0,0.0
2022-03,6,6,0,0,0,0,-10.446538051053992,0.6201435070043105,0.3333333333333333,-10.446538051053992,0.6201435070043105,0.3333333333333333,0.0
2022-04,2,2,1,1,1,0,-4.055526726346476,0.28115997803244325,0.5,3.944473273653524,,1.0,8.0
2022-05,4,4,0,0,0,0,31.022763073195517,4.265024436599869,0.5,31.022763073195517,4.265024436599869,0.5,0.0
2022-06,11,11,4,4,1,3,26.304519237531476,1.9445033467447248,0.45454545454545453,1.2378191601852384,1.0536957968785245,0.5454545454545454,-25.06670007734624
2022-07,19,4,3,3,3,0,-66.41907972718617,0.2549401283441018,0.10526315789473684,-40.921079727186125,0.42325434164364134,0.2631578947368421,25.498000000000047
2022-08,5,3,0,0,0,0,-2.5617879424712555,0.8377512863793357,0.4,-2.5617879424712555,0.8377512863793357,0.4,0.0
2022-09,2,2,1,1,0,1,15.448168018873648,,1.0,11.563168018873657,,1.0,-3.884999999999991
2022-10,2,2,0,0,0,0,-4.242251049708181,0.5113788762284954,0.5,-4.242251049708181,0.5113788762284954,0.5,0.0
2022-11,12,6,3,3,1,2,74.61139460390038,4.067086582096692,0.5833333333333334,34.759036116448414,2.9014277682030065,0.6666666666666666,-39.852358487451966
2022-12,43,34,20,20,9,11,25.82132956096351,1.1401725210296798,0.4418604651162791,38.219329560964326,1.3454384189076454,0.4883720930232558,12.39800000000082
2023-01,48,17,1,1,1,0,134.50316488994588,1.9713377718609655,0.5416666666666666,180.8961648899459,2.691375794206402,0.5625,46.39300000000003
2023-02,29,12,5,5,5,0,8.133862734485568,1.0968875708211254,0.4482758620689655,45.68486273448572,1.7700406461562792,0.5862068965517241,37.55100000000016
2023-03,23,10,5,5,5,0,-30.194143094881138,0.6370410503321636,0.30434782608695654,14.608856905118738,1.2790932255151266,0.5217391304347826,44.802999999999884
2023-04,24,11,1,1,0,1,5.2472749371713885,1.0549117932794163,0.4583333333333333,-0.19929028212389177,0.9979144628582235,0.4583333333333333,-5.44656521929528
2023-05,23,9,2,2,1,1,-33.824182986830536,0.641913281324644,0.30434782608695654,-32.888182986830614,0.636116162162171,0.34782608695652173,0.9359999999999218
2023-06,6,1,0,0,0,0,-13.888606659505244,0.35301278357535737,0.16666666666666666,-13.888606659505244,0.35301278357535737,0.16666666666666666,0.0
2023-07,13,4,1,1,1,0,-34.999216550430994,0.376028022012582,0.23076923076923078,-29.177216550430877,0.4373540584562498,0.3076923076923077,5.822000000000116
2023-08,5,3,1,1,0,1,-1.4466392619928587,0.8870745379774362,0.4,-7.416639261992887,0.4210530314506515,0.4,-5.970000000000027
2023-09,14,5,2,2,2,0,-23.317149186855247,0.5046226240976625,0.21428571428571427,-11.484149186855163,0.7028148464187545,0.35714285714285715,11.833000000000084
2023-10,11,5,0,0,0,0,-66.22967650398591,0.0,0.0,-66.22967650398591,0.0,0.0,0.0
2023-11,15,11,1,1,0,1,46.63640039536874,2.0700823316181167,0.4,41.04640039536882,1.9418185680550264,0.4,-5.589999999999918
2023-12,31,20,5,5,3,2,171.23684300647773,3.071179434897659,0.7096774193548387,221.0068430064784,7.44144434938637,0.7741935483870968,49.770000000000664
2024-01,14,2,1,1,1,0,23.316465280394212,1.7447435031985752,0.5,31.58314667468388,2.239041117960989,0.5714285714285714,8.266681394289662
2024-02,21,9,1,1,0,1,58.95993293027252,2.8019520956718607,0.6190476190476191,52.151555456844996,2.593872312560901,0.6190476190476191,-6.808377473427527
2024-03,48,21,3,3,1,2,399.4967775611577,7.908422815853974,0.7291666666666666,382.10222514685086,8.01974731927163,0.7291666666666666,-17.394552414306872
2024-04,7,2,0,0,0,0,-31.570123592510416,0.2461234920889584,0.14285714285714285,-31.570123592510416,0.2461234920889584,0.14285714285714285,0.0
2024-05,29,17,4,4,2,2,34.6557306225188,1.3350957880641503,0.41379310344827586,33.829823290815256,1.3601743529126449,0.4482758620689655,-0.8259073317035472
2024-06,6,3,1,1,0,1,15.836781547445675,2.7454754784554694,0.5,7.918016676297079,1.872696507498847,0.5,-7.918764871148596
2024-07,39,21,7,7,5,2,119.91766470988934,1.9412985755385128,0.3333333333333333,148.56109401107418,2.4993402810047702,0.4358974358974359,28.643429301184824
2024-08,15,9,1,1,1,0,-143.8681301821173,0.09541564225023273,0.13333333333333333,-136.7681301821174,0.11260606078231145,0.2,7.099999999999909
2024-09,41,25,2,2,0,2,95.19508963060386,1.573969306302774,0.4146341463414634,33.00108963060344,1.1975037257060133,0.3902439024390244,-62.194000000000415
2024-10,52,29,6,6,4,2,78.71775779586054,1.350868476794404,0.3269230769230769,95.98675779586124,1.5152870361697843,0.36538461538461536,17.269000000000688
2024-11,31,3,1,1,0,1,123.51507264401177,3.3004655244849768,0.6451612903225806,114.4211057380519,3.1310905899110932,0.6451612903225806,-9.09396690595986
2024-12,23,4,2,2,2,0,-16.37833503246537,0.8089802712452338,0.391304347826087,0.30950068013937226,1.004192402503885,0.4782608695652174,16.687835712604738
2025-01,39,14,1,1,0,1,200.38704074795055,2.363627213289864,0.5128205128205128,178.76704074795066,2.2165038252639433,0.5128205128205128,-21.61999999999989
2025-02,40,17,6,6,2,4,163.6788451523489,2.6762535755692274,0.65,149.21550585514842,2.748145855988348,0.675,-14.463339297200491
2025-03,43,20,9,9,0,9,369.1719160720918,4.229570460239537,0.6511627906976745,229.73493573777296,2.8756948092656507,0.6046511627906976,-139.43698033431883
2025-04,22,7,2,2,1,1,4.291143076436052,1.0351158201710553,0.36363636363636365,5.318243480389272,1.0455211474212018,0.4090909090909091,1.0271004039532272
2025-05,10,4,2,2,0,2,79.88160569075657,2.837036479805164,0.6,58.696389451481394,2.3498402757782757,0.6,-21.185216239275178
2025-06,18,8,1,1,0,1,-17.972869850268808,0.8543211275706419,0.3333333333333333,-26.291028189622693,0.7868983988878429,0.3333333333333333,-8.318158339353886
2025-07,24,19,5,5,3,2,18.858118692606787,1.1532155849085786,0.4166666666666667,50.56211869260743,1.573707349637504,0.4583333333333333,31.704000000000633
2025-08,15,13,1,1,0,1,101.01965774831824,2.1035518194397724,0.4,87.73935267252709,1.958476047498261,0.4,-13.280305075791148
2025-09,60,19,3,3,0,3,200.23150648341755,1.7424006403893955,0.43333333333333335,169.9700071316662,1.6301997340862504,0.43333333333333335,-30.261499351751354
2025-10,14,3,3,3,2,1,-12.9420966229863,0.8645408064329111,0.2857142857142857,-8.597686594850929,0.8869883277384246,0.42857142857142855,4.344410028135371
2025-11,26,9,2,2,1,1,148.68286771805768,1.932594140193205,0.5384615384615384,156.01919337668258,2.082476909165385,0.5769230769230769,7.336325658624901
2025-12,39,12,3,3,2,1,103.25288582919725,1.4221670903791837,0.46153846153846156,115.95627225827425,1.5003815560605829,0.48717948717948717,12.703386429077
2026-01,38,13,2,2,1,1,94.34404036537413,1.3108480478869853,0.39473684210526316,86.13796424133594,1.297022348871173,0.42105263157894735,-8.20607612403819
2026-02,9,3,1,1,1,0,100.53158815686876,2.1806379077271885,0.3333333333333333,128.3715881568689,3.001108807348366,0.4444444444444444,27.840000000000146
2026-03,29,6,2,2,1,1,518.4843273017317,2.672843094039572,0.41379310344827586,505.0739627716179,2.7366304790816693,0.4482758620689655,-13.410364530113839
2026-04,14,5,4,4,2,2,88.42510463897068,2.075627614027147,0.5714285714285714,107.15650440119751,3.1995450748855547,0.7142857142857143,18.73139976222683
2026-05,14,2,2,2,1,1,81.02587382820701,1.9553342771247197,0.5,73.46765102237686,1.9495092743125593,0.5714285714285714,-7.558222805830155
2026-06,28,6,4,4,3,1,180.3254005908179,1.5909888943668071,0.39285714285714285,239.73461052390797,1.97038767572325,0.4642857142857143,59.4092099330901
