entry_month,trades,protection_changed_trades,protection_action_trades,pnl_changed_trades,protection_improved_trades,protection_harmed_trades,endpoint_net_pnl_usd,endpoint_profit_factor,endpoint_win_rate,protected_net_pnl_usd,protected_profit_factor,protected_win_rate,protection_delta_usd
2021-01,36,5,5,5,3,2,67.87611894701776,1.8685349105556717,0.4722222222222222,71.62811894701794,2.015243131632027,0.5277777777777778,3.75200000000018
2021-02,26,5,1,1,1,0,60.23606172637863,2.135796268705123,0.5384615384615384,66.17413643813113,2.355171564220986,0.5769230769230769,5.938074711752506
2021-03,29,5,2,2,1,1,94.67822274615365,2.796384455577652,0.5862068965517241,85.98322274615371,2.7658519394922947,0.6206896551724138,-8.694999999999936
2021-04,12,3,2,2,0,2,3.5513472405358986,1.1169139159226482,0.4166666666666667,-7.038707638840441,0.7682786792295441,0.4166666666666667,-10.59005487937634
2021-05,24,3,2,2,0,2,-66.06826808588171,0.3231856859227129,0.16666666666666666,-77.74732508411053,0.20354348581159903,0.16666666666666666,-11.679056998228816
2021-06,21,8,4,4,1,3,43.1759605356185,1.7772510609350554,0.47619047619047616,9.363300634434147,1.1795658628757084,0.47619047619047616,-33.81265990118436
2021-07,5,2,0,0,0,0,1.0891947591634894,1.0819605968823092,0.4,1.0891947591634894,1.0819605968823092,0.4,0.0
2021-08,11,1,1,1,1,0,-1.74223427436233,0.9388894936672809,0.36363636363636365,4.263765725637755,1.1760710371483987,0.45454545454545453,6.0060000000000855
2021-09,7,2,0,0,0,0,-9.746025537133933,0.580036747951217,0.2857142857142857,-9.746025537133933,0.580036747951217,0.2857142857142857,0.0
2021-10,11,4,0,0,0,0,7.33808453038355,1.2661825187691536,0.45454545454545453,7.33808453038355,1.2661825187691536,0.45454545454545453,0.0
2021-11,27,4,3,3,2,1,17.432302523553084,1.2603463231379344,0.4074074074074074,19.774643957258398,1.3334953196129478,0.4444444444444444,2.3423414337053146
2021-12,21,10,2,2,1,1,-5.943980748947891,0.898057820502857,0.2857142857142857,-5.1539807489479275,0.9050654624822941,0.3333333333333333,0.7899999999999636
