source_id,entry_year,trades,protection_changed_trades,protection_action_trades,pnl_changed_trades,protection_improved_trades,protection_harmed_trades,endpoint_net_pnl_usd,endpoint_profit_factor,endpoint_win_rate,protected_net_pnl_usd,protected_profit_factor,protected_win_rate,protection_delta_usd
R1_BOX,2022,3,2,2,2,0,2,70.23,3.2274024738344433,0.6666666666666666,1.998000000000033,1.0633682207421513,0.6666666666666666,-68.23199999999997
R1_BOX,2023,7,7,2,2,2,0,43.65000000000002,1.3642052565707132,0.42857142857142855,122.81300000000026,3.210457163426939,0.5714285714285714,79.16300000000024
R1_BOX,2024,3,2,1,1,0,1,95.06,3.693680929441768,0.6666666666666666,40.00299999999976,2.095162482547143,0.3333333333333333,-55.057000000000244
R1_BOX,2025,4,4,0,0,0,0,213.81,6.8037459283387625,0.75,213.81,6.8037459283387625,0.75,0.0
R1_PULLBACK,2022,37,31,18,18,9,9,8.209999999999994,1.0570773081201332,0.43243243243243246,46.6650000000006,1.6640908508730878,0.4864864864864865,38.45500000000061
R1_PULLBACK,2023,79,69,11,11,9,2,20.20999999999998,1.065768492303687,0.379746835443038,101.25100000000015,1.4071570464616905,0.4810126582278481,81.04100000000017
R1_PULLBACK,2024,120,100,9,9,6,3,451.1099999999999,1.9031773680100907,0.4583333333333333,481.93900000000053,2.078308050297581,0.49166666666666664,30.829000000000633
R1_PULLBACK,2025,108,89,9,9,3,6,518.12,1.8297487308425282,0.4722222222222222,451.0339999999998,1.7546791600435043,0.46296296296296297,-67.08600000000024
R1_PULLBACK,2026,16,14,1,1,1,0,-43.050000000000004,0.7244270900012802,0.25,-15.209999999999859,0.8875166395503635,0.3125,27.840000000000146
R2_DOWNTREND,2021,7,7,3,3,1,2,21.582505918888412,1.741314757013586,0.2857142857142857,-17.075494081111497,0.40390112711569875,0.42857142857142855,-38.6579999999999
R2_DOWNTREND,2022,10,10,3,3,2,1,7.866415103134315,1.1774953151705327,0.4,23.759415103134344,1.788242551279061,0.6,15.893000000000029
R2_DOWNTREND,2023,9,9,0,0,0,0,-56.635977780312736,0.0,0.0,-56.635977780312736,0.0,0.0,0.0
R2_DOWNTREND,2024,3,3,0,0,0,0,-28.697372188934928,0.0,0.0,-28.697372188934928,0.0,0.0,0.0
R2_DOWNTREND,2025,3,3,1,1,0,1,47.51508183393478,3.6999072018170915,0.6666666666666666,31.81508183393496,2.807800076406347,0.6666666666666666,-15.699999999999818
R2_DOWNTREND,2026,3,3,0,0,0,0,536.7586918138419,12.421846924420466,0.6666666666666666,536.7586918138419,12.421846924420466,0.6666666666666666,0.0
R3_COMPRESSION,2021,9,9,0,0,0,0,25.48959065245663,2.030538791325505,0.3333333333333333,25.48959065245663,2.030538791325505,0.3333333333333333,0.0
R3_COMPRESSION,2022,16,16,4,4,2,2,14.049464645598416,1.274899547129969,0.4375,1.2854646455985197,1.031608595154882,0.5625,-12.763999999999896
R3_COMPRESSION,2023,2,2,0,0,0,0,-0.45974647095370935,0.8871917182864287,0.5,-0.45974647095370935,0.8871917182864287,0.5,0.0
R3_COMPRESSION,2024,6,6,0,0,0,0,22.517579021095983,2.5653944915064524,0.3333333333333333,22.517579021095983,2.5653944915064524,0.3333333333333333,0.0
R3_COMPRESSION,2025,9,9,3,3,1,2,17.846102244326687,1.444628088797463,0.4444444444444444,-13.359897755672993,0.6671437984435621,0.4444444444444444,-31.205999999999676
R3_COMPRESSION,2026,4,4,1,1,1,0,87.51516671549646,2.3102708759183392,0.5,127.92816671549511,4.302250561668864,0.75,40.41299999999865
R4_CHOP,2021,10,10,1,1,0,1,33.618495443761134,3.6195311487932242,0.7,29.194369510469045,3.2748061533564274,0.7,-4.424125933292089
R4_CHOP,2022,5,5,1,1,0,1,-15.81803336255773,0.2378304727400887,0.2,-19.472709232367535,0.06173509374218132,0.2,-3.6546758698098074
R4_CHOP,2023,8,8,1,1,0,1,19.996204428399277,2.6493913189629192,0.625,14.549639209103997,2.200130189280112,0.625,-5.44656521929528
R4_CHOP,2024,15,15,3,3,0,3,13.442919540822324,1.2670656934395845,0.4666666666666667,-6.131944557022645,0.8781788420081432,0.4666666666666667,-19.574864097844966
R4_CHOP,2025,8,8,2,2,1,1,48.931348672264086,2.251767853407818,0.5,41.95804359647273,2.279880001197852,0.5,-6.973305075791359
V25_CHOP,2021,9,9,1,1,0,1,14.87118189095779,2.1006880101155203,0.5555555555555556,9.665726658470449,1.7154071223149547,0.5555555555555556,-5.205455232487338
V25_CHOP,2022,10,10,1,1,0,1,23.14429190350171,2.3397335891584916,0.6,18.841591826155366,2.090666914674336,0.6,-4.302700077346344
V25_CHOP,2023,3,3,0,0,0,0,-3.062101723980457,0.6935781392355971,0.3333333333333333,-3.062101723980457,0.6935781392355971,0.3333333333333333,0.0
V25_CHOP,2024,3,3,0,0,0,0,-3.9679924283706622,0.6534410076084878,0.3333333333333333,-3.9679924283706622,0.6534410076084878,0.3333333333333333,0.0
V25_CHOP,2025,10,10,1,1,1,0,-36.75049422169639,0.5526146536582099,0.3,-18.64049422169581,0.7310271627748267,0.4,18.110000000000582
V25_CHOP,2026,3,3,2,2,1,1,33.49588720774642,2.8991621641406278,0.3333333333333333,17.677583641421336,92.42359386267225,0.6666666666666666,-15.818303566325085
V57_BREAK_SWING_H4ADX_HIGH,2021,93,5,5,5,2,3,57.037616316907574,1.2284563665509025,0.41935483870967744,50.2190398358375,1.2073164496090232,0.43010752688172044,-6.8185764810700675
V57_BREAK_SWING_H4ADX_HIGH,2022,23,2,2,2,1,1,-20.926921464690956,0.7398691254792067,0.30434782608695654,-18.26427995214282,0.7545179291740325,0.34782608695652173,2.6626415125481344
