causal_trade_index,family,side,causal_entry_time_utc,oracle_entry_time_utc,absolute_difference_minutes
0,N5_WALKFORWARD_LOGIT,LONG,2023-01-02 08:15:00+00:00,2023-01-02 08:15:00+00:00,0.0
1,N5_WALKFORWARD_LOGIT,LONG,2023-01-02 09:00:00+00:00,2023-01-02 08:05:00+00:00,55.0
14,N5_WALKFORWARD_LOGIT,SHORT,2023-01-09 00:00:00+00:00,2023-01-09 00:05:00+00:00,5.0
15,N5_WALKFORWARD_LOGIT,SHORT,2023-01-09 01:00:00+00:00,2023-01-09 00:20:00+00:00,40.0
23,N5_WALKFORWARD_LOGIT,LONG,2023-01-24 00:00:00+00:00,2023-01-24 00:05:00+00:00,5.0
32,N5_WALKFORWARD_LOGIT,SHORT,2023-02-28 00:00:00+00:00,2023-02-28 00:10:00+00:00,10.0
33,N5_WALKFORWARD_LOGIT,SHORT,2023-02-28 00:15:00+00:00,2023-02-28 00:15:00+00:00,0.0
42,N5_WALKFORWARD_LOGIT,SHORT,2023-03-08 01:00:00+00:00,2023-03-08 00:00:00+00:00,60.0
51,N5_WALKFORWARD_LOGIT,LONG,2023-03-22 00:15:00+00:00,2023-03-22 00:25:00+00:00,10.0
67,N5_WALKFORWARD_LOGIT,LONG,2023-03-31 01:15:00+00:00,2023-03-31 00:15:00+00:00,60.0
79,N5_WALKFORWARD_LOGIT,SHORT,2023-04-13 00:15:00+00:00,2023-04-13 00:05:00+00:00,10.0
88,N5_WALKFORWARD_LOGIT,LONG,2023-04-17 00:45:00+00:00,2023-04-17 00:10:00+00:00,35.0
89,N5_WALKFORWARD_LOGIT,LONG,2023-04-17 01:00:00+00:00,2023-04-17 00:00:00+00:00,60.0
154,N5_WALKFORWARD_LOGIT,LONG,2023-07-10 00:15:00+00:00,2023-07-10 00:20:00+00:00,5.0
188,N5_WALKFORWARD_LOGIT,SHORT,2023-08-24 00:15:00+00:00,2023-08-24 00:25:00+00:00,10.0
201,N5_WALKFORWARD_LOGIT,SHORT,2023-08-30 01:30:00+00:00,2023-08-30 00:30:00+00:00,60.0
210,N5_WALKFORWARD_LOGIT,LONG,2023-10-09 00:15:00+00:00,2023-10-09 00:15:00+00:00,0.0
212,N5_WALKFORWARD_LOGIT,LONG,2023-10-10 00:30:00+00:00,2023-10-10 00:35:00+00:00,5.0
