threshold,qualified,trades_2021,pf_2021,net_r_2021,trades_2022,pf_2022,net_r_2022,minimum_annual_pf,total_net_r
0.25,False,617,0.8258599669231925,-68.84138108973862,559,0.7607185163901902,-89.37639433560244,0.7607185163901902,-158.21777542534107
0.275,False,597,0.8440441489343493,-59.207169032934395,556,0.7716572265460282,-84.52091606753345,0.7716572265460282,-143.72808510046784
0.3,False,589,0.8566110518724526,-53.561313983215854,547,0.7974496889265337,-72.55073305718908,0.7974496889265337,-126.11204704040493
0.325,False,567,0.8347404737855308,-59.99077206070727,533,0.7553023782032212,-87.1490907402385,0.7553023782032212,-147.13986280094576
0.35,False,519,0.8484308839035252,-50.2495400047331,503,0.7775326703415116,-74.00066212423422,0.7775326703415116,-124.25020212896732
0.375,False,386,0.8844938713193534,-28.17020008510974,421,0.8381202738646258,-43.929747105348156,0.8381202738646258,-72.0999471904579
0.4,False,215,1.0247697908027726,3.1700887779270275,308,0.7481673732256829,-52.05575725496046,0.7481673732256829,-48.885668477033434
0.425,False,126,1.1184198506296499,8.541167676203946,167,0.6098045350673579,-46.6237547154824,0.6098045350673579,-38.08258703927845
0.45,False,72,0.8558731388429573,-6.588079303566223,88,0.615102705620547,-24.185183591507617,0.615102705620547,-30.77326289507384
0.475,False,47,0.6849785024966673,-10.239167045755863,58,0.6077458871062645,-16.313507552768865,0.6077458871062645,-26.552674598524728
0.5,False,32,0.48689512048706934,-12.51064345132924,32,0.4101569967617927,-14.96166890387793,0.4101569967617927,-27.472312355207173
