family,regime,side,window,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,LONG,development_2019_2022,2019-01-02 22:30:00+00:00,2019-01-02 22:45:00+00:00,2019-01-02 22:45:00+00:00,2019-01-02 22:45:00+00:00,1.13281,1.1314,1.1349250000000004,1.13139,STOP,0.0014100000000001334,14.100000000001334,-1.0070921985816061,-1.0425531914894042,-1.4200000000001989
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,SHORT,development_2019_2022,2019-01-03 15:00:00+00:00,2019-01-03 15:15:00+00:00,2019-01-03 15:15:00+00:00,2019-01-04 03:15:00+00:00,1.14014,1.1418447561653327,1.1375828657520008,1.1392,TIME_12H,0.0017047561653327215,17.047561653327215,0.5513985044403572,0.5220687967573576,0.9399999999999409
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,LONG,development_2019_2022,2019-01-04 13:30:00+00:00,2019-01-04 13:45:00+00:00,2019-01-04 13:45:00+00:00,2019-01-04 14:05:00+00:00,1.13761,1.136294575771675,1.1395831363424875,1.1362845757716749,STOP,0.0013154242283250905,13.154242283250905,-1.007602110243019,-1.045612661457865,-1.325424228325156
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,LONG,development_2019_2022,2019-01-04 14:00:00+00:00,2019-01-04 14:15:00+00:00,2019-01-04 14:15:00+00:00,2019-01-04 14:30:00+00:00,1.13663,1.1352590678847605,1.1386863981728594,1.1352490678847604,STOP,0.0013709321152395315,13.709321152395315,-1.007294307200848,-1.043765843204849,-1.380932115239597
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,LONG,development_2019_2022,2019-01-04 14:30:00+00:00,2019-01-04 14:45:00+00:00,2019-01-04 14:45:00+00:00,2019-01-04 15:20:00+00:00,1.13541,1.1340364922067578,1.1374702616898633,1.1374602616898633,TARGET,0.0013735077932421902,13.735077932421902,1.4927193714886318,1.4563162289320293,2.0502616898632198
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,SHORT,development_2019_2022,2019-01-07 04:00:00+00:00,2019-01-07 04:15:00+00:00,2019-01-07 04:15:00+00:00,2019-01-07 06:05:00+00:00,1.14296,1.1436434987570765,1.1419347518643852,1.1419447518643853,TARGET,0.0006834987570765172,6.834987570765172,1.4853693954867777,1.4122163729211454,1.0152481356147103
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,SHORT,development_2019_2022,2019-01-07 13:45:00+00:00,2019-01-07 14:00:00+00:00,2019-01-07 14:00:00+00:00,2019-01-07 14:10:00+00:00,1.14574,1.1467548744456473,1.144217688331529,1.1467648744456473,STOP,0.0010148744456472958,10.148744456472958,-1.00985343560768,-1.059120613645757,-1.0248744456473613
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,SHORT,development_2019_2022,2019-01-07 14:00:00+00:00,2019-01-07 14:15:00+00:00,2019-01-07 14:15:00+00:00,2019-01-07 18:00:00+00:00,1.14652,1.1475883834138152,1.144917424879277,1.1475983834138153,STOP,0.0010683834138152104,10.683834138152104,-1.0093599356474052,-1.056159613884125,-1.078383413815276
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,SHORT,development_2019_2022,2019-01-07 18:00:00+00:00,2019-01-07 18:15:00+00:00,2019-01-07 18:15:00+00:00,2019-01-08 01:15:00+00:00,1.1479599999999999,1.1490907557873602,1.1462638663189595,1.1462738663189596,TARGET,0.001130755787360327,11.307557873603269,1.4911563574452085,1.4469381446720317,1.6861336810403138
N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,LONG,development_2019_2022,2019-01-08 01:45:00+00:00,2019-01-08 02:00:00+00:00,2019-01-08 02:00:00+00:00,2019-01-08 03:30:00+00:00,1.1449,1.1440971365529709,1.1461042951705438,1.1440871365529708,STOP,0.0008028634470291784,8.028634470291784,-1.0124554182122356,-1.0747325092730058,-0.812863447029244
