timestamp_ms,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,tick_count,bb_mid,bb_lower,rsi,atr,recent_low,recent_ask_high,side,signal_time_utc,completion_time_utc,state_time_utc,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,family,regime,window
1546468200000.0,1.13339,1.13365,1.1314,1.13245,1.13356,1.13437,1.13169,1.13284,2247,1.133765,1.1323966798620049,28.357592558030277,0.000866289865791609,1.1314,1.13484,LONG,2019-01-02 22:30:00+00:00,2019-01-02 22:45:00+00:00,2019-01-02 21:00:00+00:00,2019-01-02 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546527600000.0,1.13648,1.14056,1.13648,1.14016,1.13653,1.1406,1.13653,1.14019,5875,1.1359245,1.1332177271982986,72.68044636742525,0.0012176829752376858,1.13564,1.14063,SHORT,2019-01-03 15:00:00+00:00,2019-01-03 15:15:00+00:00,2019-01-03 14:00:00+00:00,2019-01-02 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546608600000.0,1.1404,1.14046,1.1363,1.13752,1.14062,1.14069,1.1364,1.13758,5561,1.1406105,1.138988815998731,29.132765397495987,0.000939588734517897,1.1363,1.14146,LONG,2019-01-04 13:30:00+00:00,2019-01-04 13:45:00+00:00,2019-01-04 12:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546609500000.0,1.13753,1.1376,1.13644,1.13713,1.13758,1.13765,1.13647,1.13718,4007,1.1404275,1.138211143756077,27.53597539556398,0.0009553323963380507,1.1363,1.14146,LONG,2019-01-04 13:45:00+00:00,2019-01-04 14:00:00+00:00,2019-01-04 13:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546610400000.0,1.13713,1.13728,1.13599,1.13654,1.13718,1.13732,1.13602,1.13658,4152,1.140191,1.1374398046234442,25.278660066007433,0.000979237225171048,1.13599,1.14146,LONG,2019-01-04 14:00:00+00:00,2019-01-04 14:15:00+00:00,2019-01-04 13:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546611300000.0,1.13655,1.13674,1.13554,1.1357,1.13658,1.1368,1.13558,1.13574,3549,1.139913,1.1365865598607539,22.45612964911149,0.000995005994801694,1.13554,1.14084,LONG,2019-01-04 14:15:00+00:00,2019-01-04 14:30:00+00:00,2019-01-04 13:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546612200000.0,1.13571,1.13585,1.13505,1.13532,1.13575,1.13588,1.13508,1.13536,3134,1.1396365,1.135789042267939,21.297607366595187,0.000981076995173011,1.13505,1.14069,LONG,2019-01-04 14:30:00+00:00,2019-01-04 14:45:00+00:00,2019-01-04 13:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546613100000.0,1.13533,1.13539,1.1346,1.13535,1.13536,1.13542,1.13463,1.1354,3388,1.1393879999999998,1.1351292086221556,21.641306952937896,0.0009674286383749279,1.1346,1.14069,LONG,2019-01-04 14:45:00+00:00,2019-01-04 15:00:00+00:00,2019-01-04 14:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546614000000.0,1.13535,1.13558,1.13476,1.13528,1.13538,1.1356,1.13477,1.13532,2895,1.1391385,1.1345441718663112,21.406399835516652,0.0009568980213481503,1.1346,1.13767,LONG,2019-01-04 15:00:00+00:00,2019-01-04 15:15:00+00:00,2019-01-04 14:00:00+00:00,2019-01-03 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
1546833600000.0,1.14225,1.14299,1.14217,1.14297,1.14228,1.14301,1.1422,1.14301,1583,1.141557,1.1402330045317512,72.6621130946989,0.00048821339791185514,1.14162,1.14306,SHORT,2019-01-07 04:00:00+00:00,2019-01-07 04:15:00+00:00,2019-01-07 03:00:00+00:00,2019-01-04 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,NEUTRAL,development_2019_2022
