family_id,stage,decision_eligible,raw_gate_pass,promoted,trades,source_days,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_active_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,current_account_feasible_share
M15_DXY_LEAD_CONTINUATION_V1,train,True,False,False,202,465,0.4344086021505376,-10.78475020953999,0.9146888116080117,-0.0533898525224752,0.3888888888888889,21.704474591427946,-29.778169730160652,0.9257425742574258
M15_DXY_LEAD_CONTINUATION_V1,validation,False,False,False,313,621,0.5040257648953301,-97.78278407876138,0.5659484448529233,-0.3124050609545092,0.125,96.62453625035707,-107.26938563374183,0.9840255591054313
M15_DXY_LEAD_CONTINUATION_V1,internal_test,False,False,False,113,310,0.36451612903225805,-31.44892821499631,0.6126485113407271,-0.278309099247755,0.08333333333333333,36.79409175400708,-40.89653818409678,0.9823008849557522
M15_DXY_LEAD_CONTINUATION_V1,exam,False,False,False,234,624,0.375,-43.79425337182707,0.7395885684132066,-0.18715492893943192,0.3333333333333333,47.72852521902118,-58.87117541268198,0.4829059829059829
M15_DXY_LEAD_CONTINUATION_V1,recent_tail,False,False,False,111,312,0.3557692307692308,-12.987981931398984,0.8295898042263575,-0.11700884622881967,0.4166666666666667,19.605583394485013,-24.18835180673239,0.15315315315315314
M15_BOND_LEAD_CONTINUATION_V1,train,True,False,False,230,465,0.4946236559139785,-57.416932301025305,0.6252895583918678,-0.24963883609141438,0.2222222222222222,63.63850121305517,-76.58967207582438,0.9217391304347826
M15_BOND_LEAD_CONTINUATION_V1,validation,False,False,False,314,621,0.5056360708534622,-105.47152993445951,0.5320887375756573,-0.33589659214796025,0.125,104.95732490682558,-114.95324893930994,0.9777070063694268
M15_BOND_LEAD_CONTINUATION_V1,internal_test,False,False,False,120,310,0.3870967741935484,-33.8879619827926,0.6047706363912134,-0.28239968318993836,0.16666666666666666,37.91101139953803,-43.3489478845303,0.9916666666666667
M15_BOND_LEAD_CONTINUATION_V1,exam,False,False,False,227,624,0.36378205128205127,-33.43601294248529,0.77496223994126,-0.14729521120037573,0.375,37.09601863117776,-43.60398826939414,0.4669603524229075
M15_BOND_LEAD_CONTINUATION_V1,recent_tail,False,False,False,101,312,0.32371794871794873,-8.71113996066404,0.8592858780865115,-0.08624891050162416,0.5,11.78213126414057,-14.535183964439609,0.19801980198019803
M15_MACRO_DISLOCATION_REVERSAL_V1,train,True,False,False,237,465,0.5096774193548387,-71.23444329400064,0.5922779885917548,-0.3005672712827031,0.16666666666666666,70.07052447599771,-87.77138824671835,0.9409282700421941
M15_MACRO_DISLOCATION_REVERSAL_V1,validation,False,False,False,379,621,0.6103059581320451,-92.83947608250868,0.6540148027067616,-0.24495903979553743,0.20833333333333334,95.90724882217401,-101.07656182427053,0.9920844327176781
M15_MACRO_DISLOCATION_REVERSAL_V1,internal_test,False,False,False,206,310,0.6645161290322581,-59.53930391809391,0.5822105603672789,-0.2890257471752131,0.16666666666666666,65.67510190462161,-67.73806690713477,0.9854368932038835
M15_MACRO_DISLOCATION_REVERSAL_V1,exam,False,False,False,455,624,0.7291666666666666,-69.80774054021174,0.7699931210771165,-0.15342360558288295,0.2916666666666667,93.63182947701146,-78.24804029906133,0.5054945054945055
M15_MACRO_DISLOCATION_REVERSAL_V1,recent_tail,False,False,False,221,312,0.7083333333333334,1.5593694775328082,1.0117615475182762,0.0070559704865737925,0.4166666666666667,20.621795007222907,-3.508065100409061,0.19004524886877827
