target_year,training_rows,training_last_exit_time,training_target_mean,training_target_std,target_rows,target_selected_rows,target_retained_share,target_auc,target_spearman,target_score_mean,target_score_min,target_score_max
2022,64277,2021-12-29 15:00:00+00:00,-0.339136013940339,1.3671682434518622,61,3,0.04918032786885246,0.5454545454545455,0.14595452141723952,-0.19691733174468015,-0.4394120217463098,0.0975358790570195
2023,76070,2022-12-29 20:00:00+00:00,-0.3236194564314904,1.3704193366352293,60,2,0.03333333333333333,0.6177248677248677,0.37338149485968336,-0.22223495808450708,-0.4059002824087241,0.1637409397688051
2024,87861,2023-12-29 20:55:00+00:00,-0.3140278156288005,1.3757382198257775,65,0,0.0,0.46480331262939956,-0.008959790209790208,-0.21851934571118567,-0.5055072793756988,-0.046315942506220634
2025,99613,2024-12-29 22:25:00+00:00,-0.30068351467669757,1.379905001078339,55,12,0.21818181818181817,0.4769021739130434,-0.14090909090909093,-0.15005082840536393,-0.3719678392751311,0.17615613350123707
2026,111311,2025-12-29 13:40:00+00:00,-0.2815300947150831,1.387246324731987,36,12,0.3333333333333333,0.4984126984126985,-0.19845559845559846,-0.19462042566319307,-0.6092575850101146,0.2567002447845215
