vote_eurgbp,vote_eurjpy,vote_gbpusd,vote_usdjpy,vote_score,direction_code,signal_time,entry_time,utc_date,direction
1,-1,-1,-1,-2,-1,2016-07-01 05:55:00+00:00,2016-07-01 06:00:00+00:00,2016-07-01,SHORT
1,-1,-1,-1,-2,-1,2016-07-04 05:55:00+00:00,2016-07-04 06:00:00+00:00,2016-07-04,SHORT
1,-1,-1,-1,-2,-1,2016-07-05 05:55:00+00:00,2016-07-05 06:00:00+00:00,2016-07-05,SHORT
-1,-1,-1,-1,-4,-1,2016-07-06 11:55:00+00:00,2016-07-06 12:00:00+00:00,2016-07-06,SHORT
-1,-1,-1,1,-2,-1,2016-07-07 05:55:00+00:00,2016-07-07 06:00:00+00:00,2016-07-07,SHORT
1,-1,-1,-1,-2,-1,2016-07-08 08:55:00+00:00,2016-07-08 09:00:00+00:00,2016-07-08,SHORT
1,1,-1,1,2,1,2016-07-12 05:55:00+00:00,2016-07-12 06:00:00+00:00,2016-07-12,LONG
-1,1,1,1,2,1,2016-07-13 05:55:00+00:00,2016-07-13 06:00:00+00:00,2016-07-13,LONG
-1,-1,-1,-1,-4,-1,2016-07-14 12:55:00+00:00,2016-07-14 13:00:00+00:00,2016-07-14,SHORT
-1,-1,-1,-1,-4,-1,2016-07-15 07:55:00+00:00,2016-07-15 08:00:00+00:00,2016-07-15,SHORT
-1,1,1,1,2,1,2016-07-18 05:55:00+00:00,2016-07-18 06:00:00+00:00,2016-07-18,LONG
-1,1,-1,-1,-2,-1,2016-07-19 06:55:00+00:00,2016-07-19 07:00:00+00:00,2016-07-19,SHORT
-1,-1,-1,1,-2,-1,2016-07-20 06:55:00+00:00,2016-07-20 07:00:00+00:00,2016-07-20,SHORT
-1,-1,1,-1,-2,-1,2016-07-21 08:55:00+00:00,2016-07-21 09:00:00+00:00,2016-07-21,SHORT
-1,1,-1,-1,-2,-1,2016-07-22 05:55:00+00:00,2016-07-22 06:00:00+00:00,2016-07-22,SHORT
1,1,1,1,4,1,2016-07-25 09:55:00+00:00,2016-07-25 10:00:00+00:00,2016-07-25,LONG
1,-1,-1,-1,-2,-1,2016-07-26 06:55:00+00:00,2016-07-26 07:00:00+00:00,2016-07-26,SHORT
1,-1,1,1,2,1,2016-07-27 07:55:00+00:00,2016-07-27 08:00:00+00:00,2016-07-27,LONG
-1,1,1,1,2,1,2016-07-28 09:55:00+00:00,2016-07-28 10:00:00+00:00,2016-07-28,LONG
1,1,1,-1,2,1,2016-07-29 09:55:00+00:00,2016-07-29 10:00:00+00:00,2016-07-29,LONG
-1,-1,-1,1,-2,-1,2016-08-01 05:55:00+00:00,2016-08-01 06:00:00+00:00,2016-08-01,SHORT
-1,1,1,1,2,1,2016-08-02 14:55:00+00:00,2016-08-02 15:00:00+00:00,2016-08-02,LONG
-1,1,-1,-1,-2,-1,2016-08-03 06:55:00+00:00,2016-08-03 07:00:00+00:00,2016-08-03,SHORT
-1,-1,-1,-1,-4,-1,2016-08-04 06:55:00+00:00,2016-08-04 07:00:00+00:00,2016-08-04,SHORT
-1,1,1,1,2,1,2016-08-05 07:55:00+00:00,2016-08-05 08:00:00+00:00,2016-08-05,LONG
-1,-1,-1,-1,-4,-1,2016-08-08 06:55:00+00:00,2016-08-08 07:00:00+00:00,2016-08-08,SHORT
-1,1,1,1,2,1,2016-08-09 07:55:00+00:00,2016-08-09 08:00:00+00:00,2016-08-09,LONG
-1,-1,-1,-1,-4,-1,2016-08-10 09:55:00+00:00,2016-08-10 10:00:00+00:00,2016-08-10,SHORT
-1,1,-1,-1,-2,-1,2016-08-11 05:55:00+00:00,2016-08-11 06:00:00+00:00,2016-08-11,SHORT
-1,-1,-1,1,-2,-1,2016-08-12 07:55:00+00:00,2016-08-12 08:00:00+00:00,2016-08-12,SHORT
1,1,-1,1,2,1,2016-08-15 06:55:00+00:00,2016-08-15 07:00:00+00:00,2016-08-15,LONG
1,1,1,1,4,1,2016-08-16 05:55:00+00:00,2016-08-16 06:00:00+00:00,2016-08-16,LONG
1,-1,1,1,2,1,2016-08-17 05:55:00+00:00,2016-08-17 06:00:00+00:00,2016-08-17,LONG
-1,1,-1,-1,-2,-1,2016-08-18 07:55:00+00:00,2016-08-18 08:00:00+00:00,2016-08-18,SHORT
1,-1,1,1,2,1,2016-08-19 06:55:00+00:00,2016-08-19 07:00:00+00:00,2016-08-19,LONG
1,1,1,-1,2,1,2016-08-22 06:55:00+00:00,2016-08-22 07:00:00+00:00,2016-08-22,LONG
-1,-1,-1,1,-2,-1,2016-08-23 06:55:00+00:00,2016-08-23 07:00:00+00:00,2016-08-23,SHORT
-1,-1,-1,1,-2,-1,2016-08-24 05:55:00+00:00,2016-08-24 06:00:00+00:00,2016-08-24,SHORT
-1,-1,1,-1,-2,-1,2016-08-25 06:55:00+00:00,2016-08-25 07:00:00+00:00,2016-08-25,SHORT
1,-1,-1,-1,-2,-1,2016-08-26 08:55:00+00:00,2016-08-26 09:00:00+00:00,2016-08-26,SHORT
-1,1,-1,-1,-2,-1,2016-08-29 07:55:00+00:00,2016-08-29 08:00:00+00:00,2016-08-29,SHORT
1,1,1,-1,2,1,2016-08-30 09:55:00+00:00,2016-08-30 10:00:00+00:00,2016-08-30,LONG
-1,1,-1,-1,-2,-1,2016-08-31 06:55:00+00:00,2016-08-31 07:00:00+00:00,2016-08-31,SHORT
1,1,1,1,4,1,2016-09-01 06:55:00+00:00,2016-09-01 07:00:00+00:00,2016-09-01,LONG
-1,-1,1,-1,-2,-1,2016-09-02 07:55:00+00:00,2016-09-02 08:00:00+00:00,2016-09-02,SHORT
-1,-1,-1,1,-2,-1,2016-09-05 08:55:00+00:00,2016-09-05 09:00:00+00:00,2016-09-05,SHORT
-1,-1,-1,-1,-4,-1,2016-09-06 11:55:00+00:00,2016-09-06 12:00:00+00:00,2016-09-06,SHORT
-1,-1,-1,1,-2,-1,2016-09-07 05:55:00+00:00,2016-09-07 06:00:00+00:00,2016-09-07,SHORT
1,1,1,1,4,1,2016-09-08 05:55:00+00:00,2016-09-08 06:00:00+00:00,2016-09-08,LONG
1,1,1,1,4,1,2016-09-09 05:55:00+00:00,2016-09-09 06:00:00+00:00,2016-09-09,LONG
1,-1,1,1,2,1,2016-09-12 05:55:00+00:00,2016-09-12 06:00:00+00:00,2016-09-12,LONG
1,-1,-1,-1,-2,-1,2016-09-13 05:55:00+00:00,2016-09-13 06:00:00+00:00,2016-09-13,SHORT
-1,1,1,1,2,1,2016-09-14 06:55:00+00:00,2016-09-14 07:00:00+00:00,2016-09-14,LONG
1,1,1,-1,2,1,2016-09-15 05:55:00+00:00,2016-09-15 06:00:00+00:00,2016-09-15,LONG
-1,-1,-1,1,-2,-1,2016-09-16 09:55:00+00:00,2016-09-16 10:00:00+00:00,2016-09-16,SHORT
-1,-1,1,-1,-2,-1,2016-09-19 05:55:00+00:00,2016-09-19 06:00:00+00:00,2016-09-19,SHORT
1,1,1,-1,2,1,2016-09-20 05:55:00+00:00,2016-09-20 06:00:00+00:00,2016-09-20,LONG
1,-1,1,1,2,1,2016-09-21 06:55:00+00:00,2016-09-21 07:00:00+00:00,2016-09-21,LONG
