daily_opportunity_count,trades,wins,losses,win_rate,average_win_r,average_loss_r,realized_payoff_ratio,profit_factor,net_r,expectancy_r,max_drawdown_r,fixed_0p01_lot_usd,trades_per_active_weekday,active_days,trades_per_active_day,active_day_coverage,maximum_concurrent_positions
1,230,169,61,0.7347826086956522,1.4101417423017835,0.9563154847772274,1.4745570522998217,4.085248226863441,179.97870987759052,0.7825161299025675,6.0567467000343385,202.4910564230005,0.11770726714431934,230,1.0,0.11770726714431934,2
2,378,242,136,0.6402116402116402,1.4060778069354936,0.9251066713583983,1.5199088391297102,2.704543669627867,214.45632197364733,0.5673447671260512,5.045528345716235,258.28710774193576,0.19344933469805528,189,2.0,0.09672466734902764,2
3,405,240,165,0.5925925925925926,1.407493209824776,0.9556629742523335,1.47279244644372,2.142243558463593,180.11397960631126,0.4447258755711389,7.281432130306015,192.86819554270386,0.20726714431934493,135,3.0,0.06908904810644831,3
4,496,246,250,0.4959677419354839,1.418030780129201,0.9664686029798037,1.4672290188808477,1.443753354578754,107.21842116683247,0.21616617170732352,18.465184569348594,136.6948427569751,0.2538382804503582,124,4.0,0.06345957011258956,4
5,515,202,313,0.39223300970873787,1.415394604038451,0.9498841454820797,1.4900707741785901,0.9616431194379401,-11.40402752012379,-0.022143742757521925,52.40745326842905,1.6862020271632936,0.26356192425793246,103,5.0,0.05271238485158649,5
6,456,202,254,0.44298245614035087,1.4439785090067285,0.9824867070181377,1.4697181129190293,1.1688309401954484,42.132035236752166,0.09239481411568458,18.752874079858568,64.66850022618331,0.23336745138178097,76,6.0,0.038894575230296824,6
7,357,142,215,0.39775910364145656,1.4104140331828798,0.9959755540862724,1.4161131037767503,0.9352933057502258,-13.855951416579602,-0.03881218884195967,32.53563228488654,-54.577922881447805,0.1827021494370522,51,7.0,0.026100307062436028,7
8,424,137,287,0.3231132075471698,1.3409659717060387,0.9777363889862493,1.3715005259202824,0.6546884043591592,-96.89800551532629,-0.22853303187576954,118.1419667626608,-108.60075968146465,0.21699078812691913,53,8.0,0.02712384851586489,6
9,252,91,161,0.3611111111111111,1.4123522611697288,0.9976041442998644,1.4157441799331554,0.8002032321361313,-32.09021146583284,-0.12734210899140014,46.76940285519466,-15.537407317847586,0.12896622313203684,28,9.0,0.014329580348004094,9
10,380,123,257,0.3236842105263158,1.387119945715542,1.0011404252722662,1.38553984106506,0.6631182896926163,-86.67733597196067,-0.22809825255779123,93.66810085373247,-64.1500205553689,0.19447287615148415,38,10.0,0.019447287615148412,8
11,198,50,148,0.25252525252525254,1.44724220181086,0.9782151384151989,1.4794723011090682,0.4998217233476582,-72.41373039490645,-0.3657259110853861,76.78511156802766,-49.99258415314834,0.10133060388945753,18,11.0,0.009211873080859774,9
12,264,66,198,0.25,1.3598532998831074,0.9944492172711563,1.36744368265948,0.45581456088649336,-107.15062722740387,-0.40587358798259043,110.12809866654018,-97.084231020091,0.13510747185261002,22,12.0,0.011258955987717503,9
