regime,definition,trades,trade_share,long_trades,short_trades,active_days,average_winner_r,net_r,recent_six_months_trades,recent_six_months_net_r
JOINT_COMPRESSION,Non-shock DXY and EURUSD joint compression,2577,0.3297082906857728,1295,1282,656,1.4750549734830636,3801.216666665855,217,320.07499999992865
USD_DOWN,Non-compressed USD-down regime,1100,0.14073694984646878,544,556,278,1.4750227272724046,1622.524999999645,35,51.624999999988475
NEUTRAL,Non-compressed neutral USD regime,2615,0.3345701125895599,1321,1294,662,1.4750095602291242,3857.1499999991597,160,235.99999999994736
USD_UP,Non-compressed USD-up regime,1238,0.15839303991811668,594,644,312,1.4749999999997014,1826.0499999996305,84,123.89999999997235
SHOCK,Causal cross-asset shock state,282,0.036079836233367454,133,149,77,1.4749999999996788,415.94999999990944,20,29.49999999999342
MISSING_CONTEXT,No completed causal state was available,4,0.0005117707267144319,0,4,1,1.474999999999671,5.899999999998684,0,0.0
