owner,seed_id,entry_hour_utc,owner_priority,seed_priority,signal_time_utc,entry_time_utc,exit_time_utc,exit_reason,entry_price,stop_price,target_price,exit_price,risk_distance,r,fixed_0p01_lot_usd,oracle_date
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,4,1,0,2019-06-27 04:00:00+00:00,2019-06-27 04:30:00+00:00,2019-06-27 07:00:00+00:00,TARGET,1.1352900000000001,1.1344891287239058,1.1364913069141416,1.1364813069141415,0.0008008712760942949,1.4875135988784194,1.1913069141413768,2019-06-27
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,4,1,1,2019-06-27 04:30:00+00:00,2019-06-27 04:45:00+00:00,2019-06-27 06:55:00+00:00,TARGET,1.1352200000000001,1.1347652779263955,1.1359020831104072,1.1358920831104071,0.0004547220736046409,1.4780085450422866,0.6720831104070069,2019-06-27
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,9,1,0,2019-09-18 08:30:00+00:00,2019-09-18 09:00:00+00:00,2019-09-18 12:35:00+00:00,TARGET,1.1042500000000002,1.1033407597818787,1.1056138603271823,1.1056038603271823,0.0009092402181214432,1.4890018063425239,1.3538603271820993,2019-09-18
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,9,1,1,2019-09-18 09:00:00+00:00,2019-09-18 09:15:00+00:00,2019-09-18 10:00:00+00:00,TARGET,1.104,1.1032234277675819,1.1051648583486275,1.1051548583486275,0.0007765722324182267,1.4871228978033186,1.1548583486273856,2019-09-18
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,9,1,0,2019-09-18 09:00:00+00:00,2019-09-18 09:30:00+00:00,2019-09-18 12:35:00+00:00,TARGET,1.10426,1.1033437055117443,1.1056344417323836,1.1056244417323835,0.0009162944882556978,1.4890864780611068,1.3644417323834812,2019-09-18
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,7,1,1,2019-09-23 07:30:00+00:00,2019-09-23 07:45:00+00:00,2019-09-23 09:50:00+00:00,TARGET,1.09691,1.09599891959001,1.0982766206149852,1.0982666206149851,0.000911080409990106,1.4890240203933547,1.3566206149850935,2019-09-23
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,5,1,1,2019-09-25 05:00:00+00:00,2019-09-25 05:15:00+00:00,2019-09-25 09:15:00+00:00,TARGET,1.09956,1.0990545912193062,1.1003181131710411,1.100308113171041,0.0005054087806939389,1.4802140358815605,0.7481131710409539,2019-09-25
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,5,1,1,2019-11-14 05:00:00+00:00,2019-11-14 05:15:00+00:00,2019-11-14 07:00:00+00:00,TARGET,1.09966,1.0992910201821389,1.1002134697267918,1.1002034697267917,0.0003689798178612147,1.4728982466896392,0.5434697267916455,2019-11-14
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,5,1,0,2019-11-14 05:00:00+00:00,2019-11-14 05:30:00+00:00,2019-11-14 07:35:00+00:00,TARGET,1.0997400000000002,1.099126248413122,1.1006606273803174,1.1006506273803174,0.0006137515868782639,1.483706763104207,0.9106273803172193,2019-11-14
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,7,1,0,2019-11-14 06:30:00+00:00,2019-11-14 07:00:00+00:00,2019-11-14 07:30:00+00:00,TARGET,1.09955,1.0989645706135673,1.100428144079649,1.100418144079649,0.0005854293864326898,1.4829185206075828,0.8681440796489692,2019-11-14
