owner,regime,definition,trades,trade_share,active_days,trades_per_regime_active_day,win_rate,average_winner_r,net_r,fixed_0p01_lot_usd,recent_six_months_trades,recent_six_months_active_days,recent_six_months_net_r
S1_COMPRESSION_REVERSION,JOINT_COMPRESSION,Non-shock DXY and EURUSD joint compression,231,0.3701923076923077,86,2.686046511627907,1.0,1.4882417829391368,343.7838518589406,352.94083523008743,25,11,37.176613154625926
S2_SUPPORTIVE_PULLBACK,USD_DOWN_SUPPORTIVE,Non-compressed USD-down regime supporting the EURUSD long,104,0.16666666666666666,34,3.0588235294117645,1.0,1.4899953669159853,154.95951815926247,180.4773386285039,8,3,11.917706154661555
S3_NEUTRAL_AUCTION,NEUTRAL_AUCTION,Non-compressed neutral USD regime,281,0.45032051282051283,89,3.157303370786517,1.0,1.4895858579231958,418.573626076418,488.94116687172135,30,11,44.65650775981154
S4_OPPOSING_CAPITULATION,USD_UP_OPPOSING,Non-compressed USD-up regime; deep counter-regime capitulation only,8,0.01282051282051282,5,1.6,1.0,1.491295102275297,11.930360818202375,14.443572854957454,5,3,7.456830426315111
