causal_trade_index,family,side,causal_entry_time_utc,oracle_entry_time_utc,absolute_difference_minutes
5,N4_MICRO_BREAKOUT,LONG,2019-01-04 01:00:00+00:00,2019-01-04 00:20:00+00:00,40.0
14,N3_ANCHOR_REVERSION,SHORT,2019-01-08 00:00:00+00:00,2019-01-08 00:05:00+00:00,5.0
16,N4_MICRO_BREAKOUT,SHORT,2019-01-08 00:55:00+00:00,2019-01-08 00:20:00+00:00,35.0
18,N1_ROLLING_SWEEP_FADE,SHORT,2019-01-09 00:05:00+00:00,2019-01-09 00:15:00+00:00,10.0
19,N4_MICRO_BREAKOUT,LONG,2019-01-09 00:15:00+00:00,2019-01-09 00:05:00+00:00,10.0
20,N3_ANCHOR_REVERSION,SHORT,2019-01-09 00:30:00+00:00,2019-01-09 00:25:00+00:00,5.0
21,N4_MICRO_BREAKOUT,LONG,2019-01-09 01:35:00+00:00,2019-01-09 00:40:00+00:00,55.0
22,N4_MICRO_BREAKOUT,LONG,2019-01-10 00:00:00+00:00,2019-01-10 00:10:00+00:00,10.0
25,N1_ROLLING_SWEEP_FADE,LONG,2019-01-10 01:20:00+00:00,2019-01-10 00:30:00+00:00,50.0
35,N4_MICRO_BREAKOUT,LONG,2019-01-15 00:05:00+00:00,2019-01-15 00:05:00+00:00,0.0
39,N4_MICRO_BREAKOUT,LONG,2019-01-16 00:00:00+00:00,2019-01-16 00:05:00+00:00,5.0
40,N4_MICRO_BREAKOUT,SHORT,2019-01-16 01:30:00+00:00,2019-01-16 00:50:00+00:00,40.0
52,N4_MICRO_BREAKOUT,LONG,2019-01-21 00:05:00+00:00,2019-01-21 00:05:00+00:00,0.0
65,N4_MICRO_BREAKOUT,LONG,2019-01-28 00:10:00+00:00,2019-01-28 00:20:00+00:00,10.0
67,N3_ANCHOR_REVERSION,SHORT,2019-01-28 00:40:00+00:00,2019-01-28 00:35:00+00:00,5.0
68,N3_ANCHOR_REVERSION,SHORT,2019-01-28 00:50:00+00:00,2019-01-28 00:45:00+00:00,5.0
69,N3_ANCHOR_REVERSION,SHORT,2019-01-29 00:10:00+00:00,2019-01-29 00:10:00+00:00,0.0
73,N1_ROLLING_SWEEP_FADE,SHORT,2019-01-30 00:35:00+00:00,2019-01-30 00:40:00+00:00,5.0
75,N1_ROLLING_SWEEP_FADE,SHORT,2019-01-30 01:45:00+00:00,2019-01-30 01:00:00+00:00,45.0
86,N1_ROLLING_SWEEP_FADE,LONG,2019-02-08 00:05:00+00:00,2019-02-08 00:35:00+00:00,30.0
90,N1_ROLLING_SWEEP_FADE,SHORT,2019-02-11 01:20:00+00:00,2019-02-11 01:20:00+00:00,0.0
109,N4_MICRO_BREAKOUT,LONG,2019-02-18 01:05:00+00:00,2019-02-18 00:15:00+00:00,50.0
113,N4_MICRO_BREAKOUT,SHORT,2019-02-19 00:40:00+00:00,2019-02-19 00:15:00+00:00,25.0
130,N3_ANCHOR_REVERSION,LONG,2019-03-08 00:25:00+00:00,2019-03-08 00:55:00+00:00,30.0
135,N1_ROLLING_SWEEP_FADE,LONG,2019-03-11 00:25:00+00:00,2019-03-11 00:30:00+00:00,5.0
148,N3_ANCHOR_REVERSION,LONG,2019-03-25 00:10:00+00:00,2019-03-25 00:05:00+00:00,5.0
149,N4_MICRO_BREAKOUT,SHORT,2019-03-25 00:55:00+00:00,2019-03-25 00:15:00+00:00,40.0
154,N4_MICRO_BREAKOUT,SHORT,2019-03-27 00:30:00+00:00,2019-03-27 00:15:00+00:00,15.0
165,N1_ROLLING_SWEEP_FADE,LONG,2019-04-09 00:05:00+00:00,2019-04-09 00:05:00+00:00,0.0
170,N1_ROLLING_SWEEP_FADE,LONG,2019-04-12 00:20:00+00:00,2019-04-12 00:15:00+00:00,5.0
171,N4_MICRO_BREAKOUT,LONG,2019-04-12 00:35:00+00:00,2019-04-12 00:10:00+00:00,25.0
190,N4_MICRO_BREAKOUT,SHORT,2019-04-25 00:05:00+00:00,2019-04-25 00:00:00+00:00,5.0
196,N4_MICRO_BREAKOUT,LONG,2019-04-29 02:20:00+00:00,2019-04-29 01:35:00+00:00,45.0
200,N1_ROLLING_SWEEP_FADE,LONG,2019-04-30 00:10:00+00:00,2019-04-30 00:10:00+00:00,0.0
201,N3_ANCHOR_REVERSION,LONG,2019-04-30 01:10:00+00:00,2019-04-30 00:25:00+00:00,45.0
214,N3_ANCHOR_REVERSION,LONG,2019-05-06 00:20:00+00:00,2019-05-06 00:15:00+00:00,5.0
218,N1_ROLLING_SWEEP_FADE,LONG,2019-05-15 00:40:00+00:00,2019-05-15 00:15:00+00:00,25.0
226,N1_ROLLING_SWEEP_FADE,LONG,2019-05-17 00:35:00+00:00,2019-05-17 00:30:00+00:00,5.0
242,N1_ROLLING_SWEEP_FADE,SHORT,2019-05-30 00:00:00+00:00,2019-05-30 00:15:00+00:00,15.0
243,N3_ANCHOR_REVERSION,SHORT,2019-05-30 00:20:00+00:00,2019-05-30 00:20:00+00:00,0.0
246,N4_MICRO_BREAKOUT,LONG,2019-05-31 00:35:00+00:00,2019-05-31 00:15:00+00:00,20.0
249,N4_MICRO_BREAKOUT,LONG,2019-06-03 00:05:00+00:00,2019-06-03 00:05:00+00:00,0.0
255,N1_ROLLING_SWEEP_FADE,SHORT,2019-06-14 00:15:00+00:00,2019-06-14 00:15:00+00:00,0.0
260,N3_ANCHOR_REVERSION,SHORT,2019-06-17 00:45:00+00:00,2019-06-17 00:40:00+00:00,5.0
264,N4_MICRO_BREAKOUT,LONG,2019-06-18 00:05:00+00:00,2019-06-18 00:00:00+00:00,5.0
268,N1_ROLLING_SWEEP_FADE,SHORT,2019-06-19 00:15:00+00:00,2019-06-19 00:15:00+00:00,0.0
278,N3_ANCHOR_REVERSION,SHORT,2019-06-24 01:20:00+00:00,2019-06-24 00:25:00+00:00,55.0
301,N4_MICRO_BREAKOUT,LONG,2019-07-03 00:25:00+00:00,2019-07-03 00:15:00+00:00,10.0
304,N4_MICRO_BREAKOUT,LONG,2019-07-04 01:35:00+00:00,2019-07-04 00:55:00+00:00,40.0
326,N4_MICRO_BREAKOUT,LONG,2019-07-18 00:50:00+00:00,2019-07-18 00:15:00+00:00,35.0
335,N1_ROLLING_SWEEP_FADE,SHORT,2019-07-22 00:20:00+00:00,2019-07-22 00:15:00+00:00,5.0
341,N4_MICRO_BREAKOUT,SHORT,2019-07-24 00:05:00+00:00,2019-07-24 00:00:00+00:00,5.0
351,N4_MICRO_BREAKOUT,SHORT,2019-07-30 01:10:00+00:00,2019-07-30 00:20:00+00:00,50.0
364,N1_ROLLING_SWEEP_FADE,SHORT,2019-08-14 01:20:00+00:00,2019-08-14 00:55:00+00:00,25.0
367,N1_ROLLING_SWEEP_FADE,LONG,2019-08-15 00:10:00+00:00,2019-08-15 00:05:00+00:00,5.0
