family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-03 07:05:00+00:00,2019-01-03 07:10:00+00:00,2019-01-03 07:10:00+00:00,2019-01-03 07:20:00+00:00,1.13703,1.13743,1.13643,1.1364400000000001,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-03 07:45:00+00:00,2019-01-03 07:50:00+00:00,2019-01-03 07:50:00+00:00,2019-01-03 07:50:00+00:00,1.13705,1.1374499999999999,1.13645,1.13646,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-03 08:00:00+00:00,2019-01-03 08:05:00+00:00,2019-01-03 08:05:00+00:00,2019-01-03 08:05:00+00:00,1.13634,1.1367399999999999,1.13574,1.13675,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-03 10:05:00+00:00,2019-01-03 10:10:00+00:00,2019-01-03 10:10:00+00:00,2019-01-03 10:10:00+00:00,1.13672,1.13712,1.13612,1.13713,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N2_ASIA_RANGE_FADE,NEUTRAL,LONG,2019-01-04 06:15:00+00:00,2019-01-04 06:20:00+00:00,2019-01-04 06:20:00+00:00,2019-01-04 06:30:00+00:00,1.13898,1.1385800000000001,1.13958,1.13857,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N2_ASIA_RANGE_FADE,NEUTRAL,LONG,2019-01-04 06:50:00+00:00,2019-01-04 06:55:00+00:00,2019-01-04 06:55:00+00:00,2019-01-04 07:15:00+00:00,1.1393900000000001,1.1389900000000002,1.13999,1.13998,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-04 08:15:00+00:00,2019-01-04 08:20:00+00:00,2019-01-04 08:20:00+00:00,2019-01-04 08:30:00+00:00,1.14089,1.14129,1.14029,1.1403,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-04 08:40:00+00:00,2019-01-04 08:45:00+00:00,2019-01-04 08:45:00+00:00,2019-01-04 08:45:00+00:00,1.14088,1.1412799999999999,1.14028,1.14129,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-09 07:30:00+00:00,2019-01-09 07:35:00+00:00,2019-01-09 07:35:00+00:00,2019-01-09 07:35:00+00:00,1.1464299999999998,1.1468299999999998,1.14583,1.1468399999999999,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N2_ASIA_RANGE_FADE,NEUTRAL,SHORT,2019-01-09 07:55:00+00:00,2019-01-09 08:00:00+00:00,2019-01-09 08:00:00+00:00,2019-01-09 08:00:00+00:00,1.14656,1.14696,1.14596,1.14697,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
