timestamp_broker,router_state,spread_points,estimated_cost_r,stop_points,h4_position_ids,h4_episode,reason
2022.11.24 04:45:00,UPTREND,4.0,0.0114,350.0,326,1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.24 17:10:00,UPTREND,4.0,0.0114,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.24 17:15:00,UPTREND,9.0,0.0257,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.28 00:30:00,UPTREND,4.0,0.0114,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.28 00:45:00,UPTREND,4.0,0.0114,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.28 11:05:00,UPTREND,4.0,0.0114,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.11.28 11:30:00,UPTREND,4.0,0.0114,350.0,"326,327",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.02 01:35:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.02 01:45:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 06:05:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 06:10:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 13:25:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 13:30:00,UPTREND,4.0,0.0108,370.61,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 13:40:00,UPTREND,4.0,0.0064,622.25,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 13:50:00,UPTREND,4.0,0.0098,407.64,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 14:00:00,UPTREND,4.0,0.0064,620.89,"326,327,328,329,330,331",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.05 14:15:00,UPTREND,4.0,0.0114,350.0,"326,327,328,329,330",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.07 11:10:00,CHOP,8.0,0.0229,350.0,"326,327,328,329,330",1,regime_router_block_short_r2_downtrend_only_state_chop
2022.12.09 05:30:00,UPTREND,14.0,0.04,350.0,"326,327,328,329,330,333",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.09 05:45:00,UPTREND,14.0,0.04,350.0,"326,327,328,329,330,333",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.12 01:15:00,UPTREND,8.0,0.0229,350.0,"326,327,328,329,330,333,334",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.12 01:25:00,UPTREND,8.0,0.0228,351.41,"326,327,328,329,330,333,334",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.15 00:35:00,UPTREND,8.0,0.017,469.5,"328,329,330,333,334,337",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.15 01:55:00,UPTREND,8.0,0.0229,350.0,"328,329,330,333,334,337",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.15 02:00:00,UPTREND,8.0,0.0213,375.77,"328,329,330,333,334,337",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.19 04:25:00,UPTREND,6.0,0.0171,350.0,"328,329,330,333,334",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.19 04:35:00,UPTREND,7.0,0.02,350.0,"328,329,330,333,334",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.19 15:00:00,UPTREND,4.0,0.0114,350.0,"328,329,330,333,334,339",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.19 15:35:00,UPTREND,7.0,0.02,350.0,"328,329,330,333,334,339",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.20 17:35:00,UPTREND,7.0,0.02,350.0,"328,329,330,333,334,339,340,341",1,regime_router_block_short_r2_downtrend_only_state_uptrend
2022.12.20 17:40:00,UPTREND,8.0,0.0229,350.0,"328,329,330,333,334,339,340,341",1,regime_router_block_short_r2_downtrend_only_state_uptrend
