target_year,training_rows,training_positive_share,training_last_original_exit_time,target_rows,target_positive_share,target_auc,target_brier,triggered_snapshots,trigger_precision
2022,230109,0.6391275439031068,2021-12-29 15:00:00+00:00,200,0.49,0.7351940776310524,0.21883460277747435,41,0.8292682926829268
2023,272299,0.6354338429447042,2022-12-29 20:00:00+00:00,123,0.6097560975609756,0.6469444444444445,0.22205913566263727,28,0.8214285714285714
2024,314249,0.6340131551731271,2023-12-29 20:55:00+00:00,153,0.43790849673202614,0.6089899340506768,0.25859005973699917,35,0.6857142857142857
2025,356284,0.630870316938173,2024-12-29 22:25:00+00:00,164,0.4878048780487805,0.593452380952381,0.2515898225251141,30,0.5
2026,399359,0.6282542774796611,2025-12-29 13:40:00+00:00,47,0.48936170212765956,0.8061594202898551,0.21556691736958922,6,0.6666666666666666
