strategy_id,timeframe,total_raw_signals,rejected_signals,accepted_trades,unique_setup_episodes,chop_episodes_traded,total_chop_episodes,chop_episode_coverage_pct,long_trades,short_trades,wins,losses,breakeven_trades,win_rate,average_gross_win_r,average_gross_loss_r,realized_win_loss_ratio,baseline_gross_r,baseline_net_r,baseline_profit_factor,baseline_expectancy,expectancy_per_setup_episode,stress_net_r,stress_profit_factor,max_closed_drawdown_r,approx_max_floating_drawdown_r,longest_losing_streak,average_holding_minutes,median_holding_minutes,active_weekdays,trades_per_year,ambiguous_trades,rollover_crossing_trades,top_five_winner_share,top_ten_winner_share,top_three_winning_days_share,best_year,worst_year,positive_years,negative_years,segment_a_net_r,segment_b_net_r,segment_c_net_r,later_net_r,later_profit_factor,illustrative_equity_return_pct_at_0p5pct_risk,decision_category,cost_scenario,scenario_net_r,scenario_profit_factor
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,9668,8760,908,789,368,449,81.9599109131403,441,467,181,727,0,0.19933920704845814,3.2101310032092325,-0.8514532092064885,3.1734439746022476,-29.849603087414692,-151.0200968517346,0.7900871518610821,-0.16632169256798965,-0.1914069668589792,-196.42009685173616,0.7401256238418847,215.73849537532473,218.37455879759176,28,113.17180616740089,25.0,6,90.8,5,83,0.07189133399184883,0.1282854972258734,0.06331195425649101,2023,2022,3,7,-206.34143649126784,46.735447800516255,8.58589183901702,55.321339639533264,1.33361656948,-75.5100484258673,REJECT,BASELINE,-151.0200968517346,0.7900871518610821
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,9668,8760,908,789,368,449,81.9599109131403,441,467,181,727,0,0.19933920704845814,3.2101310032092325,-0.8514532092064885,3.1734439746022476,-29.849603087414692,-151.0200968517346,0.7900871518610821,-0.16632169256798965,-0.1914069668589792,-196.42009685173616,0.7401256238418847,215.73849537532473,218.37455879759176,28,113.17180616740089,25.0,6,90.8,5,83,0.07189133399184883,0.1282854972258734,0.06331195425649101,2023,2022,3,7,-206.34143649126784,46.735447800516255,8.58589183901702,55.321339639533264,1.33361656948,-75.5100484258673,REJECT,STRESS,-196.42009685173616,0.7401256238418847
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,5775,5083,692,622,339,449,75.5011135857461,352,340,242,450,0,0.34971098265895956,1.7188171530117218,-0.8981511736014912,1.7727984291133114,27.487532867844887,-20.159533721482617,0.953371599656492,-0.029132274163992222,-0.032410825918782346,-54.75953372148294,0.8796564062504537,68.89872055751808,70.71693449164681,15,236.1849710982659,75.0,6,69.2,2,120,0.0769562650354978,0.12903888285990942,0.06512172808017902,2024,2017,4,6,-50.68590316269989,16.93227115059979,13.594098290617465,30.526369441217255,1.3231353549496285,-10.079766860741309,REJECT,BASELINE,-20.159533721482617,0.953371599656492
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,5775,5083,692,622,339,449,75.5011135857461,352,340,242,450,0,0.34971098265895956,1.7188171530117218,-0.8981511736014912,1.7727984291133114,27.487532867844887,-20.159533721482617,0.953371599656492,-0.029132274163992222,-0.032410825918782346,-54.75953372148294,0.8796564062504537,68.89872055751808,70.71693449164681,15,236.1849710982659,75.0,6,69.2,2,120,0.0769562650354978,0.12903888285990942,0.06512172808017902,2024,2017,4,6,-50.68590316269989,16.93227115059979,13.594098290617465,30.526369441217255,1.3231353549496285,-10.079766860741309,REJECT,STRESS,-54.75953372148294,0.8796564062504537
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,4077,3639,438,407,275,449,61.24721603563474,213,225,180,258,0,0.410958904109589,1.328469701127371,-0.8834688318363294,1.4791583601623304,28.88509585286337,7.461983166874463,1.0319709489504632,0.017036491248571834,0.01833411097512153,-15.838468826654521,0.9359643359990155,28.322326618360755,29.322326618360755,12,375.9474885844749,150.0,6,43.8,0,99,0.08094954727863744,0.1411272936015817,0.05365773918631791,2019,2022,6,4,-16.19742300977788,16.838309380653854,6.821096795998485,23.659406176652336,1.3997748767950364,3.7309915834372314,BORDERLINE_DO_NOT_ENGINEER,BASELINE,7.461983166874463,1.0319709489504632
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,4077,3639,438,407,275,449,61.24721603563474,213,225,180,258,0,0.410958904109589,1.328469701127371,-0.8834688318363294,1.4791583601623304,28.88509585286337,7.461983166874463,1.0319709489504632,0.017036491248571834,0.01833411097512153,-15.838468826654521,0.9359643359990155,28.322326618360755,29.322326618360755,12,375.9474885844749,150.0,6,43.8,0,99,0.08094954727863744,0.1411272936015817,0.05365773918631791,2019,2022,6,4,-16.19742300977788,16.838309380653854,6.821096795998485,23.659406176652336,1.3997748767950364,3.7309915834372314,BORDERLINE_DO_NOT_ENGINEER,STRESS,-15.838468826654521,0.9359643359990155
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,3268,3047,221,207,171,449,38.084632516703785,105,116,96,125,0,0.4343891402714932,0.9730359770410261,-0.7394649081018807,1.2960132689943435,6.11584293863212,-0.4386920287819036,0.9953381905876558,-0.0019850318044430026,-0.002119285163197602,-11.48869202878161,0.885640893915633,11.719835719467774,12.719835719467774,9,589.4117647058823,420.0,6,22.1,2,85,0.13148264237347132,0.23862138925914173,0.08170237291765159,2022,2017,5,5,1.003319945630663,-1.6635323331759475,0.22152035876338083,-1.4420119744125663,0.9400788083001527,-0.2193460143909518,REJECT,BASELINE,-0.4386920287819036,0.9953381905876558
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,3268,3047,221,207,171,449,38.084632516703785,105,116,96,125,0,0.4343891402714932,0.9730359770410261,-0.7394649081018807,1.2960132689943435,6.11584293863212,-0.4386920287819036,0.9953381905876558,-0.0019850318044430026,-0.002119285163197602,-11.48869202878161,0.885640893915633,11.719835719467774,12.719835719467774,9,589.4117647058823,420.0,6,22.1,2,85,0.13148264237347132,0.23862138925914173,0.08170237291765159,2022,2017,5,5,1.003319945630663,-1.6635323331759475,0.22152035876338083,-1.4420119744125663,0.9400788083001527,-0.2193460143909518,REJECT,STRESS,-11.48869202878161,0.885640893915633
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,8653,8448,205,205,153,449,34.075723830734965,94,111,44,161,0,0.2146341463414634,2.6348894433038397,-0.8962349159373981,2.59783745954148,-28.358685960552172,-45.78473490541972,0.7099680013653734,-0.2233401702703401,-0.2233401702703401,-56.03473490541998,0.6622602335329673,60.85637856813731,62.07195904303622,14,214.46341463414635,35.0,6,20.5,0,25,0.20942747728792646,0.38816643657286576,0.13141642621081256,2023,2022,3,7,-42.30548687330054,7.178443922582189,-10.657691954701361,-3.4792480321191723,0.9293070981359374,-22.89236745270986,REJECT,BASELINE,-45.78473490541972,0.7099680013653734
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,8653,8448,205,205,153,449,34.075723830734965,94,111,44,161,0,0.2146341463414634,2.6348894433038397,-0.8962349159373981,2.59783745954148,-28.358685960552172,-45.78473490541972,0.7099680013653734,-0.2233401702703401,-0.2233401702703401,-56.03473490541998,0.6622602335329673,60.85637856813731,62.07195904303622,14,214.46341463414635,35.0,6,20.5,0,25,0.20942747728792646,0.38816643657286576,0.13141642621081256,2023,2022,3,7,-42.30548687330054,7.178443922582189,-10.657691954701361,-3.4792480321191723,0.9293070981359374,-22.89236745270986,REJECT,STRESS,-56.03473490541998,0.6622602335329673
