direction,exit_reason,trades,net_r,average_holding_minutes,median_mfe_r,median_mae_r,holding_overrun_trades,execution_timeframes
LONG,MAX_HOLD,3,-0.11181503860620401,1501.6666666666667,0.7037304645939937,0.4425354366307299,1,M5
LONG,REGIME_EXIT,4,3.2380210594862087,165.0,1.0349882952394087,0.2504310546902645,0,M5
LONG,STOP,31,-30.99999999999966,175.0,0.2305362468561102,1.0,0,M5
LONG,TARGET,29,40.62360781859492,186.20689655172413,1.2488067104158507,0.3034544056267813,0,M5
SHORT,AMBIGUOUS_BAR_STOP_FIRST,1,-0.9999999999999359,5.0,0.0,1.0,0,M5
SHORT,MAX_HOLD,8,0.2772649669683054,2290.0,0.9447889472609032,0.4227620698397776,5,M5
SHORT,REGIME_EXIT,2,-0.2615955304854001,30.0,0.19318519254324978,0.3028105454589041,0,M5
SHORT,STOP,34,-34.0000000000004,194.7058823529412,0.4495554067184353,1.0,0,M5
SHORT,TARGET,29,40.047182148433286,195.17241379310346,1.3002256860344295,0.45955103886381854,0,M5
