variant,vetoes,baseline_executed_vetoes,trades,net_pnl_usd,delta_net_pnl_usd,profit_factor,closed_drawdown_usd,equity_drawdown_usd,minimum_annual_delta_pnl_usd,all_original_gates_pass,core_direction_robust
NOMINATED,12,12,1378,3655.750649700279,52.18529612826478,1.728864506587069,217.45931309847566,238.27919504292004,0.0,True,True
MATURITY_40,13,13,1377,3660.1313705257767,56.5660169537623,1.7303758259713522,217.45931309847566,238.27919504292004,0.0,True,True
MATURITY_60,12,12,1378,3655.750649700279,52.18529612826478,1.728864506587069,217.45931309847566,238.27919504292004,0.0,True,True
LOOKBACK_30,15,15,1376,3628.825679243581,25.260325671566534,1.7227567159923003,217.45931309847566,238.27919504292004,-22.52000000000004,False,False
HEALTH_080,8,8,1382,3632.322684340224,28.757330768209613,1.7208266190621244,217.45931309847566,238.27919504292004,0.0,False,True
HEALTH_120,32,24,1384,3689.5738976991893,86.0085441271749,1.7376109674661093,197.54779129627133,221.15722490746657,-7.114034608289785,False,False
RANK_005,5,5,1385,3627.101358190443,23.536004618428706,1.718726331980643,217.45931309847566,238.27919504292004,0.0,False,True
RANK_015,28,28,1364,3678.6428935052004,75.07753993318602,1.7388947166450779,218.28483327432633,240.0102668855218,0.0,False,False
