trade_id,source_id,entry_time_utc,entry_year,entry_date,causal_rank,prior_profit_factor,baseline_runtime_pnl_usd,selected_by_v2
V7_20210512T085500Z_LONG,V7_SWING_HEALTH,2021-05-12 08:55:00+00:00,2021,2021-05-12,0.5447570332480819,0.9693603014297524,-4.028472222222223,False
V7_20210514T112500Z_SHORT,V7_SWING_HEALTH,2021-05-14 11:25:00+00:00,2021,2021-05-14,0.3836317135549872,0.7648416629707587,-3.987152777777778,False
V9_BREAK_20210520T135000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-20 13:50:00+00:00,2021,2021-05-20,0.21739130434782608,0.730940732627516,-5.57730151501526,False
V9_BREAK_20210521T123000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-21 12:30:00+00:00,2021,2021-05-21,0.3989769820971867,0.7395507326905709,-3.994444444444445,False
V9_BREAK_20210521T135000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-21 13:50:00+00:00,2021,2021-05-21,0.2071611253196931,0.7395905789935645,-5.791234045278524,False
V9_BREAK_20210525T070500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-25 07:05:00+00:00,2021,2021-05-25,0.8567774936061381,0.5927386091845089,-3.984722222222222,False
V9_BREAK_20210525T135000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-25 13:50:00+00:00,2021,2021-05-25,0.9053708439897699,0.5926797781355359,8.359424510258457,False
V9_BREAK_20210526T021000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-26 02:10:00+00:00,2021,2021-05-26,0.5728900255754475,0.6180301252941466,-4.033333333333334,False
V9_BREAK_20210526T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-26 12:35:00+00:00,2021,2021-05-26,0.23273657289002558,0.6176520852885263,-3.9786458333333337,False
V9_BREAK_20210527T122000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-05-27 12:20:00+00:00,2021,2021-05-27,0.40153452685422,0.5019218159542855,-4.250919693147671,False
V9_BREAK_20210527T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-05-27 12:35:00+00:00,2021,2021-05-27,0.4629156010230179,0.39157390071755804,-5.350663142770403,False
V7_20210528T123500Z_LONG,V7_SWING_HEALTH,2021-05-28 12:35:00+00:00,2021,2021-05-28,0.5191815856777494,0.5924256035367899,2.2376349558564748,False
V7_20210602T084500Z_LONG,V7_SWING_HEALTH,2021-06-02 08:45:00+00:00,2021,2021-06-02,0.8542199488491049,0.6980556084586427,6.471527777777777,False
V7_20210603T103000Z_SHORT,V7_SWING_HEALTH,2021-06-03 10:30:00+00:00,2021,2021-06-03,0.27621483375959077,0.6972811520324919,1.6688333333333345,False
V7_20210610T121500Z_LONG,V7_SWING_HEALTH,2021-06-10 12:15:00+00:00,2021,2021-06-10,0.4424552429667519,0.7945674509951594,-3.979861111111111,False
V9_BREAK_20210617T020000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-17 02:00:00+00:00,2021,2021-06-17,0.16666666666666666,0.26720743495468574,-1.0214455238275386,False
V9_BREAK_20210617T102500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-17 10:25:00+00:00,2021,2021-06-17,0.8410596026490066,0.182287099327255,7.315956669254722,False
V9_BREAK_20210618T014000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-18 01:40:00+00:00,2021,2021-06-18,0.0,0.28356907023919387,-3.982291666666667,True
V9_BREAK_20210618T075500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-18 07:55:00+00:00,2021,2021-06-18,0.2222222222222222,0.28356907023919387,-4.623574885420669,False
V9_BREAK_20210621T061000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-21 06:10:00+00:00,2021,2021-06-21,0.7612903225806451,0.2924101080400658,7.317728419507145,False
V9_BREAK_20210621T081500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-21 08:15:00+00:00,2021,2021-06-21,0.5192307692307693,0.41977694875048777,-5.606359169413273,False
V9_BREAK_20210623T133500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-06-23 13:35:00+00:00,2021,2021-06-23,0.10191082802547771,0.42722565119843636,7.929351888002732,False
V9_BREAK_20210623T151000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-23 15:10:00+00:00,2021,2021-06-23,0.7531645569620253,0.5691638539751027,7.822356466209369,False
V9_BREAK_20210624T145000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-24 14:50:00+00:00,2021,2021-06-24,0.8490566037735849,0.5709332450933496,-4.771024187939792,False
V9_BREAK_20210625T145000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-25 14:50:00+00:00,2021,2021-06-25,0.81875,0.5858199229212138,-2.713382918161798,False
V9_BREAK_20210630T080000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-30 08:00:00+00:00,2021,2021-06-30,0.9814814814814815,0.6048431112558373,-3.993229166666667,False
V9_BREAK_20210630T123000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-06-30 12:30:00+00:00,2021,2021-06-30,0.8895705521472392,0.6047169141276628,-4.402055434144791,False
V7_20210701T112500Z_SHORT,V7_SWING_HEALTH,2021-07-01 11:25:00+00:00,2021,2021-07-01,0.7378048780487805,0.7953840144417859,-3.999305555555555,False
V7_20210707T082500Z_SHORT,V7_SWING_HEALTH,2021-07-07 08:25:00+00:00,2021,2021-07-07,0.12048192771084337,0.5506758491332212,-4.032118055555555,False
V7_20210722T130000Z_SHORT,V7_SWING_HEALTH,2021-07-22 13:00:00+00:00,2021,2021-07-22,0.3063583815028902,0.38962327025798016,-5.257825132739672,False
V7_20210803T093000Z_LONG,V7_SWING_HEALTH,2021-08-03 09:30:00+00:00,2021,2021-08-03,0.8171428571428572,0.3909426368912985,6.144618055555555,False
V9_BREAK_20210810T124500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2021-08-10 12:45:00+00:00,2021,2021-08-10,0.8409090909090909,0.6045156201881943,-4.183181378401151,False
V9_BREAK_20210811T073500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-11 07:35:00+00:00,2021,2021-08-11,0.7457627118644068,0.6179572691077749,6.458159722222222,False
V7_20210811T093500Z_SHORT,V7_SWING_HEALTH,2021-08-11 09:35:00+00:00,2021,2021-08-11,0.6741573033707865,0.4789820283367513,-3.988368055555556,False
V9_BREAK_20210812T152500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-12 15:25:00+00:00,2021,2021-08-12,0.1340782122905028,0.7700182962050044,7.661433215149934,False
V7_20210813T105500Z_SHORT,V7_SWING_HEALTH,2021-08-13 10:55:00+00:00,2021,2021-08-13,0.03888888888888889,0.4797707022593908,-4.006597222222222,True
V9_BREAK_20210813T123500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2021-08-13 12:35:00+00:00,2021,2021-08-13,0.7679558011049724,0.9990904613347262,6.503125,False
