broker,symbol,timeframe,status,files_written,message
dukascopy,XAUUSD,M5,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220101_20220201.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220201_20220301.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220301_20220401.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220401_20220501.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220501_20220601.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220601_20220701.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220701_20220711.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220711_20220721.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220721_20220801.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220801_20220901.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220901_20220911.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220911_20220921.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220921_20220922.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220922_20220923.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220923_20220924.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220924_20220925.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220925_20220926.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20220926_20221001.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221001_20221006.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221006_20221011.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221011_20221016.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221016_20221021.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221021_20221026.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221026_20221101.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221101_20221106.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221106_20221111.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221111_20221116.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221116_20221121.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221121_20221126.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221126_20221201.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221201_20221206.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221206_20221211.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221211_20221216.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221216_20221221.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221221_20221226.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20221226_20230101.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20230101_20240101.csv;C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M5/XAUUSD_dukascopy_M5_20240101_20250101.csv,Imported 38 file(s).
dukascopy,XAUUSD,M15,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/M15/XAUUSD_dukascopy_M15_20220101_20250101.csv,Imported 1 file(s).
dukascopy,XAUUSD,H1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/H1/XAUUSD_dukascopy_H1_20220101_20250101.csv,Imported 1 file(s).
dukascopy,XAUUSD,H4,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/H4/XAUUSD_dukascopy_H4_20220101_20250101.csv,Imported 1 file(s).
dukascopy,XAUUSD,D1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/dukascopy/XAUUSD/D1/XAUUSD_dukascopy_D1_20220102_20250101.csv,Imported 1 file(s).
pepperstone,XAUUSD,M5,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/pepperstone/XAUUSD/M5/XAUUSD_pepperstone_M5_20190102_20211231.csv,Imported 1 file(s).
pepperstone,XAUUSD,M15,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/pepperstone/XAUUSD/M15/XAUUSD_pepperstone_M15_20190102_20220101.csv,Imported 1 file(s).
pepperstone,XAUUSD,H1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/pepperstone/XAUUSD/H1/XAUUSD_pepperstone_H1_20190102_20220101.csv,Imported 1 file(s).
pepperstone,XAUUSD,H4,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/pepperstone/XAUUSD/H4/XAUUSD_pepperstone_H4_20190102_20220101.csv,Imported 1 file(s).
pepperstone,XAUUSD,D1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/pepperstone/XAUUSD/D1/XAUUSD_pepperstone_D1_20190103_20220101.csv,Imported 1 file(s).
