variant_id,scale_id,direction,regime_mode,box_bars,atr_percentile_max,box_average_to_median_max,minimum_signal_body_fraction,target_r,stop_atr_floor,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V65_H4_H1_cf1d5437aa406286,H4_H1,LONG,STRICT,3,60.0,1.5,0.35,2.0,1.0,674,636,284,False,94,0.11989795918367346,0.5002098885881141,1.0126030748170274,0.005321381793490575,9.114083902387632,-8.967586369296514,0.3611111111111111,57,0.10940499040307101,2.1817638450371573,1.0846186047795634,0.038276558684862405,6.853803421742176,-7.423001660934586,0.4166666666666667,50,0.19157088122605365,7.177214018737626,1.4653999880977697,0.14354428037475253,3.493002230787175,-1.709420327949232,0.5833333333333334,1.0126030748170274,0.10940499040307101
V65_H4_H1_bc0aec5903166eb4,H4_H1,LONG,STRICT,3,60.0,1.25,0.35,2.0,1.0,656,619,279,False,93,0.11862244897959184,-0.04943870562429176,0.9987550464256205,-0.0005315989852074383,9.114083902387632,-9.51723496350892,0.3611111111111111,55,0.10556621880998081,2.2033044344724364,1.0858703941999468,0.04006008062677157,6.853803421742176,-7.401461071499311,0.4166666666666667,50,0.19157088122605365,7.177214018737626,1.4653999880977697,0.14354428037475253,3.493002230787175,-1.709420327949232,0.5833333333333334,0.9987550464256205,0.10556621880998081
V65_H4_H1_fe20c1875cfd13f5,H4_H1,LONG,STRICT,3,60.0,1.5,0.2,2.0,1.0,765,720,292,False,97,0.12372448979591837,-0.3169227474846523,0.9925443502972131,-0.0032672448194294053,10.0795536872945,-9.784719005369283,0.3055555555555556,59,0.11324376199616124,3.7585951323291726,1.1455676666276333,0.06370500224286733,5.037072856222396,-5.846170373642575,0.4583333333333333,51,0.19540229885057472,5.672419972959981,1.3448560914957934,0.111223921038431,3.4950129614944663,-3.036624796336048,0.5833333333333334,0.9925443502972131,0.11324376199616124
V65_H4_H1_02b8a963e3f290fa,H4_H1,LONG,PARENT_ONLY,3,60.0,1.5,0.35,2.0,1.0,679,641,286,False,95,0.1211734693877551,-0.5839850449559947,0.9856774110190976,-0.006147210999536786,9.114083902387632,-10.051781302840624,0.3611111111111111,57,0.10940499040307101,2.178829229496977,1.0844951701679482,0.03822507420170135,6.853803421742176,-7.4259362764747685,0.4166666666666667,50,0.19157088122605365,7.177214018737626,1.4653999880977697,0.14354428037475253,3.493002230787175,-1.709420327949232,0.5833333333333334,0.9856774110190976,0.10940499040307101
V65_H4_H1_76698a2f3d6d46fe,H4_H1,LONG,STRICT,3,60.0,1.25,0.2,2.0,1.0,743,700,287,False,96,0.12244897959183673,-0.8665713416970586,0.9796242306859383,-0.00902678480934436,10.0795536872945,-10.334367599581686,0.3055555555555556,57,0.10940499040307101,3.78013572176445,1.147114195945356,0.06631817055727106,5.037072856222396,-5.824629784207296,0.4583333333333333,51,0.19540229885057472,5.672419972959981,1.3448560914957934,0.111223921038431,3.4950129614944663,-3.036624796336048,0.5833333333333334,0.9796242306859383,0.10940499040307101
V65_H4_H1_0104376e634c0cc3,H4_H1,LONG,STRICT,3,60.0,1.5,0.2,1.5,1.0,765,720,301,False,101,0.1288265306122449,-1.0653484581600463,0.9751235008333166,-0.010548004536238081,10.079553687294498,-8.179256048262964,0.3333333333333333,61,0.11708253358925144,1.8299848370947571,1.0717787214612093,0.029999751427782904,5.537072856222396,-5.285272898298271,0.375,51,0.19540229885057472,5.661416904607363,1.3452655288841984,0.11100817460014438,3.378425424372548,-1.4674146595091608,0.5833333333333334,0.9751235008333166,0.11708253358925144
V65_H4_H1_0c4a9743c17114b4,H4_H1,LONG,PARENT_ONLY,3,60.0,1.25,0.35,2.0,1.0,661,624,281,False,94,0.11989795918367346,-1.1336336391684005,0.9722117829241494,-0.012059932331578729,9.114083902387632,-10.601429897053027,0.3611111111111111,55,0.10556621880998081,2.2003698189322543,1.085746215106458,0.04000672398058644,6.853803421742176,-7.404395687039491,0.4166666666666667,50,0.19157088122605365,7.177214018737626,1.4653999880977697,0.14354428037475253,3.493002230787175,-1.709420327949232,0.5833333333333334,0.9722117829241494,0.10556621880998081
V65_H4_H1_ea0af40cb05d7379,H4_H1,LONG,PARENT_ONLY,3,60.0,1.5,0.2,2.0,1.0,770,725,294,False,98,0.125,-1.4011176810287607,0.9678583207675964,-0.014297119194171027,10.0795536872945,-10.86891393891339,0.3055555555555556,59,0.11324376199616124,3.7556605167889923,1.1454374813190977,0.0636552629964236,5.037072856222396,-5.849104989182756,0.4583333333333333,51,0.19540229885057472,5.672419972959981,1.3448560914957934,0.111223921038431,3.4950129614944663,-3.036624796336048,0.5833333333333334,0.9678583207675964,0.11324376199616124
V65_H4_H1_79b3cc158d721d54,H4_H1,LONG,STRICT,3,60.0,1.5,0.35,1.5,1.0,674,636,293,False,98,0.125,-1.4195195713050288,0.965491435265963,-0.014484893584745192,9.114083902387632,-8.53342716140795,0.3611111111111111,59,0.11324376199616124,0.8952297786338181,1.035362250436401,0.01517338607853929,6.853803421742176,-6.2200279567592105,0.375,50,0.19157088122605365,6.73173142930708,1.4392082515508589,0.13463462858614159,3.3764146936652564,-0.39710013480944617,0.5833333333333334,0.965491435265963,0.11324376199616124
V65_H4_H1_35d2178eda3c1c71,H4_H1,LONG,STRICT,3,60.0,1.25,0.2,1.5,1.0,743,700,296,False,100,0.12755102040816327,-1.6149970523724513,0.9623080527354194,-0.01614997052372451,10.079553687294498,-8.72890464247537,0.3333333333333333,59,0.11324376199616124,1.8515254265300363,1.0729814851334207,0.031381786890339596,5.537072856222396,-5.263732308862993,0.375,51,0.19540229885057472,5.661416904607363,1.3452655288841984,0.11100817460014438,3.378425424372548,-1.4674146595091608,0.5833333333333334,0.9623080527354194,0.11324376199616124
