specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass
EURCAP_CHOP_ASIA_LONDON_SHORT,chop,CAP_SESSION_0162,capital_internal,OPENED,72,29,0.4027777777777778,-76.09322293117052,-7.609322293117052,-3.601079005108727,-0.05001498618206565,0.9131826316480641,0.5652173913043478,13.386442499065431,0.6751930904604171,False
EURCAP_COMPRESSION_BREAKOUT_LONG,compression,EURHUNT01_0496,capital_internal,OPENED,61,34,0.5573770491803278,-39.017771815994585,-3.9017771815994586,-3.882555558830467,-0.06364845178410602,0.861594444440104,0.4375,6.791222203474417,0.7319831759378214,False
