policy_id,transmission_bps,retracement_fraction,maximum_pattern_seconds,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
TR100__RF025__MW010,1.0,0.25,10,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR100__RF025__MW020,1.0,0.25,20,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR100__RF025__MW030,1.0,0.25,30,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF025__MW060,1.0,0.25,60,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR100__RF040__MW010,1.0,0.4,10,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR100__RF040__MW020,1.0,0.4,20,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
TR100__RF040__MW030,1.0,0.4,30,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
TR100__RF040__MW060,1.0,0.4,60,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR100__RF050__MW010,1.0,0.5,10,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF050__MW020,1.0,0.5,20,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF050__MW030,1.0,0.5,30,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF050__MW060,1.0,0.5,60,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR100__RF060__MW010,1.0,0.6,10,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF060__MW020,1.0,0.6,20,44,44,1.0,44,1.0,22,22,0.5,True
TR100__RF060__MW030,1.0,0.6,30,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
TR100__RF060__MW060,1.0,0.6,60,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR100__RF075__MW010,1.0,0.75,10,44,44,1.0,44,1.0,19,25,0.4318181818181818,True
TR100__RF075__MW020,1.0,0.75,20,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
TR100__RF075__MW030,1.0,0.75,30,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
TR100__RF075__MW060,1.0,0.75,60,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR150__RF025__MW010,1.5,0.25,10,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR150__RF025__MW020,1.5,0.25,20,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR150__RF025__MW030,1.5,0.25,30,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR150__RF025__MW060,1.5,0.25,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR150__RF040__MW010,1.5,0.4,10,44,43,0.9772727272727273,43,0.9772727272727273,26,17,0.3953488372093023,True
TR150__RF040__MW020,1.5,0.4,20,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR150__RF040__MW030,1.5,0.4,30,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
TR150__RF040__MW060,1.5,0.4,60,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
TR150__RF050__MW010,1.5,0.5,10,44,43,0.9772727272727273,43,0.9772727272727273,26,17,0.3953488372093023,True
TR150__RF050__MW020,1.5,0.5,20,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
TR150__RF050__MW030,1.5,0.5,30,44,43,0.9772727272727273,43,0.9772727272727273,21,22,0.4883720930232558,True
TR150__RF050__MW060,1.5,0.5,60,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
TR150__RF060__MW010,1.5,0.6,10,44,43,0.9772727272727273,43,0.9772727272727273,24,19,0.4418604651162791,True
TR150__RF060__MW020,1.5,0.6,20,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
TR150__RF060__MW030,1.5,0.6,30,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
TR150__RF060__MW060,1.5,0.6,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR150__RF075__MW010,1.5,0.75,10,44,43,0.9772727272727273,43,0.9772727272727273,21,22,0.4883720930232558,True
TR150__RF075__MW020,1.5,0.75,20,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
TR150__RF075__MW030,1.5,0.75,30,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
TR150__RF075__MW060,1.5,0.75,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
