JH	0	15:22:19.123	Core 01	EURUSD: symbol to be synchronized
PL	0	15:22:19.123	Core 01	EURUSD: symbol synchronized, 4120 bytes of symbol info received
JD	0	15:22:19.123	Core 01	EURUSD: load 10.30 Mb of history data to synchronize in 0:00:00.442
ND	0	15:22:19.123	Core 01	EURUSD: history synchronized from 2015.01.02 to 2026.07.03
OR	0	15:22:19.123	Core 01	EURUSD: ticks synchronization started
FJ	0	15:22:19.123	Core 01	EURUSD: load 83.89 Mb of tick data to synchronize in 0:00:01.062
HN	0	15:22:19.123	Core 01	EURUSD: history ticks synchronized from 2025.03.11 to 2026.06.30
CS	0	15:22:19.123	Core 01	EURUSD,M15: history cache allocated for 287569 bars and contains 37146 bars from 2015.01.02 06:00 to 2016.06.30 23:45
DO	0	15:22:19.123	Core 01	EURUSD,M15: history begins from 2015.01.02 06:00
JK	0	15:22:19.123	Core 01	EURUSD,M15 (Capital.ComMena-Demo): generating based on real ticks
LF	0	15:22:19.123	Core 01	EURUSD,M15: testing of Experts\LondonRangeExpansionRealTicksV1.ex5 from 2016.07.01 00:00 to 2026.07.01 00:00 started with inputs:
OF	0	15:22:19.123	Core 01	  InpLogicalSymbol=EURUSD
NG	0	15:22:19.123	Core 01	  InpRunId=PREFLIGHT_EURUSD
EP	0	15:22:19.123	Core 01	  InpOutputPrefix=mt5_london_preflight_EURUSD
NS	0	15:22:19.123	Core 01	USDAED: symbol to be synchronized
PG	0	15:22:19.123	Core 01	USDAED: symbol synchronized, 4120 bytes of symbol info received
LR	0	15:22:19.123	Core 01	USDAED: load 3963 bytes of history data to synchronize in 0:00:00.005
GM	0	15:22:19.123	Core 01	USDAED: history synchronized from 2025.12.20 to 2026.07.01
KE	0	15:22:19.123	Core 01	USDAED: ticks synchronization started
KN	0	15:22:19.123	Core 01	USDAED: load 3.51 Mb of tick data to synchronize in 0:00:00.047
HG	0	15:22:19.123	Core 01	USDAED: history ticks synchronized from 2025.12.20 to 2026.06.30
RM	3	15:22:19.123	Core 01	EURUSD : 2025.03.11 23:59 - real ticks absent for 776 minutes out of 1440 total minute bars within a day
IL	3	15:22:19.123	Core 01	EURUSD : 2025.03.12 23:59 - real ticks absent for 598 minutes out of 1440 total minute bars within a day
NM	3	15:22:19.123	Core 01	EURUSD : 2025.03.13 23:59 - no real ticks within a day
KG	3	15:22:19.123	Core 01	EURUSD : 2025.03.14 23:59 - no real ticks within a day
IR	3	15:22:19.123	Core 01	EURUSD : 2025.03.16 23:59 - no real ticks within a day
FL	3	15:22:19.123	Core 01	EURUSD : 2025.03.17 23:59 - no real ticks within a day
CF	3	15:22:19.123	Core 01	EURUSD : 2025.03.18 23:59 - no real ticks within a day
HP	3	15:22:19.123	Core 01	EURUSD : 2025.03.19 23:59 - no real ticks within a day
FK	3	15:22:19.123	Core 01	EURUSD : 2025.03.20 23:59 - no real ticks within a day
IE	3	15:22:19.123	Core 01	EURUSD : 2025.03.21 23:59 - no real ticks within a day
KO	3	15:22:19.123	Core 01	EURUSD : 2025.03.23 23:59 - no real ticks within a day
NI	3	15:22:19.123	Core 01	EURUSD : 2025.03.24 23:59 - no real ticks within a day
ID	3	15:22:19.123	Core 01	EURUSD : 2025.03.25 23:59 - no real ticks within a day
DN	3	15:22:19.123	Core 01	EURUSD : 2025.03.26 23:59 - no real ticks within a day
OH	3	15:22:19.123	Core 01	EURUSD : 2025.03.27 23:59 - no real ticks within a day
JR	3	15:22:19.123	Core 01	EURUSD : 2025.03.28 23:59 - no real ticks within a day
EM	3	15:22:19.123	Core 01	EURUSD : 2025.03.30 23:59 - no real ticks within a day
JG	3	15:22:19.123	Core 01	EURUSD : 2025.03.31 23:59 - no real ticks within a day
RQ	3	15:22:19.123	Core 01	EURUSD : 2025.04.01 23:59 - no real ticks within a day
KK	3	15:22:19.123	Core 01	EURUSD : 2025.04.02 23:59 - no real ticks within a day
HF	3	15:22:19.123	Core 01	EURUSD : 2025.04.03 23:59 - no real ticks within a day
IP	3	15:22:19.123	Core 01	EURUSD : 2025.04.04 23:59 - no real ticks within a day
KJ	3	15:22:19.123	Core 01	EURUSD : 2025.04.06 23:59 - no real ticks within a day
PD	3	15:22:19.123	Core 01	EURUSD : 2025.04.07 23:59 - no real ticks within a day
QO	3	15:22:19.123	Core 01	EURUSD : 2025.04.08 23:59 - no real ticks within a day
NI	3	15:22:19.123	Core 01	EURUSD : 2025.04.09 23:59 - no real ticks within a day
RS	3	15:22:19.123	Core 01	EURUSD : 2025.04.10 23:59 - no real ticks within a day
MM	3	15:22:19.123	Core 01	EURUSD : 2025.04.11 23:59 - no real ticks within a day
GH	3	15:22:19.123	Core 01	EURUSD : 2025.04.13 23:59 - no real ticks within a day
JR	3	15:22:19.123	Core 01	EURUSD : 2025.04.14 23:59 - no real ticks within a day
ML	3	15:22:19.123	Core 01	EURUSD : 2025.04.15 23:59 - no real ticks within a day
PF	3	15:22:19.123	Core 01	EURUSD : 2025.04.16 23:59 - no real ticks within a day
CQ	3	15:22:19.123	Core 01	EURUSD : 2025.04.17 23:59 - no real ticks within a day
NK	3	15:22:19.123	Core 01	EURUSD : 2025.04.18 23:59 - no real ticks within a day
OE	3	15:22:19.123	Core 01	EURUSD : 2025.04.20 23:59 - no real ticks within a day
LO	3	15:22:19.123	Core 01	EURUSD : 2025.04.21 23:59 - no real ticks within a day
IJ	3	15:22:19.123	Core 01	EURUSD : 2025.04.22 23:59 - no real ticks within a day
FD	3	15:22:19.123	Core 01	EURUSD : 2025.04.23 23:59 - no real ticks within a day
KN	3	15:22:19.123	Core 01	EURUSD : 2025.04.24 23:59 - no real ticks within a day
PH	3	15:22:19.123	Core 01	EURUSD : 2025.04.25 23:59 - no real ticks within a day
FS	3	15:22:19.123	Core 01	EURUSD : 2025.04.27 23:59 - no real ticks within a day
KM	3	15:22:19.123	Core 01	EURUSD : 2025.04.28 23:59 - no real ticks within a day
HG	3	15:22:19.123	Core 01	EURUSD : 2025.04.29 23:59 - no real ticks within a day
LQ	3	15:22:19.123	Core 01	EURUSD : 2025.04.30 23:59 - no real ticks within a day
IL	3	15:22:19.123	Core 01	EURUSD : 2025.05.01 23:59 - no real ticks within a day
DF	3	15:22:19.123	Core 01	EURUSD : 2025.05.02 23:59 - no real ticks within a day
NP	3	15:22:19.123	Core 01	EURUSD : 2025.05.04 23:59 - no real ticks within a day
QJ	3	15:22:19.123	Core 01	EURUSD : 2025.05.05 23:59 - no real ticks within a day
DE	3	15:22:19.123	Core 01	EURUSD : 2025.05.06 23:59 - no real ticks within a day
GO	3	15:22:19.123	Core 01	EURUSD : 2025.05.07 23:59 - no real ticks within a day
JI	3	15:22:19.123	Core 01	EURUSD : 2025.05.08 23:59 - no real ticks within a day
ES	3	15:22:19.123	Core 01	EURUSD : 2025.05.09 23:59 - no real ticks within a day
JN	3	15:22:19.123	Core 01	EURUSD : 2025.05.11 23:59 - no real ticks within a day
CH	3	15:22:19.123	Core 01	EURUSD : 2025.05.12 23:59 - no real ticks within a day
PR	3	15:22:19.123	Core 01	EURUSD : 2025.05.13 23:59 - no real ticks within a day
QL	3	15:22:19.123	Core 01	EURUSD : 2025.05.14 23:59 - no real ticks within a day
FF	3	15:22:19.123	Core 01	EURUSD : 2025.05.15 23:59 - real ticks absent for 440 minutes out of 1440 total minute bars within a day
RE	3	15:22:19.123	Core 01	EURUSD : 2025.05.18 23:59 - real ticks absent for 1 minutes out of 180 total minute bars within a day
EE	3	15:22:19.123	Core 01	EURUSD : 2025.05.19 23:59 - real ticks absent for 18 minutes out of 1439 total minute bars within a day
IJ	3	15:22:19.123	Core 01	EURUSD : 2025.05.20 23:59 - real ticks absent for 10 minutes out of 1435 total minute bars within a day
JJ	3	15:22:19.123	Core 01	EURUSD : 2025.05.21 23:59 - real ticks absent for 14 minutes out of 1440 total minute bars within a day
NI	3	15:22:19.123	Core 01	EURUSD : 2025.05.22 23:59 - real ticks absent for 925 minutes out of 1439 total minute bars within a day
LH	3	15:22:19.123	Core 01	EURUSD : 2025.05.23 23:59 - real ticks absent for 848 minutes out of 1258 total minute bars within a day
FH	3	15:22:19.123	Core 01	EURUSD : 2025.05.25 23:59 - real ticks absent for 10 minutes out of 179 total minute bars within a day
RH	3	15:22:19.123	Core 01	EURUSD : 2025.05.26 23:59 - real ticks absent for 20 minutes out of 1349 total minute bars within a day
NH	3	15:22:19.123	Core 01	EURUSD : 2025.05.27 23:59 - real ticks absent for 10 minutes out of 1394 total minute bars within a day
DH	3	15:22:19.123	Core 01	EURUSD : 2025.05.28 23:59 - real ticks absent for 11 minutes out of 1440 total minute bars within a day
KJ	3	15:22:19.123	Core 01	EURUSD : 2025.05.29 23:59 - real ticks absent for 6 minutes out of 1440 total minute bars within a day
PJ	3	15:22:19.123	Core 01	EURUSD : 2025.05.30 23:59 - real ticks absent for 1 minutes out of 1259 total minute bars within a day
JI	3	15:22:19.123	Core 01	EURUSD : 2025.06.01 23:59 - real ticks absent for 6 minutes out of 179 total minute bars within a day
OJ	3	15:22:19.123	Core 01	EURUSD : 2025.06.02 23:59 - real ticks absent for 6 minutes out of 1440 total minute bars within a day
QM	3	15:22:19.123	Core 01	EURUSD : 2025.06.03 23:59 - real ticks absent for 9 minutes out of 1440 total minute bars within a day
OM	3	15:22:19.123	Core 01	EURUSD : 2025.06.04 23:59 - real ticks absent for 6 minutes out of 1439 total minute bars within a day
KN	3	15:22:19.123	Core 01	EURUSD : 2025.06.05 23:59 - real ticks absent for 45 minutes out of 1440 total minute bars within a day
DM	3	15:22:19.123	Core 01	EURUSD : 2025.06.06 23:59 - real ticks absent for 650 minutes out of 1259 total minute bars within a day
PO	3	15:22:19.123	Core 01	EURUSD : 2025.06.08 23:59 - real ticks absent for 9 minutes out of 179 total minute bars within a day
LO	3	15:22:19.123	Core 01	EURUSD : 2025.06.09 23:59 - real ticks absent for 20 minutes out of 1439 total minute bars within a day
QL	3	15:22:19.123	Core 01	EURUSD : 2025.06.10 23:59 - real ticks absent for 5 minutes out of 1440 total minute bars within a day
JL	3	15:22:19.123	Core 01	EURUSD : 2025.06.11 23:59 - real ticks absent for 1303 minutes out of 1440 total minute bars within a day
FL	3	15:22:19.123	Core 01	EURUSD : 2025.06.12 23:59 - real ticks absent for 25 minutes out of 1438 total minute bars within a day
PM	3	15:22:19.123	Core 01	EURUSD : 2025.06.15 23:59 - real ticks absent for 1 minutes out of 179 total minute bars within a day
DN	3	15:22:19.123	Core 01	EURUSD : 2025.06.16 23:59 - real ticks absent for 6 minutes out of 1440 total minute bars within a day
PN	3	15:22:19.123	Core 01	EURUSD : 2025.06.17 23:59 - real ticks absent for 7 minutes out of 1440 total minute bars within a day
KN	3	15:22:19.123	Core 01	EURUSD : 2025.06.18 23:59 - real ticks absent for 9 minutes out of 1440 total minute bars within a day
GQ	3	15:22:19.123	Core 01	EURUSD : 2025.06.19 23:59 - real ticks absent for 8 minutes out of 1440 total minute bars within a day
KQ	3	15:22:19.123	Core 01	EURUSD : 2025.06.23 23:59 - real ticks absent for 9 minutes out of 1440 total minute bars within a day
EQ	3	15:22:19.123	Core 01	EURUSD : 2025.06.24 23:59 - real ticks absent for 6 minutes out of 1439 total minute bars within a day
KR	3	15:22:19.123	Core 01	EURUSD : 2025.06.25 23:59 - real ticks absent for 16 minutes out of 1440 total minute bars within a day
MP	3	15:22:19.123	Core 01	EURUSD : 2025.06.26 23:59 - real ticks absent for 8 minutes out of 1440 total minute bars within a day
IS	3	15:22:19.123	Core 01	EURUSD : 2025.06.29 23:59 - real ticks absent for 1 minutes out of 179 total minute bars within a day
LP	3	15:22:19.123	Core 01	EURUSD : 2025.06.30 23:59 - real ticks absent for 6 minutes out of 1440 total minute bars within a day
RP	3	15:22:19.123	Core 01	EURUSD : 2025.07.01 23:59 - real ticks absent for 7 minutes out of 1440 total minute bars within a day
GP	3	15:22:19.123	Core 01	EURUSD : 2025.07.02 23:59 - real ticks absent for 12 minutes out of 1440 total minute bars within a day
JP	3	15:22:19.123	Core 01	EURUSD : 2025.07.03 23:59 - real ticks absent for 7 minutes out of 890 total minute bars within a day
IP	3	15:22:19.123	Core 01	EURUSD : 2025.07.04 23:59 - real ticks absent for 1 minutes out of 852 total minute bars within a day
JP	3	15:22:19.123	Core 01	EURUSD : 2025.07.06 23:59 - real ticks absent for 1 minutes out of 178 total minute bars within a day
LS	3	15:22:19.123	Core 01	EURUSD : 2025.07.07 23:59 - real ticks absent for 9 minutes out of 1439 total minute bars within a day
HR	3	15:22:19.123	Core 01	EURUSD : 2025.07.08 23:59 - real ticks absent for 8 minutes out of 1440 total minute bars within a day
GN	0	15:22:19.123	Core 01	EURUSD : real ticks begin from 2025.03.11 00:00:00
KM	3	15:22:19.123	Core 01	EURUSD : 2016.07.01 00:00 - 2026.07.01 00:00  real ticks absent for 70483 minutes of 3704203 total minute bars, every tick generation used
HS	3	15:22:19.123	Core 01	EURUSD : 2016.07.01 00:00 - 2026.07.01 00:00  real ticks absent for 54 whole days
IR	0	15:22:19.123	Core 01	USDAED : real ticks begin from 2025.12.20 00:00:00
EM	0	15:22:32.591	Core 01	EURUSD,M15: 211401359 ticks, 247556 bars generated. Environment synchronized in 0:00:01.534. Test passed in 0:00:19.687 (including ticks preprocessing 0:00:05.172).
LI	0	15:22:32.591	Core 01	EURUSD,M15: total time from login to stop testing 0:00:21.221 (including 0:00:01.585 for history data synchronization)
MM	0	15:22:32.591	Core 01	EURUSD: generate 211401359 ticks in 0:00:05.094, passed to tester 211401361 ticks
OP	0	15:22:32.591	Core 01	4083 Mb memory used including 16 Mb of history data, 3968 Mb of tick data
CS	0	15:22:11.408	Symbols	EURUSD: symbol to be synchronized
CS	0	15:22:11.408	Symbols	EURUSD: symbol synchronized, 4120 bytes of symbol info received
CS	0	15:22:11.856	History	EURUSD: load 10.30 Mb of history data to synchronize in 0:00:00.442
CS	0	15:22:11.856	History	EURUSD: history synchronized from 2015.01.02 to 2026.07.03
CS	0	15:22:11.856	Ticks	EURUSD: ticks synchronization started
CS	0	15:22:12.916	Ticks	EURUSD: load 83.89 Mb of tick data to synchronize in 0:00:01.062
CS	0	15:22:12.916	Ticks	EURUSD: history ticks synchronized from 2025.03.11 to 2026.06.30
CS	0	15:22:12.949	History	EURUSD,M15: history cache allocated for 287569 bars and contains 37146 bars from 2015.01.02 06:00 to 2016.06.30 23:45
CS	0	15:22:12.949	History	EURUSD,M15: history begins from 2015.01.02 06:00
CS	0	15:22:12.949	Tester	EURUSD,M15 (Capital.ComMena-Demo): generating based on real ticks
CS	0	15:22:12.949	Tester	EURUSD,M15: testing of Experts\LondonRangeExpansionRealTicksV1.ex5 from 2016.07.01 00:00 to 2026.07.01 00:00 started with inputs:
CS	0	15:22:12.949	Tester	  InpLogicalSymbol=EURUSD
CS	0	15:22:12.949	Tester	  InpRunId=PREFLIGHT_EURUSD
CS	0	15:22:12.949	Tester	  InpOutputPrefix=mt5_london_preflight_EURUSD
CS	0	15:22:12.960	Symbols	USDAED: symbol to be synchronized
CS	0	15:22:12.961	Symbols	USDAED: symbol synchronized, 4120 bytes of symbol info received
CS	0	15:22:12.972	History	USDAED: load 3963 bytes of history data to synchronize in 0:00:00.005
CS	0	15:22:12.972	History	USDAED: history synchronized from 2025.12.20 to 2026.07.01
CS	0	15:22:12.972	Ticks	USDAED: ticks synchronization started
CS	0	15:22:13.019	Ticks	USDAED: load 3.51 Mb of tick data to synchronize in 0:00:00.047
CS	0	15:22:13.019	Ticks	USDAED: history ticks synchronized from 2025.12.20 to 2026.06.30
CS	3	15:22:16.879	Ticks	EURUSD : 2025.03.11 23:59 - real ticks absent for 776 minutes out of 1440 total minute bars within a day
CS	3	15:22:16.883	Ticks	EURUSD : 2025.03.12 23:59 - real ticks absent for 598 minutes out of 1440 total minute bars within a day
CS	3	15:22:16.884	Ticks	EURUSD : 2025.03.13 23:59 - no real ticks within a day
CS	3	15:22:16.886	Ticks	EURUSD : 2025.03.14 23:59 - no real ticks within a day
CS	3	15:22:16.886	Ticks	EURUSD : 2025.03.16 23:59 - no real ticks within a day
CS	3	15:22:16.887	Ticks	EURUSD : 2025.03.17 23:59 - no real ticks within a day
CS	3	15:22:16.888	Ticks	EURUSD : 2025.03.18 23:59 - no real ticks within a day
CS	3	15:22:16.889	Ticks	EURUSD : 2025.03.19 23:59 - no real ticks within a day
CS	3	15:22:16.890	Ticks	EURUSD : 2025.03.20 23:59 - no real ticks within a day
CS	3	15:22:16.891	Ticks	EURUSD : 2025.03.21 23:59 - no real ticks within a day
CS	3	15:22:16.891	Ticks	EURUSD : 2025.03.23 23:59 - no real ticks within a day
CS	3	15:22:16.892	Ticks	EURUSD : 2025.03.24 23:59 - no real ticks within a day
CS	3	15:22:16.894	Ticks	EURUSD : 2025.03.25 23:59 - no real ticks within a day
CS	3	15:22:16.895	Ticks	EURUSD : 2025.03.26 23:59 - no real ticks within a day
CS	3	15:22:16.896	Ticks	EURUSD : 2025.03.27 23:59 - no real ticks within a day
CS	3	15:22:16.898	Ticks	EURUSD : 2025.03.28 23:59 - no real ticks within a day
CS	3	15:22:16.898	Ticks	EURUSD : 2025.03.30 23:59 - no real ticks within a day
CS	3	15:22:16.900	Ticks	EURUSD : 2025.03.31 23:59 - no real ticks within a day
CS	3	15:22:16.901	Ticks	EURUSD : 2025.04.01 23:59 - no real ticks within a day
CS	3	15:22:16.902	Ticks	EURUSD : 2025.04.02 23:59 - no real ticks within a day
CS	3	15:22:16.904	Ticks	EURUSD : 2025.04.03 23:59 - no real ticks within a day
CS	3	15:22:16.907	Ticks	EURUSD : 2025.04.04 23:59 - no real ticks within a day
CS	3	15:22:16.908	Ticks	EURUSD : 2025.04.06 23:59 - no real ticks within a day
CS	3	15:22:16.913	Ticks	EURUSD : 2025.04.07 23:59 - no real ticks within a day
CS	3	15:22:16.915	Ticks	EURUSD : 2025.04.08 23:59 - no real ticks within a day
CS	3	15:22:16.918	Ticks	EURUSD : 2025.04.09 23:59 - no real ticks within a day
CS	3	15:22:16.921	Ticks	EURUSD : 2025.04.10 23:59 - no real ticks within a day
CS	3	15:22:16.924	Ticks	EURUSD : 2025.04.11 23:59 - no real ticks within a day
