feature,coefficient,training_mean,training_scale,walk_forward_window
hour_cos,7.817306953048371,0.07334240126604802,0.6292991442602455,DEVELOPMENT_FIT
aligned_ema_gap_atr,0.6100773444390314,0.0,1.5630380124929184,DEVELOPMENT_FIT
eurusd_range_12_atr,0.30973948482458075,4.378685636697086,1.4561004625489165,DEVELOPMENT_FIT
tick_ratio,0.2299569881834906,1.101321826076878,0.6276941504582387,DEVELOPMENT_FIT
tick_count_ratio_24,0.2299569881834906,1.101321826076878,0.6276941504582387,DEVELOPMENT_FIT
range_atr,0.22472585937500192,0.9990816854901585,0.5422822634051493,DEVELOPMENT_FIT
bond_m5_tick_ratio_24,0.21951111907446563,1.3707304148940733,1.333736493569787,DEVELOPMENT_FIT
spread_mean_pips,0.20614706340122546,0.29740355200192997,0.06950028175540963,DEVELOPMENT_FIT
aligned_quote_change_imbalance,0.18556354212303228,0.0,0.07382266730975069,DEVELOPMENT_FIT
aligned_return_1_atr,0.17632812661407668,0.0,0.724722550871468,DEVELOPMENT_FIT
aligned_dxy_m5_return_12_atr,0.1304964929920949,0.0,2.041303378150754,DEVELOPMENT_FIT
aligned_late_return_pips,0.12655658773138095,0.0,1.0845623482568303,DEVELOPMENT_FIT
spread_std_pips,0.12438743492135006,0.09612439415087279,0.029062991785342912,DEVELOPMENT_FIT
aligned_bond_gap_atr,0.11306385931029707,0.0,2.2199389163344128,DEVELOPMENT_FIT
aligned_dxy_m5_close_location,0.11277388898323888,0.0,0.6660107866531847,DEVELOPMENT_FIT
volume_imbalance,0.10140207661789964,0.028745167885393916,0.17847429607989912,DEVELOPMENT_FIT
weekday_cos,0.06311358782814315,0.009240739844123809,0.7025054298615643,DEVELOPMENT_FIT
aligned_bond_m5_close_location,0.059484400895136416,0.0,0.7368193720597247,DEVELOPMENT_FIT
dxy_m5_range_atr,0.05443118052974769,0.8832546076248129,0.4589695351272401,DEVELOPMENT_FIT
aligned_bond_m5_return_3_atr,0.05082327786846529,0.0,1.1503132657021886,DEVELOPMENT_FIT
aligned_dxy_m5_return_1_atr,0.02998667888571504,0.0,0.6609214058012481,DEVELOPMENT_FIT
dxy_m5_spread_ratio_24,0.021317769636864586,1.0017684237060442,0.10171758620326304,DEVELOPMENT_FIT
aligned_joint_pressure_1,0.0034705433316148207,0.0,0.4822384368005979,DEVELOPMENT_FIT
aligned_return_24_atr,-0.022448655027159328,0.0,3.015137619559372,DEVELOPMENT_FIT
