threshold,eligible_frequency,trades_2021,trades_2022,predicted_trades,oracle_trades,exact_matches,exact_precision,exact_recall,exact_f1,tolerance_minutes,tolerant_matches,tolerant_precision,tolerant_recall,tolerant_f1,profit_factor,net_r,selected,fallback_after_frequency_failure
0.4,True,505,419,924,690,144,0.15584415584415584,0.20869565217391303,0.1784386617100372,15,202,0.21861471861471862,0.2927536231884058,0.2503097893432466,0.5833488337485958,-280.0000000001135,False,False
0.45,True,494,411,905,690,144,0.1591160220994475,0.20869565217391303,0.180564263322884,15,202,0.22320441988950276,0.2927536231884058,0.25329153605015675,0.5943930237893372,-265.1250000001129,False,False
0.5,True,481,404,885,690,145,0.1638418079096045,0.21014492753623187,0.18412698412698414,15,202,0.22824858757062147,0.2927536231884058,0.2565079365079365,0.6066328337069139,-249.97500000011138,False,False
0.55,True,470,396,866,690,145,0.1674364896073903,0.21014492753623187,0.18637532133676094,15,200,0.23094688221709006,0.2898550724637681,0.25706940874035983,0.6368596791268014,-222.95000000011137,False,False
0.6,True,457,389,846,690,144,0.1702127659574468,0.20869565217391303,0.1875,15,199,0.23522458628841608,0.28840579710144926,0.2591145833333333,0.641096233262257,-215.10000000010825,False,False
0.65,True,440,369,809,690,144,0.17799752781211373,0.20869565217391303,0.1921280853902602,15,199,0.24598269468479605,0.28840579710144926,0.26551034022681785,0.6349799965209749,-209.85000000010135,False,False
0.7,True,418,348,766,690,142,0.185378590078329,0.20579710144927535,0.19505494505494506,15,199,0.2597911227154047,0.28840579710144926,0.2733516483516484,0.6407017866162916,-195.57500000009634,False,False
0.75,True,398,317,715,690,143,0.2,0.2072463768115942,0.20355871886120996,15,200,0.27972027972027974,0.2898550724637681,0.2846975088967971,0.654289816327379,-174.57500000009009,False,False
0.8,True,376,280,656,690,142,0.21646341463414634,0.20579710144927535,0.21099554234769688,15,197,0.3003048780487805,0.2855072463768116,0.29271916790490343,0.6722369920241428,-151.02500000008263,False,False
0.85,True,333,235,568,690,137,0.24119718309859156,0.19855072463768117,0.21780604133545314,15,191,0.3362676056338028,0.2768115942028985,0.3036565977742448,0.6695238691107708,-132.05000000006933,False,False
0.9,True,304,186,490,690,129,0.26326530612244897,0.18695652173913044,0.2186440677966102,15,178,0.363265306122449,0.2579710144927536,0.3016949152542373,0.6597885526793881,-116.65000000006005,True,False
