window,window_start_utc,cutoff_exclusive_utc,base_floating_drawdown_usd,fee_stress_floating_drawdown_usd,base_peak_time_utc,base_trough_time_utc,fee_stress_peak_time_utc,fee_stress_trough_time_utc
reverse,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,32.86675449424888,32.86675449424888,2017-12-12T15:55:00+00:00,2018-09-20T06:55:00+00:00,2017-12-12T15:55:00+00:00,2018-09-20T06:55:00+00:00
development_1,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,148.32171314880316,148.32171314880316,2020-04-06T23:15:00+00:00,2020-08-24T12:00:00+00:00,2020-04-06T23:15:00+00:00,2020-08-24T12:00:00+00:00
development_2,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,282.92636332061124,298.34236332060664,2023-01-26T14:15:00+00:00,2023-11-21T09:30:00+00:00,2023-01-26T14:15:00+00:00,2023-11-22T18:50:00+00:00
confirmation,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,329.6442066942627,335.34420669426163,2024-07-17T14:00:00+00:00,2024-09-10T14:10:00+00:00,2024-07-17T14:00:00+00:00,2024-09-10T14:10:00+00:00
final,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,256.90447324703746,258.70447324704037,2025-12-29T03:35:00+00:00,2026-01-16T15:30:00+00:00,2025-12-29T03:35:00+00:00,2026-01-16T15:30:00+00:00
